rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Simple Joys by Carter's,B08G8VBJY5,True,False,4.9,4238
1,Simple Joys by Carter's,B07ZPQ3X5J,True,False,4.8,634
2,Simple Joys by Carter's,B07NGZJRLG,True,False,4.8,23564
3,Simple Joys by Carter's,B07CL5HT3S,True,False,4.8,28532
4,Simple Joys by Carter's,B071JNL7MD,True,False,4.8,16301
5,Simple Joys by Carter's,B073WMLVPR,True,False,4.8,58548
6,Simple Joys by Carter's,B07Y2HSDNR,True,False,4.8,16360
7,Simple Joys by Carter's,B0796683XL,True,False,4.8,48243
8,Simple Joys by Carter's,B01M5JGO6D,True,False,4.8,13179
9,Simple Joys by Carter's,B08G8SYDY1,True,False,4.8,36441
10,Simple Joys by Carter's,B08G8RCCN3,True,False,4.9,5174
11,Simple Joys by Carter's,B075XQSFFP,True,False,4.8,7874
12,Simple Joys by Carter's,B07Y2K1ZDJ,True,False,4.8,8864
13,Simple Joys by Carter's,B01MRDV6RU,True,False,4.8,60960
14,Simple Joys by Carter's,B075YYTCNL,True,False,4.8,14073
15,Simple Joys by Carter's,B07Y2JDW6K,True,False,4.8,10958
16,Simple Joys by Carter's,B07ZPPYML4,True,False,4.8,2663
17,Simple Joys by Carter's,B07MXZKKDJ,True,False,4.8,15425
18,Simple Joys by Carter's,B01MDUHM8T,True,False,4.8,11084
19,Simple Joys by Carter's,B07211SQL8,True,False,4.8,3087
20,Simple Joys by Carter's,B07ZPQP5R7,True,False,4.8,5790
21,Simple Joys by Carter's,B075XR7S8V,True,False,4.7,3418
22,Simple Joys by Carter's,B0875NKJ4V,True,False,4.7,1702
23,Simple Joys by Carter's,B09VVQ19R6,True,False,4.7,174
24,Simple Joys by Carter's,B08G8RSDJY,True,False,4.8,3270
25,Simple Joys by Carter's,B072QGKNQD,True,False,4.8,9750
26,Simple Joys by Carter's,B093TM4821,True,False,4.7,251
27,Simple Joys by Carter's,B01M2CO9PQ,True,False,4.8,3992
28,Simple Joys by Carter's,B07ZPPY28F,True,False,4.8,13046
29,Simple Joys by Carter's,B083X6B672,True,False,4.8,6313
30,Simple Joys by Carter's,B01N4H4U2N,True,False,4.7,12513
31,Simple Joys by Carter's,B073WMK3MC,True,False,4.8,14459
32,Simple Joys by Carter's,B0797D9FZC,True,False,4.8,6831
33,Amazon Essentials,B08TRWGN6R,True,False,4.6,2217
34,Simple Joys by Carter's,B09VV5RXL8,True,False,4.9,161
35,Simple Joys by Carter's,B079616C43,True,False,4.8,22154
36,Simple Joys by Carter's,B01MQD4NJJ,True,False,4.8,46047
37,Amazon Essentials,B09G2KGLLD,True,False,4.7,281
38,Amazon Essentials,B07HLDX9QD,True,False,4.7,4057
39,Simple Joys by Carter's,B08XWKS7QW,True,False,4.8,177
40,Amazon Essentials,B09G2FVVXL,True,False,4.7,1533
41,Simple Joys by Carter's,B09VVWHHNY,True,False,4.7,182
42,Amazon Essentials,B09G2MRMK9,True,False,4.6,644
43,Simple Joys by Carter's,B08GL2NP7K,True,False,4.8,41207
44,Simple Joys by Carter's,B01MQD5LVY,True,False,4.8,15904
45,Simple Joys by Carter's,B01N63SSPT,True,False,4.8,26060
46,Moon and Back by Hanna Andersson,B07ZR296V8,True,False,4.7,1344
47,Simple Joys by Carter's,B083XL549C,True,False,4.7,7726
