rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Simple Joys by Carter's,B01M6C5TA4,True,False,4.8,38615
1,Simple Joys by Carter's,B01N63SQ7W,True,False,4.8,26060
2,Simple Joys by Carter's,B073WMK3MC,True,False,4.8,14459
3,Simple Joys by Carter's,B08XWHZHPF,True,False,4.8,1733
4,Simple Joys by Carter's,B073X38K8L,True,False,4.8,46047
5,Simple Joys by Carter's,B07ZPQCN2T,True,False,4.8,15252
6,Simple Joys by Carter's,B07ZPQ1SM6,True,False,4.8,16355
7,Simple Joys by Carter's,B01MY2FGUB,True,False,4.8,15904
8,Simple Joys by Carter's,B07NH3R8DV,True,False,4.8,16186
9,Simple Joys by Carter's,B01N4H4U2N,True,False,4.7,12513
10,Simple Joys by Carter's,B072JLTLQT,True,False,4.8,23409
11,Simple Joys by Carter's,B0797KXHNQ,True,False,4.8,17866
12,Simple Joys by Carter's,B07PC26GMF,True,False,4.8,28532
13,Simple Joys by Carter's,B09VVKTNRB,True,False,4.9,161
14,Simple Joys by Carter's,B01M74XMOD,True,False,4.8,36441
15,Simple Joys by Carter's,B01M5JGO6D,True,False,4.8,13179
16,Simple Joys by Carter's,B07Y2HSDNR,True,False,4.8,16360
17,Simple Joys by Carter's,B077TXVC21,True,False,4.8,4902
18,Simple Joys by Carter's,B07ZPPY28F,True,False,4.8,13046
19,Simple Joys by Carter's,B08XWG4PSB,True,False,4.8,2124
20,Simple Joys by Carter's,B0797QM398,True,False,4.8,23564
21,Simple Joys by Carter's,B09VVK7YCX,True,False,4.8,129
22,Simple Joys by Carter's,B01M6C5S2Y,True,False,4.8,48243
23,Simple Joys by Carter's,B01M5JGNYY,True,False,4.8,34444
24,Simple Joys by Carter's,B07MXXT5X3,True,False,4.8,10627
25,Simple Joys by Carter's,B07212HTSB,True,False,4.8,3111
26,Amazon Essentials,B093PWGVZ7,True,False,4.6,2997
27,Simple Joys by Carter's,B07GKNGJ2J,True,False,4.7,6231
28,Simple Joys by Carter's,B07Y2K1ZDJ,True,False,4.8,8864
29,Simple Joys by Carter's,B01MRDV6RU,True,False,4.8,60960
30,Simple Joys by Carter's,B09VV7QTBH,True,False,4.7,7726
31,Simple Joys by Carter's,B01M2CO9PQ,True,False,4.8,3992
32,Simple Joys by Carter's,B073X13JL9,True,False,4.8,14218
33,Simple Joys by Carter's,B09M8XFXBS,True,False,4.8,336
34,Simple Joys by Carter's,B07ZPPZ28D,True,False,4.8,1563
35,Simple Joys by Carter's,B071FSKGZD,True,False,4.8,12098
36,Simple Joys by Carter's,B093TM4N2G,True,False,4.8,481
37,Simple Joys by Carter's,B0797D9FZC,True,False,4.8,6831
38,Simple Joys by Carter's,B0797LQKT3,True,False,4.8,3982
39,Simple Joys by Carter's,B076XH9RGM,True,False,4.8,4827
40,Simple Joys by Carter's,B08XWKS7QW,True,False,4.8,177
41,Amazon Essentials,B0BFQJ73Z4,True,False,4.7,1469
42,Simple Joys by Carter's,B07KD76MZX,True,False,4.8,6638
43,Simple Joys by Carter's,B07ZPQ2RRR,True,False,4.8,2954
44,Simple Joys by Carter's,B0875NKJ4V,True,False,4.7,1702
45,Amazon Essentials,B0BGGCZSKM,True,False,4.5,48
46,Simple Joys by Carter's,B07GKV2CVX,True,False,4.7,12414
47,Simple Joys by Carter's,B0797NGWZP,True,False,4.8,959
