rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Stuppendux,B07XBK9X6C,False,False,4.4,1508
1,Ruifan,B01N0EIYQ4,False,False,4.5,921
2,Stuppendux,B06ZY6B5G1,False,False,4.4,4229
3,TIANCI FBYJS,B08L6DHXPR,False,False,4.3,1117
4,Suotarn,B0C3H7QLVB,False,False,4.4,884
5,BanaVega,B07WVNTDBG,False,False,4.0,710
6,TIANCI FBYJS,B08CB5CJCX,False,False,4.4,670
7,Fanpei,B08KZJWYCJ,False,False,4.4,660
8,So Scene,B074ZSHV8K,False,False,3.9,73
9,BanaVega,B079WXJZ32,False,False,4.3,922
10,Cisyozi,B07JW9R42H,False,False,4.6,1815
11,OUFER,B09PDJMDNC,False,False,4.7,1444
12,LADEMAYH,B0B73SC14C,False,False,4.7,207
13,COOEAR,B0BLH7QSN1,False,False,4.1,27
14,Juway,B07Q4PGVZN,False,False,4.4,3253
15,OIDIMS,B0B6MX3J1J,False,False,4.0,26
16,Evevil,B074FJB5RV,False,False,4.5,2692
17,Atomhole,B0C8D4DZZD,False,False,4.7,14
18,Jewseen,B09H6S3N1F,False,False,4.2,698
19,Casvort,B0BPXTMMJD,False,False,4.4,98
20,Oyaface,B07RWWYB15,False,False,4.5,1671
21,Beautidots,B08XLDR7M8,False,False,4.6,184
22,So Scene,B0C219MC1X,False,False,4.7,8
23,AntDear,B0B2QXH6ZS,False,False,4.6,543
24,Earblity,B0BJPGGW57,False,False,4.7,42
25,ZS,B073RFV35X,False,False,4.2,1171
26,TIANCI FBYJS,B09C3LKHCC,False,False,4.4,851
27,So Scene,B0C2W4X9X2,False,False,4.2,29
28,Oasis Plus,B01F838L1S,False,False,4.5,1214
29,So Scene,B071NXHV4Q,False,False,4.2,1007
30,COOEAR,B08LZMPH4D,False,False,4.5,809
31,Atomhole,B0BXSK6RFP,False,False,4.6,100
32,B BodyPJ Sparkles,B07CZ8TBHD,False,False,4.5,3283
33,Longbeauty,B01ERGAIDG,False,False,4.5,1431
34,Yungger,B084YYK9GL,False,False,4.6,492
35,IPINK,B07D4C1XGY,False,False,4.5,305
36,hwojjha,B081X87XFG,False,False,4.1,650
37,So Scene,B0C37TGY65,False,False,5.0,1
38,Atomhole,B0BD85JNJ1,False,False,4.8,240
39,HQLA,B07LG4998S,False,False,4.4,394
40,Vankula,B09MNHGJ58,False,False,4.3,995
41,Generic,B0C1T9CZC4,False,False,3.5,3
42,BIG GAUGES,B07CK2CDGC,False,False,4.3,974
43,TIANCI FBYJS,B0C4F5VDY4,False,False,4.6,17
44,ZS,B01M3TA8BE,False,False,4.3,2155
45,Qmcandy,B06XB7PXWW,False,False,4.4,2521
46,TBOSEN,B07TLJ2YJ6,False,False,4.5,549
47,BanaVega,B077HS8ZZV,False,False,4.3,63
