rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Pennzoil Platinum Full Synthetic 0W-20 Motor Oil (5-Quart, Single)",B01M8JJV1H,False,False,4.8,11267.0
1,"Castrol Edge 0W-20 Advanced Full Synthetic Motor Oil, 5 Quarts",B00JGQLZJ4,False,False,4.8,6961.0
2,"Mobil 1 Extended Performance Full Synthetic Motor Oil 0W-20, 5 Quart",B00JTUBTQG,False,False,4.8,37384.0
3,"Pennzoil Platinum High Mileage Full Synthetic 0W-20 Motor Oil for Vehicles Over 75K Miles (5-Quart, Single)",B08NTG9M2X,False,False,4.8,3526.0
4,Valvoline Extended Protection Full Synthetic Motor Oil SAE 0W-20 5 QT,B08YRZ6JVS,False,False,4.8,1850.0
5,Amazon Basics Full Synthetic Motor Oil - 0W-20 - 5 Quart,B07CG384GQ,True,False,4.8,3346.0
6,"Castrol EDGE High Mileage 0W-20 Advanced Full Synthetic Motor Oil, 5 Quarts",B092LJ4ZXN,False,False,4.8,361.0
7,"Castrol GTX Full Synthetic 0W-20 Motor Oil, 5 Quarts",B09M96678H,False,False,4.8,3909.0
8,"Mobil Full Synthetic Motor Oil 0W-20, 5 Quart",B08DM83GY6,False,False,4.8,1574.0
9,Valvoline Advanced Full Synthetic 0W-20 12 QT Garage Box,B0C1LF23L7,False,False,4.8,23072.0
10,"Mobil 1 Truck & SUV Full Synthetic Motor Oil 0W-20, 5 Quart",B0B1H1D287,False,False,4.9,25.0
11,"Quaker State Full Synthetic 0W-20 Motor Oil (5-Quart, Single Pack)",B00RRI3XBG,False,False,4.7,206.0
12,Royal Purple ROY51020 API-Licensed SAE 0W-20 High Performance Synthetic Motor Oil - 5 qt.,B005SEK9IQ,False,False,4.9,2196.0
13,"Amazon Basics Full Synthetic Motor Oil, SN Plus, 0W-20, 1 Quart, 6 Pack",B07C5S1D15,True,False,4.8,1009.0
14,Valvoline Extended Protection High Mileage with Ultra MaxLife Technology 0W-20 Full Synthetic Motor Oil 5 QT,B0C1LNB5PB,False,False,4.8,25760.0
15,"Liqui Moly 20438 Molygen New Generation SAE 0W-20 Synthetic Motor Oil, 5 Liter",B082Q3C8MC,False,False,4.9,248.0
16,"Castrol GTX Ultraclean 0W-20 Synthetic Blend Motor Oil, 5 Quarts",B09D1YKJSJ,False,False,4.8,10112.0
17,"Castrol Edge 0W-20 Advanced Full Synthetic Motor Oil, 5 Quarts, Pack of 3",B00JGQLYQ8,False,False,4.8,77.0
18,"Mobil Full Synthetic High Mileage Motor Oil 0W-20, 1 Quart (6-pack)",B08DM8WVCL,False,False,4.8,19.0
19,Idemitsu Full Synthetic 0W-20 Engine Oil SP/GF-6-5 Quart (30013012-95300C020),B08CS113XC,False,False,4.8,309.0
