rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Basics Full Synthetic Motor Oil - 0W-20 - 5 Quart,B07CG384GQ,True,False,4.8,3346
1,"Amazon Basics Full Synthetic Motor Oil, SN Plus, 0W-20, 1 Quart, 6 Pack",B07C5S1D15,True,False,4.8,1009
2,Amazon Basics Full Synthetic Motor Oil - 5W-30 - 5 Quart,B07C5FF8R5,True,False,4.8,3255
3,Amazon Basics High Mileage Motor Oil - Full Synthetic - 5W-30 - 5 Quart,B07C5FF9NG,True,False,4.7,4575
4,"Amazon Basics 6-pack of Full Synthetic Motor Oil, SN Plus, dexos1-Gen2, 5W-30, 1 Quart",B07C5VJFBF,True,False,4.8,2123
5,"Amazon Basics High Mileage Motor Oil, Full Synthetic, SN Plus, dexos1-Gen2, 5W-30, Quart Size, Pack of 6",B07C5PWFN1,True,False,4.8,1546
6,Amazon Basics High Mileage Motor Oil - Full Synthetic - 10W-30 - 1 Quart - 6 Pack,B07C5QWHN6,True,False,4.7,716
7,Amazon Essentials Men's Tech Stretch Short-Sleeve T-Shirt,B09GWJBWRC,True,False,4.3,3133
8,"Amazon Basics Drying Synthetic Chamois, 26"" x 17"", 2 Pack, Yellow",B00EVY344K,True,False,4.5,9650
9,"Amazon Basics Foldable Metal Platform Bed Frame with Tool Free Setup, 14 Inches High, Full, Black",B073WRF565,True,False,4.7,102899
10,"Amazon Basics Smart Box Spring Bed Base, 7-Inch Mattress Foundation, Tool-Free Easy Assembly, Plush, Full, White",B082T8QCZS,True,False,4.5,3993
