rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Simple Joys by Carter's Toddlers and Baby Girls' Loose-Fit Flame Resistant Fleece Footed Pajamas, Pack of 3",B01MZ3M8QM,True,False,4.8,34533
1,Amazon.com eGift Card,B07MB4HN9X,False,False,4.8,871041
2,Amazon.com Gift Card in a Mini Envelope,B07Y93TM8M,False,False,4.9,108289
3,Simple Joys by Carter's Baby Girls' 6-Piece Bodysuits (Short and Long Sleeve) and Pants Set,B01MSM0UJM,True,False,4.8,26060
4,Unisex Babies' Hooded Sweater Jacket with Sherpa Lining,B07CL3CK7D,True,False,4.8,28532
5,"Simple Joys by Carter's Baby Girls' 4-Piece Jacket, Pant, and Bodysuit Set",B07MXXMX17,True,False,4.8,10627
6,Unisex Babies' Plush Playset,B0BM576292,True,False,4.4,56
7,"Simple Joys by Carter's Toddlers and Baby Girls' Fleece Full-Zip Hoodies, Pack of 2",B0797NL3JS,True,False,4.8,16408
8,"Simple Joys by Carter's Babies, Toddlers, and Girls' 6-Piece Snug-Fit Cotton Pajama Set",B071ZYMC2Q,True,False,4.8,45539
9,"Amazon Essentials Disney | Star Wars | Princess Babies, Toddlers, and Girls' Dresses, Pack of 3",B09G3T1623,True,False,4.8,774
10,"Baby Girls' Fashion Jumpsuits, Pack of 2",B07GKXBLX4,True,False,4.7,6231
11,Baby Girls' Short-Sleeve Bodysuit,B01MFFW9MV,True,False,4.8,46047
12,"Amazon Basics Pretend Play Purse Toy For Kids Ages 3 and Up, Handbag Including Smartphone, Sunglasses, Makeup Compact, Keys and Credit Card, 8-Piece Set",B09T3DCGBP,True,False,4.7,81
13,"Simple Joys by Carter's Toddlers and Baby Girls' Snug-Fit Footless Cotton Pajamas, Pack of 3",B073X2H9GJ,True,False,4.8,20589
14,Toddlers and Baby Girls' 3-Piece Playwear Set,B07ZPQ1QZ6,True,False,4.8,8478
15,"Baby Girls' Pant, Pack of 4",B01N8RPO1Z,True,False,4.8,34444
16,"Simple Joys by Carter's Toddlers and Baby Boys' Loose-Fit Flame Resistant Fleece Footed Pajamas, Pack of 3",B07961RSLF,True,False,4.8,47452
17,"Amazon Basics Pounding Bench With Xylophone and Shape Sorter-kids Gift For Age 18M+, Boy Girl Baby, Multicolor",B09XVC8B33,True,False,4.9,86
18,"Simple Joys by Carter's Baby Girls' Snap-Up Rompers, Pack of 3",B071ZRMNTK,True,False,4.8,23409
19,"Amazon Basics Portable Foldable Photo Studio Box with LED Light, 1 Count (Pack of 1), Black, 25 x 30 x 25 Inches",B01GIL6EU4,True,False,4.6,3953
20,"Simple Joys by Carter's Baby Girls' Long-Sleeve Bodysuit, Pack of 5",B01M2CO9DQ,True,False,4.8,38615
21,"Amazon Basics Children's Plush Chair, Unicorn, Medium, Multicolor",B09XBD96NY,True,False,4.3,232
22,"Baby Girls' Long-Sleeve Dress Set with Bloomers, Pack of 2",B0797LKBB8,True,False,4.8,959
23,baby-boys Short-Sleeve Bodysuits,B08WY2RHMF,True,False,4.9,1460
24,Simple Joys by Carter's Baby Girls' 4-Piece Bodysuit and Pant Set,B07ZPQB6SW,True,False,4.8,3440
25,"Simple Joys by Carter's Toddlers and Baby Girls' Short-Sleeve and Sleeveless Dress Sets, Pack of 2",B0797LLQ8D,True,False,4.8,17866
26,Toddlers and Baby Girls' Long-Sleeve Tops,B083X6B645,True,False,4.8,4091
27,"Baby Girls' Romper, Sunsuit and Dress, Pack of 3",B072JLTLQW,True,False,4.8,12098
28,"Toddlers and Baby Boys' 3-Piece Button-Up, Shorts, and Tee Playwear Set",B07ZPPTTGB,True,False,4.8,4984
29,"Amazon Basics BPA Free Crush-Proof Plastic Pit Ball with Storage Bag, Toddlers Kids 12+ Months, Pack of 400 Balls, 6 Bright Colors",B08LZRB2MS,True,False,4.6,3691
30,"Amazon Basics Kids Corner Wooden Kitchen Playset with Interactive Doors, Knobs, and Lights, White & Gray, Gift for Age 3Y+, 39.37"" x 28.35"" x 35.04''",B08P4HC1B1,True,False,4.3,1522
