rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Buffalo Games - Sights of Venice - 1000 Piece Jigsaw Puzzle,B08JH9BP1G,False,False,4.7,684.0
1,"1960's 90s TV Show Puzzles for Adult, Vintage Movie Puzzles 1000 Piece, Music Jigsaw Puzzles for Adults",B0BZ8F8FCC,False,False,4.7,9.0
2,Ceaco - David Maclean - Beach Diner - 1000 Piece Jigsaw Puzzle,B0C5NWDQVT,False,False,4.5,118.0
3,Back to The Past 1000 PC Jigsaw Puzzle - Ice Cream Truck Day,B0BJ7QQ2TR,False,False,4.4,226.0
4,"Nature Puzzle 1000 Pieces for Adults, Scene Scenery Landscape Puzzle, Travel Jigsaw Puzzles Scenic as Lake Decor",B0BXH4LKWP,False,False,4.4,17.0
5,"Buffalo Games - Darrell Bush - Moonlight Lodge - 1000 Piece Jigsaw Puzzle , Blue",B073YF5PTT,False,False,4.7,5672.0
6,Majestic by Springbok 1000 Piece Jigsaw Puzzle Mediterranean Romance - Made in USA - Compact Box,B0BBKG9YQP,False,False,4.1,217.0
7,BUNMO 1000 Piece Puzzle for Adults. Puzzles for Adults 1000 Piece - Game of Poker - 1000 Piece Puzzles Have Unique Pieces That Fit Together Perfectly. 1000 Piece Puzzles for Adults.,B0BKKPXH21,False,False,4.5,1658.0
8,Buffalo Games - Alpine Serenity - 1000 Piece Jigsaw Puzzle with Hidden Images,B08LLGC3SJ,False,False,4.6,1062.0
9,"UBeesize Jigsaw Puzzles 1000 Pieces for Adults, Jigsaw Puzzles 1000 Pieces and Up, Puzzle Game for Family Parent-Child, Holiday, Puzzle Toy for Educational,Fantasy Galaxy",B0BW3VYJYP,False,False,4.6,427.0
10,Ceaco - Peggy's Garden - Moral of The Story - 1000 Piece Jigsaw Puzzle,B0BJGPFG38,False,False,4.4,66.0
11,Halloween Nightmare Jigsaw Puzzle 1000 Piece by Vermont Christmas Company,B0BGK768HL,False,False,4.5,49.0
12,"Jigsaw Puzzles 1000 Pieces for Adults, Families (Space Traveler, Solar System) Pieces Fit Together Perfectly",B086W2XM4G,False,False,4.5,1132.0
13,"Jigsaw Puzzles 1000 Pieces for Adults, Families (Donuts) Pieces Fit Together Perfectly",B0C4XFXPSP,False,False,4.4,343.0
14,Buffalo Games - Darrell Bush - Canoe Lake - 1000 Piece Jigsaw Puzzle,B00WOZBOGS,False,False,4.6,9871.0
15,"Buffalo Games - National Park Patches - 1000 Piece Jigsaw Puzzle, Blue",B08SQP6HXP,False,False,4.8,390.0
16,Ceaco - David Maclean - Cities - On The Thames in London - 1000 Piece Jigsaw Puzzle,B0BGJMT44T,False,False,4.5,35.0
17,Tektalk 1000 Pieces Jigsaw Puzzles for Teens & Adults (Otherworldly Land of Peace),B08BNJNSPP,False,False,4.6,2562.0
18,Buffalo Games - Hershey - Sweet Collage - 1000 Piece Jigsaw Puzzle,B0CC33FNZQ,False,False,4.7,13.0
