rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Aware 100% Organic Cotton 300 Thread Count Pillowcase Set, Dark Gray, Standard, 2 Pack, 32"" x 20""",B0B7MC1YNK,False,False,4.4,1086
1,"Amazon Basics 2-Pack Linen Style Decorative Throw Pillows - 18"" Square, Black",B07TD8P2FH,True,False,4.2,5283
2,"Amazon Basics Shaggy Long Fur Faux Fur Throw Pillow Covers, 18""x18"", Pack of 2 - Light Grey",B08FTK72VF,True,False,4.5,3523
3,"Amazon Basics 100% Cotton Hypoallergenic Pillow Protector Case Body, White, 55"" L x 21"" W",B01J4K8I78,True,False,4.5,10712
4,"Amazon Basics 400 Thread Count Cotton Pillow Case, 40"" L x 20"" W, King, White - Set of 2",B01MZCVKOX,True,False,4.5,28380
5,"Amazon Basics Down-Alternative Pillows, Soft Density for Stomach and Back Sleepers - 20 x 36 inches, 2-Pack",B0736YM33H,True,False,4.3,31367
6,"Amazon Basics Lightweight Super Soft Easy Care Microfiber Pillow case, Pillow Not Included, King, Bright White, Pack of 2, 40"" L x 20"" W",B07B4YQFDT,True,False,4.5,468886
7,"Amazon Basics Outdoor Patio Bench Cushion 45 x 18 x 3 Inches, Red Bamboo Leaf",B08KYWF46L,True,False,4.6,325
8,"Amazon Basics Tufted Outdoor Patio Bench Cushion 44 x 18 x 4 Inches, Red Orange Geo",B08KYWX1WS,True,False,4.6,269
9,"Amazon Basics Plush Pet Bed and Dog Crate Pad, X-Small, 23 x 18 x 2.5 Inches",B07DZJR1P7,True,False,4.5,32131
10,"Amazon Basics High-Density Round Foam Roller for Exercise, Massage, Muscle Recovery",B00XM2MRGI,True,False,4.6,101890
11,"Amazon Basics Lightweight Super Soft Easy Care Microfiber Pillow case, Pillow Not Included, Standard, Pack of 2, 30""L x 20""W, Black",B07B4YQFGX,True,False,4.5,468886
12,"Amazon Basics Down Alternative Bed Pillows, Medium Density For Back and Side Sleepers, King, 2-Pack, White, 36 in L x 20 in W",B0835CCC4V,True,False,4.3,31367
13,"Amazon Basics White Hypoallergenic Decorative Throw Pillow Insert - 28"" x 28"", 1-Pack,Bright White",B08LQPWMLQ,True,False,4.1,859
14,"Amazon Basics Lightweight Microfiber Duvet Cover Set with Snap Buttons, Full/Queen, Bright White",B01H7NLCOU,True,False,4.2,53698
