rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,OQQ,B095PR6WFY,False,False,4.3,9266
1,ANRABESS,B0BY7YCZMG,False,False,4.2,2809
2,LILLUSORY,B0C557PLCW,False,False,3.8,60
3,AUTOMET,B0BNLTF3G6,False,False,3.7,1601
4,LILLUSORY,B0CDRS3G19,False,False,3.9,4
5,GOKATOSAU,B083R7JDMV,False,False,4.0,2639
6,AUTOMET,B0B8NFGZFH,False,False,4.2,749
7,PRETTYGARDEN,B0BSD4N2Y1,False,False,4.3,313
8,OQQ,B0BB6QRT59,False,False,4.4,626
9,PRETTYGARDEN,B08H4JH4XN,False,False,3.7,5369
10,Ekouaer,B0BPRW7D6D,False,False,4.2,1395
11,ANRABESS,B0C3QQXNK4,False,False,4.2,102
12,ZAFUL,B09Z6FBWVR,False,False,3.7,1668
13,Ekouaer,B0BRKWG7QK,False,False,4.3,1602
14,LILLUSORY,B0BCJYZ4JD,False,False,4.2,938
15,AUTOMET,B0CD2G562C,False,False,4.4,16
16,QINSEN,B092RV4NF2,False,False,4.4,8882
17,Trendy Queen,B0C81RSMY8,False,False,4.5,63
18,PXIAOPANG,B09Y8LFNYR,False,False,4.0,349
19,AYWA,B0C4HGW827,False,False,4.5,111
20,Ekouaer,B0C81V2ZP1,False,False,4.7,42
21,PRETTYGARDEN,B0C6XQPLFT,False,False,4.4,55
22,MakeMeChic,B0B7WH59NV,False,False,4.2,724
23,AUTOMET,B0CB82CNRZ,False,False,4.3,32
24,ANRABESS,B0C3L7VGVL,False,False,4.5,63
25,PRETTYGARDEN,B0BLVJHQDH,False,False,4.4,881
26,Floerns,B09WH332ST,False,False,3.9,339
27,Zeagoo,B09NNGX79K,False,False,4.1,1942
28,QINSEN,B08HMLVHJ4,False,False,4.5,3794
29,LILLUSORY,B0C89QFV74,False,False,4.4,44
30,Ekouaer,B0C3W9Q3S1,False,False,4.0,55
31,Sunzel,B0BB7STYJL,False,False,4.4,8353
32,AYWA,B0BNL2792J,False,False,4.3,1408
33,AUTOMET,B0C245LWQ4,False,False,3.9,130
34,OLCHEE,B09XHHXPWH,False,False,4.3,510
35,Verdusa,B0B2JZWKK1,False,False,4.1,221
36,PRETTYGARDEN,B0BTS1PDYJ,False,False,3.7,214
37,PRETTYGARDEN,B0BKSG37W8,False,False,3.9,479
38,ZAFUL,B0C7ZRSSRX,False,False,4.1,25
39,PRETTYGARDEN,B0B567JM29,False,False,4.4,480
40,kaimimei,B0BB77DL42,False,False,4.2,650
41,AUTOMET,B0CBMYBSCL,False,False,4.1,23
42,LILLUSORY,B0BVW2WYX4,False,False,4.2,1105
43,SOLY HUX,B0C23LTYLV,False,False,3.9,32
44,Ekouaer,B0BYJX2ZN7,False,False,4.5,91
45,BFFBABY,B0987QCT1P,False,False,3.8,3323
46,AUTOMET,B08P8QCFMB,False,False,4.3,4606
47,ANRABESS,B0C3V2QTBH,False,False,4.3,139
