rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Essentials,B0BFR51PR7,True,False,4.6,3892
1,Amazon Essentials,B0BHT8VCM8,True,False,4.1,117
2,Amazon Essentials,B08JLFJZ63,True,False,4.1,1704
3,Amazon Essentials,B07JXTYHB1,True,False,4.3,9039
4,Amazon Essentials,B09GSDQQVS,True,False,4.4,7031
5,Amazon Essentials,B08XQWS2LD,True,False,4.2,1287
6,Amazon Essentials,B0793PT5XF,True,False,4.4,27109
7,Amazon Essentials,B08WY522X7,True,False,4.6,816
8,Amazon Essentials,B07W5N91NJ,True,False,4.2,2877
9,Amazon Essentials,B08XQXN9XZ,True,False,4.3,524
10,Amazon Essentials,B07R7641SW,True,False,4.3,13329
11,Amazon Essentials,B08XQZLFC2,True,False,4.4,1667
12,Amazon Essentials,B07FDRWGVF,True,False,4.3,38254
13,Amazon Essentials,B07Z54FSPM,True,False,4.4,13886
14,Amazon Essentials,B08699ZFNM,True,False,4.4,12588
15,Amazon Essentials,B07FJZDPMB,True,False,4.4,3423
16,The Drop,B08C8X5F8P,True,False,4.3,506
17,The Drop,B07ZTDQ3DL,True,False,4.2,916
18,Amazon Essentials,B09R9FD293,True,False,4.6,395
19,The Drop,B091QNZ9CM,True,False,4.2,690
20,The Drop,B0B2DR363V,True,False,3.8,22
21,Amazon Essentials,B07FDS7DJD,True,False,4.4,7409
22,The Drop,B08Y9B1V38,True,False,4.2,624
23,Amazon Essentials,B0BG5RF3GX,True,False,4.4,65
24,The Drop,B08C92J2P1,True,False,4.3,477
25,Amazon Essentials,B09FFMJTFY,True,False,3.1,57
26,Amazon Essentials,B08WY447LQ,True,False,4.7,1530
27,The Drop,B07LCJ6QWZ,True,False,4.3,1447
28,Amazon Essentials,B07JP5XS18,True,False,4.5,5456
29,Amazon Essentials,B07JP1KHP9,True,False,4.5,12788
30,The Drop,B09NRJXN9Q,True,False,3.7,15
