rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"TEMI Dinosaur Truck Toys for Kids 3-5 Years, Tyrannosaurus Transport Car Carrier Truck with 8 Dino Figures, Activity Play Mat, Dinosaur Eggs, Capture Jurassic Dinosaur Play Set for Boys and Girls",B09PVKBP61,False,False,3.8,9510
1,VTech KidiBeats Drum Set (Frustration Free Packaging),B071Y71Y3J,False,False,4.6,38894
2,"Magnetic Drawing Board for Toddlers 1-3, Color Erasable Doodle Writing Pad, Learning Painting Sketch Pad, Best Birthday Easter Christmas Halloween Kids Toy Gifts for Boys and Girls(Blue)",B09FFM3M44,False,False,4.2,999
3,"Montessori Toys for 2 3 Year Old Boys Toddlers, Car Ramp Toys with 6 Cars & Race Tracks, Garages and Parking Lots, Ramp Racer Toy Gift for Boys Girls Age 18 Months and Up Multicolor",B08ZN3W7DV,False,False,4.0,3311
4,"Toddler Busy Board - Montessori Toys for 2 Year Old Boy Birthday Gift -7in1 Preschool Learning Activities with Life Skills,Alphabet,Number,Shape,Color,Animal,Weather - Stocking Stuffers for Toddlers",B0B24DDR4R,False,False,4.7,1360
5,"Toddler Montessori Busy Board,Montessori Toy,Baby Sensory Board,Preschool Learning Activities,Light Switch Toy,Travel Toy,Wooden Toddler Activity,Christmas & Birthday Gift for Toddler",B0BRSP6BJJ,False,False,4.6,337
6,"iPlay, iLearn Bouncy Pals Dinosaur Hopper Toy 2 Year Old Boy, Toddler Plush Bounce Animals, Ride on Bouncing Triceratops for Kids 2-4, Outdoor Hopping Horse Bouncer, Cool Birthday Gifts 3 5 6 Yr Girls",B09B1QZLXW,False,False,4.6,3683
7,"HONGID Dinosaur Toys for 3-8 Year Old Boys,Dino Projection Kids Toys for 3-8 Year Olds Boys 2 in 1 Car Toys for 2-10 Year Olds Boys,Chirstmas Gifts for 2-10 Year Olds Kids Toddler Toys",B083R2P78L,False,False,4.3,23779
8,"Bennol Toddler Trucks Toys 5 in 1 Construction for Boys Girls Age 1 2 3 4 5 6 Years Old, Christmas Birthday Gift Car Sets with Light Sound",B0BD887VLS,False,False,3.2,1219
9,"Wooden Toddler Puzzles Gifts Toys for 1 2 3 Years Old Boys Girls, 6 Vehicle Shape Jigsaw Montessori Educational Developmental Blocks Kids Toys Gift Baby Learning Travel Toy Age 1-3",B09SH56XRD,False,False,4.6,640
10,"Lydaz Bubble Lawn Mower for Toddlers, Kids Bubble Blower Maker Machine, Indoor Outdoor Push Backyard Gardening Toys, Birthday Gifts Halloween Party Favors Games Toys for Preschool Baby Boys Girls",B07H331J4R,False,False,4.3,25997
11,"Dinosaur Toys for 2 3 4 5 Year Old Boys Gifts, Pull Back Vehicles Toys Monster Truck for Toddler Boys Toys Age 2-4-6, Dino Cars Dinosaur Toys for Kids 3-5 Year Old Boy Christmas Birthday Gifts",B08JLRXGZ7,False,False,4.6,2842
12,Kids Two Cool 2nd Birthday Gift 2 Year Old Boy Second Bday T-Shirt,B07TVFBW1F,False,False,4.8,288
13,"MOONTOY Toy Cars for 1 2 3 Year Old Boys, 3 Pack Friction Powered - Bull Truck, Leopard Truck, Crocodile Trucks, Push and Go Toy Cars for Toddler Boys Baby Gift.",B08BLN8RHX,False,False,4.7,5336
14,"Wooden Kids Tool Set Toy for 2 3 4 5 Years Old Boy Girl, 36 Pcs Stem Montessori Toy for Kid 1-3, 2-4, Pretend Play Toddler Toys Inc Box, Learning Educational Construction Toy, Birthday Gift for Kids",B0C694P1RF,False,False,4.4,15
15,"Toys for 3 Year Old Boys, 2 Year Old Boy Birthday Gift Toddler Tool Set Toys for 2 + Year Old Boy, Take Apart Toys with Electric Drill, STEM Educational Toddler Toys Age 2-4 Boy",B0C1B4B7DV,False,False,4.7,53
16,"LEGO DUPLO Town Truck & Tracked Excavator Construction Vehicle 10931 Toy for Toddlers 2-4 Years Old Girls & Boys, Fine Motor Skills Development and Learning Toy",B0858LSYY1,False,False,4.9,5620
17,Meland Kids Camping Set with Tent 42pcs - Camping Gear Toy with Pretend Play Tent Outdoor Toy for Toddlers Birthday Gift,B094XXBT8Z,False,False,4.7,7653
18,"Water Doodle Mat, Kids Large Aqua Coloring Mat, Mess Free Drawing Mat with Neon Colors, Educational Toy for 2 3 4 5 Years Old Kids,Boys,Girls",B07DXL7V4G,False,False,4.4,8524
19,"Kids Tool Bench with Electric Drill Toddler Workbench Tools Set for Kids Pretend Play Learning Toy Tool Set, Indoor & Outdoor Toys for 2 Year Old Boys Gift",B08QDBW9C9,False,False,4.0,1007
20,"Move2Play, Hilariously Interactive Toy Soccer Ball with Music and Sound Effects, Ball for Toddlers, Birthday Gift For Boys and Girls 1, 2, 3+ Years Old",B07CNZ95WV,False,False,4.5,10968
