rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Lorell Stylish Poster Frame, 24"" x 36"" (49214),Black",B07L3M7PZW,False,False,3.7,6598.0
1,"MCS Original Poster Frame, Black, 24 x 36 Inch, Set of 2",B098KSPXSC,False,False,4.1,16924.0
2,Americanflat 24x36 Poster Frame in Black - Composite Wood with Polished Plexiglass - Horizontal and Vertical Formats for Wall with Included Hanging Hardware,B071WDG8WV,False,False,4.5,33505.0
3,"upsimples 24x36 Frame Black 3 Pack, Poster Frames 24 x 36 for Horizontal or Vertical Wall Mounting, Scratch-Proof Wall Gallery Photo Frame",B0C695VG79,False,False,4.3,172.0
4,"Craig Frames 24x36 Poster Frame, 1"" Contemporary Matte Black, Wall Hanging",B0046B7NGI,False,False,4.4,2074.0
5,"MCS Museum Poster Frame, Onyx, 24 x 36 in, Single",B07CKJP1ZV,False,False,4.3,2109.0
6,"MCS Classic Studio Gallery Wall Frames, Natural Woodgrain, 24 x 36 Inch, Single",B0CFX4Q3ZF,False,False,,
7,"MCS Trendsetter Poster Frame, Black, 24 x 36 in, Single",B00FMSEUS8,False,False,4.3,6521.0
8,"MCS Trendsetter Poster Frame, Black, 24 x 36 in, 2 pk",B01FJIS0W2,False,False,4.2,1887.0
9,"DOAI ART 24x36 Poster Frame Black 2 Pack, Poster Frames 24 x 36 inches or 24x36 Picture Frames with HD Plexiglass for Horizontal or Vertical Wall Mounting, Durable Scratch-proof Safe and Artistic Large Photo Frame",B0BVZG52FK,False,False,4.4,92.0
10,"MCS Gallery Foundation Poster Frame, Picture Frame For Wall Art, Brass, 24 x 36 Inch, Single",B09256L7F2,False,False,4.3,7330.0
11,"MCS Museum Poster Frame, Medium Oak, 24 x 36 in, Single",B07CJ1ZRNL,False,False,4.0,836.0
12,"Medog 24x36 Picture Poster Frame Black Set of 2 Pack 24x36 Inch Black Picture Poster Frame Display Pictures 24"" x 36"" Rectangular Poster Picture Frame (24x36 2Pack)",B0C2Q3MQNR,False,False,4.5,2879.0
13,"MCS Studio Gallery Frame, Natural Woodgrain, 24 x 36 in, 2 pk",B0817H85TW,False,False,4.6,225.0
14,"QDSSDECO 24""x36"" Poster Frame Black Wood Frame with PS Board Hanging on the Wall Display Picture, Set of 2",B098TCBBSY,False,False,4.4,140.0
15,"PEALSN 24x36 Poster Frame Set of 2, Picture Frames for Wall Decor, Display 20 x 30 Pictures with Mat or 24 x 36 Without Mat for Wall Mounting Display, Black.",B0C2HPK48L,False,False,1.7,31.0
16,"ELSKER&HOME 24x36 Poster Frame 3 Pack, Black Picture Frame for Horizontal or Vertical Wall Mounting, Durable and Scratch-proof",B09VX3HSYQ,False,False,4.2,931.0
17,PUEOR 24x36 Poster Frame Large Picture Frame Black - 3 Pack - Solid Wood with Plexiglass - Wall Mounting Horizontal and Vertical (24x36 Inch),B0BGQZHG32,False,False,4.3,34.0
18,"HappyHapi 24x36 Poster Frame, Black Picture Frame MDF Wood with Polished Plexiglass 24x36 Frame for for Wall Gallery, Vertically and Horizontally Display Posters/Paintings and Artworks",B0C3BWRM2K,False,False,4.4,422.0
19,"MCS Studio Gallery Frame, Natural Woodgrain, 24 x 36 in, Single",B0817L66XH,False,False,4.4,229.0
20,"24x36"" Metal Poster Frame - Plexiglass - Thin Edge - 2 Packs - Coated Black - Wall Mounted - Hang Vertically & Horizontally",B0BFHWFVXT,False,False,3.8,64.0
21,"MCS Museum Poster Frame, Barnwood, 24 x 36 in, Single",B07CKJ8F5J,False,False,4.2,1416.0
22,"FRAMVIO Magnetic Wood Poster Hangers Frame 24x36 24x32 24x18 Quick Assembly and Easy Use, Wall No Damage, for Photo, Picture, Prints, Maps, Scrolls and Canvas Artwork (Black, 24 inch)",B09D9KM7HF,False,False,4.6,150.0
23,DOAI ART 24x36 Poster Frame Black 2 Pack without Mat or 20x30 Picture Frame with Mat - Polished Plexiglass for Wall Vertically or Horizontally Display - Wall Mounting Hardware Included,B09FJG7XDT,False,False,4.0,572.0
24,"XEDOGIER Matte Gold 24x36 Frame, 24x36 Poster Frame, Poster Frames 24 x 36 Inches for Wall Art, 24 x 36 Poster Frame for Display Artwork, Puzzles, Photos and Movie Posters, Set of 1",B0BBM45CXS,False,False,4.3,152.0
25,"MCS Museum Poster Frame, White Woodgrain, 24 x 36 in, Single",B07WWXLQ91,False,False,3.9,258.0
26,"ELSKER&HOME 24x36 Poster Frame Black 3 Pack, Display Pictures 20x30 with Mat or 24x36 Poster without Mat, Include 3 Wall Art Prints, Horizontal and Vertical Wall Mounting",B0BQ6MBNCY,False,False,4.4,253.0
27,"Craig Frames 1WB3BK 24 by 36-Inch Picture Frame, Smooth Wrap Finish, 1-Inch Wide, Black",B001K4BYDC,False,False,4.5,8091.0
28,Americanflat 24x36 Poster Frame in Black - Thin Border Photo Frame with Polished Plexiglass - Horizontal and Vertical Formats for Wall,B09ZK7V5F8,False,False,4.5,1171.0
29,"LaVie Home 24x36 Poster Frame Black, Display Pictures 20x30 with Mat or 24x36 Without Mat, 2 Inch Wood Profile, Stable and Sturdy Picture Frame with Polished Plexiglass, Horizontal and Vertical Format of The Wall（1 Pack）",B0B5L76CCF,False,False,4.3,1082.0
30,"Giverny 27x40 Frames Black 1 Pack, Wood 27x40 Picture Frame, Showing 24x36 Pictures with Mat, Simple and Classic Style Suitable for Decorating Home Office",B0C8T84T4Z,False,False,4.3,252.0
31,"MCS Studio Gallery Frame, Black Woodgrain, 16 x 24 in, Single",B0817JP52S,False,False,4.7,3096.0
32,"ArtToFrames 24x36 inch Antique Silver with Beads Wood Picture Frame, WOMD6661-24x36",B072F4W6YV,False,False,4.5,1304.0
33,"Craig Frames FM26WA Poster Frame, 24 x 36, Walnut",B0046DEX5K,False,False,4.4,330.0
34,LUCKYLIFE 24x36 Poster Frame in Black Solid Wood with Plexiglass 2 Pack,B0BLMT95QS,False,False,4.5,468.0
35,"ELSKER&HOME 24x36 Poster Frame with Mat 2 Pack, Black Picture Frame Display Photos 20x30 with Mat or 24x36 without Mat",B09VXF2GRN,False,False,3.9,238.0
36,"Craig Frames 7171610BK 24 x 36-Inch Poster Frame, Wood Grain Finish, 0.825-Inch Wide, Solid Black",B004FWFVR6,False,False,4.6,5321.0
37,Big Trouble In Little China - Framed Movie Poster (Regular Style) (Size: 24 x 36 inches),B08BYTGK5Q,False,False,2.7,3.0
38,VCK 24x36 Inch Solid Wood Poster Frames Black 3 Pack Picture Frame with Wall Mounting Hanging,B0978VFCZ8,False,False,4.5,933.0
39,"CKCY 24x36 Poster Frame, Rustic Picture Frames 24 x 36, Large Photo/Puzzle Frame 24 by 36, Vintage Gallery Frames Set 24x36 inch, Wall Hanging Ready, 2 Pack",B09J8BZ7R1,False,False,4.6,109.0
40,"Brown 24x36 Poster Frames Set of 2, Rustic 36x24 Picture Frames 2 Pack, Extra Large 24 by 36inch Gallery Family Concert Portrait Photo Frames Anniversary/Birthday/Wedding/Thank you/Christmas Gift",B0BCG99DH3,False,False,4.5,262.0
41,"QEQRUG 24x36 Poster Frame Rustic Wood Big Photo or Movie Poster Frames for Wall Decor with Polished Plexiglass,Brown,2 Pack",B088CZ7ZX8,False,False,4.6,344.0
42,"Minesaxel 24x36 Frames in Black, 36x24 Large Poster Frame for Wall Display(Set of 3)",B0C4GZ5YZP,False,False,4.8,5.0
43,"QTART 24X36 Picture Frame Wall-mounted 24x36 Poster Frame Wall Gallery Photo Frames Brown Picture Frames 24 x 36, 2 pack",B0CC28S51L,False,False,,
44,"24x36 Picture Frame, Gold Poster Frame, Home Decor Natural Gallery Frame, Horizontal or Vertical Format, Sturdy Frame and Plexiglass, Large Photo Frame Wall Art, for Photos, Artworks, Posters",B0C6ZZH21K,False,False,4.5,17.0
45,RPJC 24x36 Inch Solid Wood Poster Frames for Wall Mounting Hanging Picture Frame Brown,B083LRTKQ7,False,False,4.5,3092.0
46,"TWING Poster Frames 24X36 Picture Frames Sets of 3, Display pictures 20x30 with Mat or 24 x 36 without Mat, Black Frame For Wall Gallery Art Decor Mounting",B0BZJ3KYNS,False,False,4.4,94.0
47,"Trends International Collector's Edition Black Poster Frame, 24'' x 36''",B09GCFQL7Q,False,False,4.4,559.0
