rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Acer KB272 EBI 27"" IPS Full HD (1920 x 1080) Zero-Frame Gaming Office Monitor | AMD FreeSync Technology | Up to 100Hz Refresh | 1ms (VRB) | Low Blue Light | Tilt | HDMI & VGA Ports,Black",B0BY9NPLP4,False,False,4.6,2142
1,"Sceptre IPS 27"" LED Gaming Monitor 1920 x 1080p 75Hz 99% sRGB 320 Lux HDMI x2 VGA Build-in Speakers, FPS-RTS Machine Black (E278W-FPT series)",B098YKNVWR,False,False,4.6,5452
2,"Acer SB272 EBI 27"" Full HD (1920 x 1080) IPS Zero-Frame Gaming Office Monitor | AMD FreeSync Technology | Ultra-Thin Stylish Design | 100Hz | 1ms (VRB) | Low Blue Light | Tilt | HDMI & VGA Ports",B0BS9RH7GX,False,False,4.6,43943
3,"LG 27MP400-B 27” Full HD (1920 x 1080) IPS Display with 3-Side Virtually Borderless Design, AMD FreeSync and OnScreen Control – Black",B097NXN7RF,False,False,4.6,1165
4,"PHILIPS Computer Monitors 27 inch Class Thin Full HD (1920 x 1080) 100Hz Monitor, VESA, HDMI & VGA Port, 4 Year Advance Replacement Warranty, 271V8LB",B0C8ZJNZY8,False,False,4.6,1465
5,"AOC 27B2H 27"" Full HD IPS Monitor, 3-Sided Frameless & Ultra Slim Design, HDMI and VGA inputs, Lowblue Mode, VESA compatible,Black",B07WVNBY1G,False,False,4.6,3072
6,"HP 27h Full HD Monitor - Diagonal - IPS Panel & 75Hz Refresh Rate - Smooth Screen - 3-Sided Micro-Edge Bezel - 100mm Height/Tilt Adjust - Built-in Dual Speakers - for Hybrid Workers,Black",B0B6CYVXF7,False,False,4.6,4640
7,SANSUI Computer Monitors 27 inch 100Hz IPS USB Type-C FHD 1080P HDR10 Built-in Speakers HDMI DP Game RTS/FPS tilt Adjustable for Working and Gaming (ES-27X3 Type-C Cable & HDMI Cable Included),B0BRV7N7K1,False,False,4.5,270
8,"Dell SE2722HX Monitor - 27 inch FHD (1920 x 1080) 16:9 Ratio with Comfortview (TUV-Certified), 75Hz Refresh Rate, 16.7 Million Colors, Anti-Glare Screen with 3H Hardness - Black",B096MYB1H1,False,False,4.6,2584
9,"Samsung CF390 Series 27 inch FHD 1920x1080 Curved Desktop Monitor for Business, HDMI, VGA, VESA mountable, 3-Year Warranty, TAA (C27F390FHN), Black",B01IPHVFUI,False,False,4.6,4888
10,"Sceptre 27-Inch FHD LED Gaming Monitor 75Hz 2X HDMI VGA Build-in Speakers, Ultra Slim Metal Black",B078HSKBG3,False,False,4.5,3376
11,"Acer Nitro 27"" Full HD 1920 x 1080 PC Gaming IPS Monitor | AMD FreeSync Premium | 180Hz Refresh | Up to 0.5ms | HDR10 Support | 99% sRGB | 1 x Display Port 1.2 & 2 x HDMI 2.0 | VG270 M3bmiipx,Black",B0C7WDXKP4,False,False,1.0,1
12,"ASUS VA27EHE 27” Eye Care Monitor Full HD (1920 x 1080) IPS 75Hz Adaptive-Sync HDMI D-Sub Frameless,Black",B082BYRR3L,False,False,4.6,3337
13,"27 Inch Monitor,FHD(1920x1080p) 75Hz VA 99%sRGB High Color Gamut Computer Monitor,for PC Monitors of Gaming&Office Desktop,3Sides Narrow Bezel,Blue Light Filter(HDMI/VGA Port)VESA Mountable.",B0BKVW22HL,False,False,4.4,162
14,"ViewSonic VX2776-SMHD 27 Inch 1080p Widescreen IPS Monitor with Ultra-Thin Bezels, HDMI and DisplayPort",B01GE9QWB6,False,False,4.6,8147
15,"CRUA 27"" Curved Monitor, Full HD(1920x1080P)VA Panel 1800R 75HZ 99% sRGB Professional Computer Monitor,3Sides Frameless,Flicker-less,Blue Light Filter,for Office&Gaming(VGA,HDMI)VESA Mountable-Black",B09VSTTGL5,False,False,4.4,1445
