rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 27 Inch Monitor Powered with AOC Technology, FHD 1080P, 75hz, VESA Compatible, Built-in Speakers, Black",B08WJ3GYC9,True,False,4.5,322.0
1,"Amazon Basics Single Computer Monitor Stand Height Adjustable Desk Arm Mount, Steel, Black",B07DHK5DHN,True,False,4.5,12606.0
2,"Amazon Basics Full Motion Articulating TV Monitor Wall Mount for 26"" to 55"" TVs and Flat Panels up to 80 Lbs, Black",B01KBEOL5E,True,False,4.7,35781.0
3,"Amazon Basics 24 Inch Monitor Powered with AOC Technology, FHD 1080P, 75hz, VESA Compatible, Built-in Speakers, Black",B08WJ26WP6,True,False,4.5,322.0
4,Adesso MRP-CD13 Cash Box Tray,B00L2529BA,False,False,,
5,"Amazon Basics Computer Monitor TV Replacement Power Cord, 3', Black",B072BYGKZW,True,False,4.7,34151.0
6,"Introducing Amazon Fire TV 32"" 2-Series 720p HD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable",B09N6F9NV3,False,False,4.5,2042.0
7,"Amazon Basics Easel Stand, Instant Floor Poster, Lightweight, Collapsible and Portable with Tripod Base, Black Steel(supports 5 pounds)",B07P8TXWYH,True,False,4.3,5282.0
8,"Certified Refurbished Echo Show 15 | Full HD 15.6"" smart display with Alexa and Fire TV built in | Remote not included",B08X74Y8BJ,False,False,4.5,220.0
9,"Amazon Basics Full Motion TV Wall Mount fits 12"" to 40"" TVs and VESA 200x200, Black",B09JWN5F8W,True,False,4.6,454.0
10,"Amazon Basics 15.6-Inch Laptop Computer and Tablet Shoulder Bag Carrying Case,1 Pack , Black",B00DUGZFWY,True,False,4.7,83461.0
