rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 3 Hole Punch, 10 Sheet Capacity, Black",B0879YNTTP,True,False,4.7,5260
1,"Bostitch Office Premium 3 Hole Punch, 12 Sheet Capacity, Metal, Rubber Base, Easy-Clean Tray, Silver",B01GIJLSGG,False,False,4.7,49718
2,"Bostitch Office EZ Squeeze 3-Hole Punch, 20 Sheet Capacity, Reduced Effort, No Jam Technology , Silver , 2"" x 4.4"" x 11.1""",B004I2EB24,False,False,4.8,3826
3,"Bostitch Office 3 Hole Punch, 12 Sheet Capacity, Metal, Rubber Base, Easy-Clean Tray, Navy Blue (KT-HP12-BLUE)",B07DPFVRBL,False,False,4.7,2950
4,"Bostitch Office EZ Squeeze Heavy Duty 3 Hole Punch, 40-Sheet Capacity, Use Less Force, Perfect for Home Office School Supplies, Sleek Design, Silver",B00UCBJIG4,False,False,4.8,11063
5,"Bostitch Office 3 Hole Punch, Durable Metal,Rubber Base, 12 Sheets, Black (KT-HP12-BLK), 1 Pack",B07DPJB4VR,False,False,4.7,4184
6,"Swingline 3 Hole Punch, 2- 3 Hole Adjustable Desktop Puncher, 10 Sheet Punch Capacity, Precision Pro, Black/Silver (74037)",B0006HUPHU,False,False,4.7,15846
7,"Officemate Medium Duty 3 Hole Punch with Ergonomic Handle, 30 Sheet Capacity, Black (90088)",B0006BAWUQ,False,False,4.8,1795
8,"Bostitch Office inPRESS 12 Reduced Effort Three-Hole Punch, Silver/Black (2101)",B003WP2UOY,False,False,4.8,4361
9,"Bostitch Office EZ Squeeze 20 Sheet Standard 3 Hole Punch, Metal Construction, Silver/Black (HP20)",B08DT7Y6C7,False,False,4.8,1989
10,"Swingline 3 Hole Punch, Desktop Puncher for Binder, 20 Sheet Punch Capacity, SmartTouch, Black/Silver (74133)",B00AFTQ4X8,False,False,4.8,5938
11,"3 Hole Punch Pink, Portable Hole Puncher for 3 Ring Binder, 5 Sheets Capacity, Removable Chip Tray, 10” Ruler for School, Office, Also Available in Purple, Blue, Green, Red, Grey, 1 Pc-by Enday",B09VQHNR4V,False,False,4.3,845
12,"Bostitch Office EZ Squeeze Reduced Effort 3-Hole Punch, 12 Sheets, Purple",B008V9994A,False,False,4.8,4380
13,"Bostitch EZ Squeeze INCourage 12 Three-Hole Punch, No Jam Technology, AMAX Spirit Foundation",B008V995K8,False,False,4.8,2327
14,"3 Hole Punch Heavy Duty, 40-Sheet Three Hole Punch, AFMAT Heavy Duty Hole Puncher 3 Ring, Large 3 Hole Paper Punch, 50% Reduced Effort 3-Hole Punch, Metal Paper Puncher w/Large Chip Tray",B091T7ZXJ3,False,False,4.7,1867
15,"WORKLION 3 Ring Hole Puncher for Binders,Pink,with 10"" Ruler, Plus Paper-chip Tray Design,Paper line up Guide,5 Sheets Capacity…",B0B3X31ZFN,False,False,4.3,4459
16,"Eagle 3 Hole Punch, Portable Ring Binder 3 Hole Punch, Paper Puncher with Integrated Ruler, 5 Sheets Capacity, for Ring Binders, Office and School Supplies (Black)",B07CQJWYYC,False,False,4.4,1255
17,"AFMAT Heavy Duty 3 Hole Punch, 50-Sheet 2 Hole Punch, 50% Reduced Effort 3-Hole Puncher, Adjustable Three Hole Punch 2 Hole Paper Punch, Metal Paper Puncher w/Large Chip Tray, Metal Paper Guide",B0BNSX9HR2,False,False,5.0,4
18,"Officemate 3-Hole Punch with Pull Out Chip Drawer, 20 Sheets, Metallic Silver",B000OCM20A,False,False,4.7,621
19,"Performore 3 Hole Portable Paper Punch with Built-in 10"" Ruler, 5 Sheets Capacity, Letter-Size for 3-Ring Binders",B0BSNX42ZX,False,False,4.2,28
20,"Bostitch 3 Hole Punch, 12 Sheets",B088SWPSPT,False,False,4.8,2166
21,Hole Punch Adjustable 3 Hole Punch 10 Sheet Capacity Hole Puncher Black Metal Hole Puncher 3 Ring,B09V8DD17X,False,False,4.4,290
22,"XOOL 3 Hole Punch, Desktop Hole Puncher 2-3 Holes Adjustable 40 Sheet Punch Capacity Metal Heavy Duty Paper Punch Black",B09YY4QDDN,False,False,4.7,15300
23,"3 Hole Punch,3 Hole Puncher for Binder,16-Sheet Three Hole Punch,Adjustable Hole Puncher 3 Ring",B0CFPPJMNZ,False,False,4.5,2
24,"3 Hole Punch, AFMAT Electric Three Hole Punch Heavy Duty, 20-Sheet Punch Capacity, AC or Battery Operated Paper Punch, Effortless Punching, Long Lasting Paper Puncher for Office School Studio, Black",B082QRM4LQ,False,False,4.7,3826
25,"OIC® Heavy-Duty 3-Hole Lever Punch, Black",B00009L1WG,False,False,4.7,1238
26,"Electric 3 Hole Punch, VEYETTE Black Fast Hole Puncher 20 Sheets,Use AC or 6 AA Battery",B07XKHT88W,False,False,4.1,312
27,"Eagle Desktop 3 Hole Punch, Paper Puncher, Heavy Duty,12 Sheet Capacity, Metal (Deep Pink)",B01M134T5V,False,False,4.6,442
28,"Bostitch Electric 3-Hole Punch, AC Adapter or Battery Powered, Max Sheet Capacity 12 Sheets, Black (EHP3BLK)",B002EL4RK2,False,False,4.6,1013
29,"3 Hole Punch Heavy Duty, 3 Ring Hole Puncher for Binder, 10 Sheet Adjustable Paper Punch, Metal Three Hole Punch with Built-in Waste Chip Tray, Desktop 3 Hole Puncher Rubber Base, White - by Enday",B0CB76GJ9W,False,False,4.4,30
30,"Bostitch Office EZ Squeeze 40 Sheet 3-Hole Punch, Heavy Duty (HP40AM), Silver",B09G8NXTX5,False,False,4.8,113
31,"Swingline Desktop Hole Punch, 2-7 Holes Adjustable, 20 Sheet Capacity, Light Touch Low Effort Paper Punch, Black/Silver (74030)",B00006JNWX,False,False,4.6,3826
32,"Officemate Deluxe 3-Hole Punch, Heavy Duty, with Chip Drawer, 45 Sheet Capacity (90100), Silver/Navy",B000OCKFIG,False,False,4.7,380
33,"Officemate Standard 3 Hole Punch with 8 Sheet Capacity, Black (90099)",B07621JTJX,False,False,4.3,872
34,"Bostitch Office 3 Precise Hole Punch, 12 Sheet Capacity, Durable Metal, Easy Clean, Gray",B07DPJH1LR,False,False,4.7,850
35,"Office mate Heavy Duty 3 Hole Punch with Padded Handle, 40-Sheet Capacity, Black (90089)",B000LNK63M,False,False,4.7,1078
36,"EOOUT Clear 3 Hole Punch Folders with 2 Pockets, 24 pcs Plastic Folders with Pockets, Transparent Pocket Folders, Pastel Colors, Plastic Pocket for 3 Ring Binder",B0C6JQGZHG,False,False,4.6,32
37,"Swingline 2-3 Hole Punch, Semi-Adjustable, Light Duty Hole Puncher, 10 Sheet Punch Capacity, Black (74015)",B000F8SZW2,False,False,4.7,4151
38,"Bostitch Office Ring Binder 3 Hole Punch, 5 Sheets, Includes One Punch in Assorted Colors (RBHP-4C)",B005MWPJWU,False,False,3.9,1389
39,"HAUSHOF Desktop Stapler and 3-Hole Punch Set with 5000-Piece Staples and Staple Remover, Office Supplies Compatible with 26/6 and 24/6 Staples",B086YK1SB4,False,False,4.6,938
