rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 3 Hole Punch, 10 Sheet Capacity, Black",B0879YNTTP,True,False,4.7,5260.0
1,"Amazon Basics Binder Organizer Poly Jacket, 3 Hole Punch, Assorted Colors, Pack of 5",B07K9261D3,True,False,4.7,3038.0
2,"Amazon Basics Plastic 3 Hole Punch Folders with 2 Pockets, Assorted Color, Pack of 12",B07K92YXFP,True,False,4.8,12567.0
3,"Amazon Basics 3-Ring Binder Plastic Divider Set, 3-Hole Punched Letter Size 8-Tab Dividers, 6 Pack, Assorted Color",B07K8ZNKZ6,True,False,4.7,7536.0
4,"Amazon Basics Full-strip Metal Office Desktop Stapler, 20 Sheet Capacity, 3 Pack, Black",B07VYJTPL9,True,False,4.6,1437.0
5,"Amazon Basics Stapler Value Pack Including Staples and Staple Remover, 3 Pack, Black",B07VXGD3Y3,True,False,4.6,1127.0
6,"Amazon Basics Hand Held Plier Stapler, 25 Sheet Capacity, Black",B086N9P6Z6,True,False,4.6,817.0
7,"Amazon Basics Comb Binding Machine, Grey",B086N8NXHR,True,False,4.0,836.0
8,"Amazon Basics Effortless Heavy Duty Stapler, 210 Sheets High Capacity, Large Office Stapler with 1000 Staples, Black",B086N8N53M,True,False,4.3,3303.0
9,"AmazonBasics Binder Organizer Poly Jacket, 3 Hole Punch, Assorted Colors, Pack of 5 with AmazonBasics D-Ring Binder - 1 Inch, White, 4-Pack Bundle",B07WK82QGQ,True,False,5.0,2.0
10,"Amazon Basics 3-Ring Binder Plastic Divider Set, 3-Hole Punched Letter-Size 8-Tab Dividers - 6-Pack, Multicolor & Economy 3 Ring Binder, Showcase View Binder with 3 Inch D-Ring, White, 2-Pack",B09GQPF6R6,True,False,5.0,2.0
11,"AmazonBasics Binder Organizer Poly Jacket, 3 Hole Punch, Assorted Colors, Pack of 25 with AmazonBasics D-Ring Binder - 1 Inch, White, 4-Pack Bundle",B07WG167V5,True,False,,
12,"Amazon Basics 3-Ring Binder with Zipper - O-Ring, 3 Inch, Blue",B07D8RPWRG,True,False,4.6,3292.0
