rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Wireless Charger, 3 in 1 Wireless Charging Station, Fast Wireless Charger Stand for iPhone 15 14 13 12 11 Pro Max XR XS 8 Plus, for Apple Watch 8 7 6 5 4 3 2 SE,for AirPods Pro 3 2 (Black)",B0B76XG3B8,False,False,4.4,23331
1,"3 in 1 Charging Station for iPhone, Wireless Charger for iPhone 15 14 13 12 11 X Pro Max & Apple Watch - Charging Stand Dock for AirPods",B0BFCC18FS,False,False,4.4,6962
2,"Charging Station for iPhone Multiple Devices,Foldable Wireless Charger,3 in 1 Fast Wireless Charging Dock Stand for Apple Watch & AirPods iPhone 14 13 12 11 Pro X Max XS XR 8 7 Plus 6s with Adapter",B0CCMT9BGQ,False,False,4.8,116
3,"3 in 1 Wireless Charger for MagSafe, Aluminum Alloy Wireless Charging Station, Compatible with iPhone 14/13/12, Apple Watch, AirPods Pro/3/2 (Cable and Wall Charger Included) Silver",B0BBW1YZHL,False,False,4.3,1622
4,"UCOMX Nano 3 in 1 Wireless Charger for iPhone,Magnetic Foldable 3 in 1 Charging Station,Travel Charger for Multple Devices for iPhone 15/14/13/12 Series,AirPods Pro,iWatch(Adapter Included)",B09FKZ7M9M,False,False,4.3,18054
5,"Wireless Charging Station, 3 in 1 Charging Station for Apple Devices, Wireless Charger for iPhone 15 14 13 12 11 Pro & Max Series, AirPods Pro/3/2, Apple Watch (Adapter Included) - Black",B0C8TRTZRD,False,False,4.5,83
6,3 in 1 Charging Station for Apple Devices 20W Foldable Mag-Safe Charger for Travel Wireless Charger Pad for iPhone 15 14 13 12 Pro/Pro Max/Plus/Mini AirPods 2/3/Pro iWatch Ultra/8/7/SE/6/5/4/3/2,B0CFV7VRX4,False,False,5.0,33
7,"JARGOU 3 in 1 Wireless Charger, Fast Charging Station, Magnetic Charger for iPhone 14/13/12 Series, Travel Charger for Multiple Devices for AirPods 3/2/Pro,Charging Stand for Apple watch Series(Black)",B0CG9696QF,False,False,5.0,12
8,"Foldable 3 in 1 Charging Station for Apple,KU XIU Fast Magnetic Wireless Charger Compatible with iPhone14/13/12 Pro/Max,5W for Apple Watch Ultra, AirPods 3/2/Pro&Multple Devices(Adapter Included)Black",B0C33TM684,False,False,4.6,40
9,"3 in 1 Wireless Charging Station for Apple Devices, Standard 15W Fast Wireless Mag-Safe Charger Stand with QC3.0 Adapter for iPhone 15 14 13 12 Pro Max/Plus/Pro/Mini,iWatch Ultra 1,2 Series 9, AirPods",B09SLPWZFM,False,False,4.3,3145
10,"3 in 1 Fast Wireless Charger w/ 20W PD Adapter, Foldable Magnetic Charging Station for Apple Devices, Travel Charging Pad for MagSafe iPhone 15/14/13/12 Series iWatch Ultra 8 7 6 5 4 3 Airpods 3 2 Pro",B0C5QQTBCL,False,False,4.8,242
11,"Wireless Charging Station,3 in 1 Wireless Charging Stand Made for Apple Watch Ultra 9 8 7 6 SE 5 4 3,Fast Wireless Charger Made for iPhone 15/15 Plus/15 Pro Max/14/13/12/11/X,AirPods Pro(with Adapter)",B0B3RC6M94,False,False,4.6,5227
12,"3 in 1 Wireless Charging Station for Apple Watch and iPhone 15, Magnetic Foldable Travel Charger Stand 18W for iPhone 15 / Pro/Max/Plus 14 13 12 and Apple Watch Series 9 / Utra 1, 2 / Airpods",B0B5XWZRQY,False,False,4.5,4489
13,3 in 1 Charging Station for Apple Devices 18W Fast Mag-Safe Charger Stand Magnetic Wireless Charger Station for iPhone 15 14 13 12 Pro/Pro Max/Plus/Mini AirPods 2/3/Pro iWatch Ultra/8/7/SE/6/5/4/3/2,B0C5J3YTC3,False,False,4.6,353
14,"3 in 1 Wireless Charging Station for Multiple Devices Apple, Aeinidi 15W Fast Mag-Safe Charger Stand, Magnetic Charger for iPhone 15 14 13 12 Pro Max/Plus/Pro/Mini, Apple Watch, AirPods Pro 3 2, Black",B0C23QNK4F,False,False,4.7,174
15,"Wireless Charging Station, 3 in 1 Wireless Charger for iPhone 14/13/12/11/Pro/Max/SE/XS/XR/X/8 Plus/8, Fast Wireless Charging Stand Dock for Apple Watch Series & Airpods(with Adapter)",B0B17HR2LL,False,False,4.3,5744
