rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Kodak Ultramax 400 Color Print Film 36 Exp. 35mm DX 400 135-36 (108 Pics) (Pack of 3), Basic",B004R4N2B4,False,False,4.7,3572.0
1,Kodak Ultramax 400 Color Negative Film (ISO 400) 35mm 24-Exposures - 2 Pack (2 Items),B014VGZQOI,False,False,4.7,1782.0
2,4x Kodak UltraMax 400 Speed 35mm 36 Exposures Film,B003ZH40QU,False,False,4.8,2486.0
3,Kodak Portra 400 Color Print 35mm Film - 36 Exposures,B0001ZVXJQ,False,False,4.6,621.0
4,"Kodak Gold 200 Color Negative Film (ISO 200) 35mm 36-Exposures, 603 3997",B000JLI0K2,False,False,4.7,1269.0
5,Five Pack of Ilford FP4 Plus 35mm Black & White Negative Film 36 Exp,B015ZLPF1M,False,False,4.6,79.0
6,"LFANI Film | 35mm Film | for Film Camera | iso 200 | Great for Experimental Photos | one Evening Film for a Birthday, a Wedding, or Friends Party | Shoot on All 35mm Camera | 8 exposures",B0CCJKTY7W,False,False,,
7,"Cinestill 400Dynamic Versatile Color Film 35mm, 36 Exposures",B0B7G6SNV9,False,False,4.6,66.0
8,Fujifilm Fujicolor C200 35 mm 36 Exposure Colour Print Camera Film Twin Pack,B000NWKJT2,False,False,4.4,1200.0
9,"Ilford 1780624 Delta 100 Professional Black-and-White Film, ISO 100, 35mm 36-Exposure (2 Pack)",B06WVRJ5BR,False,False,4.7,142.0
10,"Kodak Tri-X 400TX Professional Black & White Film ISO 400, 35mm, 24 Exposures (3 Pack)",B01MRHXNEM,False,False,4.7,1237.0
11,"KODAK 35mm Professional Portra Color Film (ISO 160) 6031959,Yellow",B004RIC11C,False,False,4.8,713.0
12,"Fujifilm Fujicolor 200 Color Negative Film (35mm Roll Film, 36 Exposures)(Pack of 1)",B008H24I9C,False,False,4.5,264.0
13,Lomography LomoChrome Metropolis ISO 100-400 Color Negative 35mm Film Roll,B0849PQWPN,False,False,4.5,49.0
14,"Kodak Portra 800 Color Negative Film ISO 800, 35mm Size, 36 Exposure, Pack of 5,USA",B00009XVZK,False,False,4.7,62.0
15,"Kodak Ektar 100 Professional ISO 100, 35mm, 36 Exposures, Color Negative Film (Pack of 2)",B06WLHBBZF,False,False,4.8,771.0
