rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"SCRIB3D P1 3D Printing Pen with Display - Includes 3D Pen, 3 Starter Colors of PLA Filament, Stencil Book + Project Guide, and Charger",B08HM4133L,False,False,4.3,11590
1,MYNT3D Professional Printing 3D Pen with OLED Display,B01BLQ24IW,False,False,4.4,11465
2,"3Doodler Start+ Essentials (2023) 3D Pen Set for Kids, Easy to Use, Learn from Home Art Activity Set, Educational STEM Toy for Boys & Girls Ages 6+, 9.06 x 6.02 x 2.56 inches",B086JQQHPK,False,False,4.3,6447
3,"MYNT3D Super 3D Pen, 1.75mm ABS and PLA Compatible 3D Printing Pen",B081C946ZJ,False,False,4.3,16557
4,"SCRIB3D Advanced 3D Printing Pen with 20 Feet of Filament, Stencil Book, and Project Guide",B08HM3X3D3,False,False,4.3,3424
5,"3Doodler Create+ 3D Printing Pen for Teens, Adults & Creators! - Black (2023 Model) - with Free Refill Filaments + Stencil Book + Getting Started Guide",B07B7PQCZV,False,False,4.2,4139
6,"Junior 3D Printing Pen for Kids Ages 6+ - Ready to use and Child Safe 3D Pen with no hot Parts, Free Refills Included",B0BHX7QG1X,False,False,3.6,35
7,MYNT3D Super 3D Pen + 10 Color PLA Filament + DesignPad Mat Kit,B08MT32VX9,False,False,4.4,898
8,MYNT3D Junior2 3D Pen for Kids [2020 Model] Child Safe Low Temperature Printing Pen (NOT Compatible with ABS/PLA),B08K8RPZVX,False,False,4.0,1092
9,"MYNT3D Basic 3D Pen [New for 2020] 1.75mm ABS and PLA Compatible 3D Printing Pen, Black",B08K8R2P9P,False,False,4.2,1606
10,"3Doodler PRO+ 3D Printing Pen (2023), Design Tool for Creative Professionals, 3D Pen Set for Adults - Includes Speciality Plastic Materials + Interchangable Nozzle Set and More",B08K8PTX8C,False,False,4.0,42
11,"12 Color 3D Nail Art Pens Set, Kalolary Nail Point Graffiti Dotting Pen Drawing Painting Liner Brush for Halloween Christmas DIY Nail Art Beauty Adorn Manicure Tools (C)",B0B7B5BPFN,False,False,4.3,1286
12,"3D Printing Drawing Book, Reusable Colorful 40 Patterns Thick Paper Template with a Clear Plate, Painting Graffiti Template for 3D Pen Kids DIY Gift",B09QBYXK8Z,False,False,4.4,382
13,"15 Bright Colors 1.75mm 3D Pen PLA Filament Refill, Each Color 10feet, Total 150 Feet 3D Pen/3D Printer PLA Sample Pack, Compatible with MYNT3D / SCRIB3D Printing Pen",B09CLHXDYM,False,False,4.6,836
14,"3D Pen Filament Refills 15 Colors, 16 ft per Color Total 240 ft, 1.75 mm Filament Compatible with SCRIB3D MYNT3D 3D Pen Comes with 2 Finger Caps & 3D Pen Template Book [3D Pen NOT Include]",B09ZTG2VVZ,False,False,4.6,1325
15,"GWCASE Case Compatible with 3Doodler Start+ Essentials for 3D Pen Set for Kids, for 3D Pens Storage Organizer Carrying Holder Fit for 3D Printing Pen, Plastic Refill Blister (Box Only)-Purple",B0B7G46NC1,False,False,4.2,86
