rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"PLA 3D Printer Filament PLA Filament 1.75mm 1kg/2.2lbs Spool 3D Printing Filament 1.75mm PLA Filament Dimensional Accuracy +/- 0.03mm, White PLA Fit Most FDM Printers",B0B4D8WG77,False,False,4.4,320
1,"OVERTURE PLA Filament 1.75mm PLA 3D Printer Filament, 1kg Cardboard Spool (2.2lbs), Dimensional Accuracy +/- 0.03mm, Fit Most FDM Printer (White 1-Pack)",B07PGZNM34,False,False,4.5,19808
2,"SUNLU PLA 3D Printer Filament PLA Filament 1.75mm, Neatly Wound PLA 3D Printing Filament 1.75mm, Dimensional Accuracy +/- 0.02 mm, Fit Most FDM 3D Printers, 1kg Spool (2.2lbs), PLA Black",B07XG3RM58,False,False,4.4,16103
3,"SUNLU 3D Printer Filament Bundle, SUNLU PLA Plus Filament 1.75mm, Neatly Wound PLA+ Filament 2kg, 8 Colors, 0.25kg Spool, 8 Packs, Black+White+Grey+Blue+Green+Red+Orange+PureYellow",B0BBLSTSVB,False,False,4.4,3411
4,"3D Printer Filament Bundle, Glow in The Dark Filament Multicolor, Green, Blue and Blue-Green, PLA Filament 1.75 mm, Dimensional Accuracy +/- 0.03 mm, 250g X 4 Pack",B09HTXM88F,False,False,4.3,1092
5,"SUNLU 3D Printer Filament Bundle 1.75mm, Neatly Wound PLA Filament Meta 2kg, 8 Colors, 0.25kg Spool, 8 Packs, Black+White+Grey+Blue+Green+Red+Yellow+Pink",B0B1DMHDYL,False,False,4.5,886
6,"Silk PLA 3D Printer Filament Triple Color Silk PLA Filament 1.75mm 3D Printing Filament Fit Most FDM Printers, 250g Spool(0.55lbs), 3 in 1 Color Rose Red Sky Blue Green",B0C9DQ6H8Z,False,False,4.5,35
7,"SUNLU PETG 3D Printer Filament Bundle, Neatly Wound Filament 1.75mm, 2kg in Total, 0.25kg per Spool, Individually Vacuum Packed, 8 Colors, Black+Clear(Yellow+Blue+Green+Purple Blue+Red+Orange+White)",B0BN8D6GTH,False,False,4.3,2216
8,"MIKA3D 6 Spools Bicolor Dual Color 1.75mm 3D Printer Filament Bundle, 3D Printing Silk PLA, Silk Black-Orange/Red-Gold/Black-Red/Gold-Copper/Green-Blue/Green-Purple, 3D Printing PLA 250g X 6 Spools",B0BMLD2GYD,False,False,4.3,390
9,"AMOLEN 3D Printer Filament Bundle, PLA Filament 1.75mm, Dual Color Filament, Silk Red Gold, Silk Red Green, Silk Red Blue, Silk Blue Green, 3D Printing Filament 200gX 4 Spools",B0931YN8L1,False,False,4.3,3779
10,"Wood Filament PLA, 3D Printer Filament 1.75 mm, Smooth Silk Texture, Toughness, 1kg(2.2lbs)/Spool Printing Filament, for All FDM Printers (Wood)",B0BZCXM2Q8,False,False,4.4,296
11,"SUNLU Glow in the Dark PLA Filament, Neatly Wound Luminous PLA 3D Printer Filament 1.75mm Dimensional Accuracy +/- 0.02mm, Fit Most FDM 3D Printer, 1kg Spool (2.2lbs), 330 Meters, White PLA Glow Green",B0C4LT1ZF4,False,False,4.3,5475
12,"PLA + Filament Pro, 3D Printing Filament 1.75mm PLA Plus, Upgraded Toughness Neat Winding,Dimensional Accuracy +/-0.03mm, 2.2lbs/Spool,Fit Most 3D Printer, Black",B0C6ZB9J6B,False,False,4.4,183
13,"HATCHBOX 1.75mm Black PLA 3D Printer Filament, 1 KG Spool, Dimensional Accuracy +/- 0.03 mm, 3D Printing Filament",B00J0ECR5I,False,False,4.7,32748
14,"ELEGOO PLA Filament 1.75mm Gray 1KG, 3D Printer Filament Dimensional Accuracy +/- 0.02mm, 1kg Cardboard Spool(2.2lbs) 3D Printing Filament Fits for Most FDM 3D Printers",B0BM71THWB,False,False,4.4,1648
15,"Silk PLA Filament Bundle Shiny Metallic Metal Filament, 3D Printer Filament PLA 1.75mm, 3D Printing Material 4 Pack, Each Spool 0.25kg, 4 in 1 Bundle",B09F2RW21J,False,False,4.4,885
