rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Official Creality Ender 3 3D Printer Fully Open Source with Resume Printing Function DIY 3D Printers Printing Size 8.66x8.66x9.84 inch,B07BR3F9N6,False,False,4.3,14208
1,"Official Creality Ender 3 V2 Neo 3D Printer with CR Touch Auto Leveling Kit PC Spring Steel Platform Full-Metal Extruder, 95% Pre-Installed 3D Printers with Resume Printing and Model Preview Function",B08BL41ZMY,False,False,4.3,1324
2,"Voxelab Aquila X2 3D Printer with Filament Detection, Resume Printing, Removable Build Surface Plateform, Fully Open Source, TMC2208 32-bit Silent Mainboard, Auto Filaments Feed/Return",B0953M39YB,False,False,4.1,668
3,"CREALITY 3D Printer, CREALITY Ender 3 Pro 3D Printer with UL Certified Meanwell Power Supply Upgraded Ender 3 with Magnetic Build Surface Plate Metal DIY Printers Printing Size 8.6x8.6x9.8in",B07K3SZBHJ,False,False,4.5,1609
4,"Official Creality Ender 3 V2 Upgraded 3D Printer with Silent Motherboard Branded Power Supply Carborundum Glass Platform Resume Printing Function, DIY FDM 3D Printers Build Size 8.66x8.66x9.84 inch",B07FFTHMMN,False,False,4.4,7011
5,"ANYCUBIC Photon Mono 2, Resin 3D Printer with 6.6'' 4K + LCD Monochrome Screen, Upgraded LighTurbo Matrix with High-Precision Printing, Enlarge Print Volume 6.49'' x 5.62'' x 3.5''",B0BWHGK525,False,False,4.3,1674
6,"WEEFUN Tina2S 3D Printer, Fully Assembled WiFi Cloud Printing Auto Bed Leveling Mini 3D Printer for Beginners, Built in 32-bit Silent Mainboard, Fully Open Source DIY 3D Printers for Home, School",B0BV1Z7SVD,False,False,4.2,456
7,"ELEGOO Resin 3D Printer, Mars 3 Pro MSLA 3D Printer with 6.6-Inch Ultra 4K Monochrome LCD, Print Size of 5.647""(W) 3.52(D) 6.8""(H) and Replaceable Activated-Carbon",B09V17RKFV,False,False,4.6,3113
8,3D Printer Silk Rainbow Multicolor PLA Filamentt 1.75mm 1KG Multi Color Printing Materials Gradually Changing Color PLA Rainbow Mulitcolor Multicolored Metallic Color Gradient Filament CC3D,B07PYDNQXS,False,False,4.4,9936
9,"Official Creality Ender 3 Pro 3D Printer with Removable Build Surface Plate and Branded Power Supply, FDM 3D Printers for DIY Home and School Printing Size 8.66x8.66x9.84 inch",B07GYRQVYV,False,False,4.4,9501
10,"Longer LK5 Pro 3D Printer, Large Build Size 11.8''(L) x11.8''(W) x15.7''(H), 90% Pre-Assembled, Silent Motherboard, FDM 3D Printers for DIY Home and School Printing",B09ZHBYBMF,False,False,4.3,199
11,"Official Creality Ender-3 V2 Neo 3D Printer with CR Touch Auto-Leveling, Full-Metal Bowden Extruder, Stable Integrated Design, PC Spring Steel Magnetic Build Plate Printing Size: 8.66x8.66x9.84 inch",B0B8CRNZRX,False,False,3.8,24
12,"ELEGOO Neptune 3 Pro FDM 3D Printer with Auto Bed Leveling, Dual-Gear Direct Extruder, Dual Lead Screw Drive, Removable Capacitive Screen, 8.85x8.85x11in Large Printing Size",B0BJCQ59JS,False,False,4.6,402
13,"Anycubic Kobra Neo 3D Printer, Pre-Installed 3D Printers with Direct Drive Extruder High Precision Printing and Easy Model Removal for Beginners Print Size 8.7x8.7x9.84in",B0C7CHKWH4,False,False,4.0,80
14,"Entina Mini 3D Printers Tina 2, Fully Assembled and Auto Leveling 3D Printer for Beginners, Removable Magnetic Platform, High Precision Printing with PLA/PLA Pro/TPU, Size 3.9x4.7x3.9 inch",B09PBHDLHB,False,False,4.3,486
15,"R QIDI TECHNOLOGY X-PLUS3 3D Printers Fully Upgrade, 600mm/s Industrial Grade High-Speed 3D Printer, Acceleration 20000mm/s2, 65℃ Independent Heated Chamber, CoreXY&Klipper, 11.02x11.02x10.63 inch",B0C7Q23P31,False,False,4.7,1299
