rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics SILK PLA 3D Printer Filament, 1.75 mm, Copper, 1 kg Spool (2.2 lbs)",B088972M4Q,True,False,4.5,2363
1,"Amazon Basics PLA 3D Printer Filament, 1.75mm, Red, 1 kg Spool",B07T616NXL,True,False,4.2,14250
2,"Amazon Basics TPU 3D Printer Filament, 1.75 mm, Red, 1 kg Spool (2.2 lbs)",B088962DCK,True,False,4.5,1204
3,"Amazon Basics 3D Pen Filament Refills, 32 Count, Variety of 32 Colors, 1.75mm",B09YRD5W62,True,False,4.6,39
4,"Amazon Basics Clear Thermal Laminating Plastic Paper Laminator Sheets - 11.5 x 9.0-Inch, 100-Pack, 3 mil",B00BWU3HNY,True,False,4.8,76043
5,"Amazon Basics High-Speed, 4K Ultra HD HDMI 2.0 Cable / Cord, 60 Hz, 2160p, 48 bit, 18 Gbps, 3D, male-to-male, 0.9m (2.9ft) for Laptop",B014I8SIJY,True,False,4.7,513989
6,"Amazon Basics USB-A 2.0 Extension Cable, for Printer, Mouse or Keyboard, Male to Female, 480Mbps Transfer Speed, 32 Feet, Black",B01L81WQ2O,True,False,4.6,2485
7,Amazon Basics USB 2.0 Printer Cable - A-Male to B-Male Cord - 10 Feet (3 Meters) & USB 2.0 Printer Type Cable - A-Male to B-Male - 16 Feet (4.8 Meters),B07WL239YT,True,False,4.8,6
8,"Amazon Basics USB 2.0 A-Male to Micro B Cable, 10 feet, Black, Printer & High-Speed 4K HDMI Cable - 10 Feet",B089W5Z1WR,True,False,4.5,2
9,"Amazon Basics USB 2.0 Printer Cable - A-Male to B-Male Cord - 10 Feet (3 Meters), Black & High-Speed 4K HDMI Cable - 10 Feet",B07VQ3FNJK,True,False,5.0,3
