rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"ZOTAC Gaming GeForce RTX 4090 AMP Extreme AIRO 24GB GDDR6X 384-bit 21 Gbps PCIE 4.0 Graphics Card, IceStorm 3.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-D40900B-10P",B09D1VF7F8,False,False,4.3,84
1,"ASUS ROG Strix GeForce RTX® 4090 Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a)",B0BLGFY48N,False,False,4.6,220
2,"ASUS TUF GeForce RTX® 4090 OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a)",B0BGV6LQYR,False,False,4.5,142
3,"ZOTAC Gaming GeForce RTX 4090 Trinity OC White Edition DLSS 3 24GB GDDR6X 384-bit 21 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 3.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-D40900Q-10P",B0CCSSRLWY,False,False,5.0,3
4,MSI Gaming GeForce RTX 4090 24GB GDRR6X 384-Bit HDMI/DP Nvlink Torx Fan 5 Ada Lovelace Architecture Liquid Cool OC Graphics Card (RTX 4090 SUPRIM Liquid X 24G),B0BG94BM2G,False,False,4.4,157
5,"ASUS TUF Gaming GeForce RTX™ 4090 OG OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, DLSS 3, HDMI 2.1, DisplayPort 1.4a)",B0C7JYX6LN,False,False,4.2,11
6,"Galax GeForce RTX™ 4090 SG (1-Click OC Feature), Xtreme Tuner App Control, 24GB, GDDR6X, 384-bit, DP*3/HDMI 2.1/DLSS 3/Gaming Graphics Card (with Graphics Card Brace Support)",B0BWNFZJNZ,False,False,4.6,34
7,VIPERA NVIDIA GeForce RTX 4090 Founders Edition Graphic Card,B0BJFRT43X,False,False,4.4,79
8,"GIGABYTE GeForce RTX 4090 Gaming OC 24G Graphics Card, 3X WINDFORCE Fans, 24GB 384-bit GDDR6X, GV-N4090GAMING OC-24GD Video Card",B0BGP8FGNZ,False,False,4.3,153
9,New GeForce RTX 4090 24GB Founders Edition Graphics Card GDDR6X Titanium Black,B0BLCBLCDR,False,False,5.0,7
10,"ASUS ROG Strix GeForce RTX 4090 24GB OC Edition Gaming Graphics Card (DLSS 3, PCIe 4.0, 24GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a, ROG-STRIX-RTX4090-O24G-GAMING)",B0BHD6N2CK,False,False,4.2,193
11,"GIGABYTE GV-N4090AERO OC-24GD GeForce RTX 4090 AERO OC 24G Graphics Card, 3X WINDFORCE Fans, 24GB 384-bit GDDR6X, Video Card",B0BXMP9QVF,False,False,4.5,32
12,"ZOTAC Gaming GeForce RTX 4090 Trinity OC 24GB GDDR6X 384-bit 21 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 3.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-D40900J-10P",B0BGJRHX1X,False,False,4.5,111
13,Corsair Vengeance i7400 Series Gaming PC - Liquid Cooled Intel® Core™ i9 12900K CPU - NVIDIA® GeForce RTX™ RTX 4090 GPU - 2TB M.2 SSD - 64GB Vengeance RGB DDR5 Memory - Black,B0C74H9VFF,False,False,4.0,6
14,ABS Tempest Aqua High Performance Gaming PC – Intel i9 13900KF - GeForce RTX 4090 – DLSS 3 - AI-Powered Performance - 32GB DDR5 6000MHz - 2TB M.2 NVMe SSD – TA13900KF4090-2,B0CH3Y7SSS,False,False,4.2,60
15,"ASUS ROG Strix GeForce RTX 4090 Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a, DLSS3 Support, Supports 4K)",B0BHD8MTST,False,False,4.7,8
