rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"SAMSUNG UJ59 Series 32-Inch 4K UHD (3840x2160) Computer Monitor, HDMI, Display Port, Eye Saver/Flicker Free Mode, FreeSync (LU32J590UQNXZA),Black",B07CS3JGPC,False,False,4.3,4281
1,"ASUS TUF Gaming VG289Q1A 28” Monitor, 4K UHD (3840 x 2160), IPS, Adaptive-Sync/ FreeSync, Eye Care, DisplayPort HDMI, DCI-P3 HDR 10, Shadow Boost, Black",B083Z2RPB9,False,False,4.5,2795
2,"SCEPTRE 32-inch IPS 4K UHD 3840 x 2160 Monitor DisplayPort x2 HDMI x2 99% sRGB Build-in Speakers, Machine Black 2024 (U325W-UPT)",B0CC6RTL44,False,False,4.4,768
3,"AOC U2790VQ 27"" 4K 3840x2160 UHD Frameless Monitor, IPS, 5ms, 1 Billion+ Colors, 108% sRGB, VESA, Black",B07LBM2DCC,False,False,4.4,2844
4,"Z-Edge 4K Monitor, 28inch IPS Monitor Ultra HD 3840x2160 IPS Gaming Monitor, 300 cd/m², 60Hz Refresh Rate, 4ms Response Time, Built-in Speakers, U28I4K FreeSync Technology",B0BYZGHRS7,False,False,4.4,455
5,"LG UltraFine UHD 27-Inch 4K UHD 2160p Computer Monitor 27UN850-W, IPS with VESA DisplayHDR 400, AMD FreeSync, and USB-C, White,Silver",B08CVTTNN4,False,False,4.5,1860
6,"LG 32UN500-W Monitor 32"" UltraFine (3840 x 2160) Display, AMD FreeSync, DCI-P3 90% Color Gamut, HDR10, Built-in Speakers, 3-Side Virtually Borderless Design - Silver/White",B08FPLLX6Y,False,False,4.4,1153
7,"Dell S2721QS 27 Inch 4K UHD (3840 x 2160) IPS Ultra-Thin Bezel Monitor, AMD FreeSync (HDMI, DisplayPort), VESA Certified, Silver",B08DQWG3JG,False,False,4.4,2831
8,"PHILIPS 276E8VJSB 27"" Monitor, 4K UHD IPS, 1 Billion+ Colors, Ultranarrow Borders, Lowblue, Multiview, 4Yr Advance Replacement Warranty",B07JXCR263,False,False,4.3,2651
9,"PHILIPS 278E1A 27"" Frameless Monitor, 4K UHD IPS, 109% sRGB, Speakers, VESA, 4Yr Advance Replacement Warranty",B07ZSGR5TM,False,False,4.4,1055
10,"Dell 32 Inch 4K Monitor, UHD (3840 x 2160), 60Hz, Dual HDMI 2.0, DisplayPort 1.2, 4ms Gray-to-Gray in Extreme Mode, 1.07 Billion Colors, SE3223Q - Black",B0B2GRMGFL,False,False,4.6,2584
11,"acer Nitro VG0-28"" Widescreen Display 4KUHD 3840x2160 60Hz IPS 16:9 4ms 300Nit (Renewed)",B088ML74GB,False,False,4.1,78
12,"SAMSUNG G50A Gaming Monitor, 27 Inch 4K, Ultrawide, QHD, 165hz, HDR10, G-Sync (LS27AG500PNXZA)",B096YMQ3C8,False,False,4.2,264
13,"KOORUI 27 Inch Computer Monitors, 4K UHD(3840 * 2160) IPS Gaming Monitors, HDR10, 90% DCI-P3, Frameless, 2X HDMI 2.0 & DisplayPort 1.4, VESA Mountable, Eye Protection",B0C6T7Y81Q,False,False,4.4,4675
14,"SAMSUNG S80A Computer Monitor, 27 Inch 4K , Vertical , USB C , HDR10 (1 Billion Colors), Built-in Speakers (LS27A800UNNXZA),Black",B09FRCXSJK,False,False,4.2,827
15,"ViewSonic VX3267U-4K 4K UHD 32 Inch IPS Monitor with 65W USB C, HDR10 Content Support, Ultra-Thin Bezels, Eye Care, HDMI, and DP Input, Black",B0BRNTYTYK,False,False,5.0,1
