rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"upsimples 4x6 Picture Frame Set of 10, Display Pictures 3.5x5 with Mat or 4x6 Without Mat, Multi Photo Frames Collage for Wall or Tabletop Display, Black",B09652HXBG,False,False,4.7,20467.0
1,"upsimples 4x6 Picture Frame Set of 3, Made of High Definition Glass for 4x 6 Black Frames, Wall and Tabletop Display Thin Border Photo Frame for Home Décor",B0C8J18P5S,False,False,4.3,17.0
2,"HappyHapi 4x6 Inch Picture Frames,Set of 10 Wooden Picture Frames, Tabletop or Wall Display Decoration for Photos, Paintings, Landscapes, Posters, Artwork (Black)",B088LY5W9P,False,False,4.5,1667.0
3,"HappyHapi 4x6 Picture Frame, 2 Pack Wooden Black Picture Frames, Tabletop or Wall Display Decoration Photo Frames for Photos, Paintings, Landscapes, Posters, Artwork",B0BCYVKK34,False,False,4.3,112.0
4,"4x6 Picture Frames Set of 2, Wooden Picture Frames with HD Plexiglass, Black Edging for Classic Style, Horizontal and Vertical for Wall and Tabletop",B0CDLY1QD1,False,False,,
5,HappyHapi 4x6 Picture Frame 2 Pack Photo Picture Frame with Real Glass for Wall or Tabletop Display Decor 4x6 Frames Collage for Photos/Artwork/Paintings (Black),B0BYHHY8ZP,False,False,4.5,113.0
6,"Icona Bay 4x6 Black Picture Frame, Modern Double-Beveled Frame, Tabletop or Wall Mount, Eve Collection",B09CGS9ZFJ,False,False,4.4,495.0
7,"Icona Bay 4x6 Transom Brown Picture Frame, Rustic Casual Style 4 x 6 Photo Frame, Table Top or Wall Mount, Chalet Collection",B08HMW1H37,False,False,4.7,390.0
8,Americanflat 4x6 Picture Frame in Black - Thin Border Photo Frame with Shatter Resistant Glass - Horizontal and Vertical Formats for Wall and Tabletop,B07T86DZSN,False,False,4.7,2722.0
9,"4x6 Silver Picture Frame, Distinguished Edging for Classic Style, Richland Collection",B08PP8Z667,False,False,4.4,351.0
10,"4x6 Picture Frames Set of 8, Rustic Picture Frames Multi Wood Pattern, HD Plastic Cover (Plexiglass) Display Photos 4x6 inch,Vertical and Horizontal Formats for Wall Hanging and Tabletop Display,Perfect for Rustic Home & Office Decor",B0BFW7RBDS,False,False,4.4,294.0
11,"Handicrafts Home Decorative Picture Frame Wooden Photo Frame and Collage (WHITE-0.75, 4x6)",B01KG94JNS,False,False,4.5,2077.0
12,4x6 Double Picture Frame Wooden Hinged Photo Frame Definition Glass Stand Vertically on Desktop or Tabletop Black,B098QD6D7S,False,False,4.6,1177.0
13,"4x6 Picture Frame Set of 2, Sparkle Glass Photo Frames 4 by 6 for Tabletop, Horizontally or Vertically",B0BZV11QP6,False,False,4.7,590.0
14,"PECULA 2 Pack 4x6 Picture Frame, White Picture Frame for Wall and Tabletop Display, Photo Picture Frame with Clear Display",B0B4S891J9,False,False,4.2,3310.0
15,"Mixoo Picture Frame 2 Pack - Rustic Wooden Photo Frames with Walnut Wood Base and High Definition Break Free Acrylic Glass Covers for Tabletop or Desktop Display (4x6 inch, Horizontal + Vertical)",B0815S1M2W,False,False,4.7,3817.0
16,"HappyHapi 4x6 Picture Frame,Set of 4 Wooden Black Picture Frames, Tabletop or Wall Display Decoration Photo Frames for Photos, Paintings, Landscapes, Posters, Artwork",B0BCYT8FJK,False,False,4.2,117.0
17,RPJC 4x6 Picture Frames Made of Solid Wood High Definition Glass for Table Top Display and Wall Mounting Photo Frame Black,B06Y2KX81J,False,False,4.6,24362.0
18,4x6 Inches Simple Rectangular Desktop Family Picture Photo Frame with Glass Front (Blue),B014PB63YG,False,False,4.4,1302.0
19,"Americanflat 8x14 Collage Picture Frame in Black - Displays Three 4x6 Frame Openings - Engineered Wood Panoramic Picture Frame with Shatter Resistant Glass, Hanging Hardware, and Easel",B00YHK9CPI,False,False,4.7,1740.0
20,"Truu Design, Decorative Weathered, 4 x 6 inches, Blue Distressed Wooden Look Picture Frame, 4"" x 6""",B07HFPYB54,False,False,4.6,1150.0
