rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Water Pump for 5 Gallon Bottle, USB Charging Automatic Water Dispenser with Rechargeable Battery, Portable Electric Drinking Water Jug Pump for Home, Kitchen, Living Room, Office, Camping - Black",B0B4ZTZS3D,False,False,4.5,715.0
1,Myvision Water Bottle Pump 5 Gallon Water Bottle Dispenser USB Charging Automatic Drinking Water Pump Portable Electric Water Dispenser Water Bottle Switch (White),B07HFPC7HB,False,False,4.3,37506.0
2,"Cozy BlueWater Dispenser, Portable Water Bottle Pump for Universal 3, 4 and 5 Gallon with USB Electric Charging and Automatic Off Switch (Black)",B08H4WMK37,False,False,4.4,10828.0
3,"Desktop Water Bottle Dispenser, Water Pump for 5 Gallon Bottle, Bedside Water Dispenser, Portable Detachable Type-C Charging, Application Home, Office, Camping",B0BYCGSVN2,False,False,4.6,7240.0
4,"5 Gallon Water Dispenser, Portable Rechargeable Electric Water Jug Pump for Universal 2-5 Gallon Bottle, Drinking Water Jug Pump for Home, Office, Camping (Black)",B0C9SFX1HP,False,False,4.4,195.0
5,Water Bottle Pump 5 Gallon Water Bottle Dispenser USB Charging Automatic Drinking Water Pump Portable Electric Water Dispenser Water Bottle Switch,B084GQQYK7,False,False,4.5,5245.0
6,"Water Dispenser Bottle for 5 Gallon, Automatic Drinking Water Pump, Manual Straight Plug Button, USB Charging with jug Cap, Panda-Black",B0BPJ85P6J,False,False,4.1,468.0
7,"5 Gallon Electric Drinking Portable Water Dispenser, Universal USB Charging Water Bottle Pump For 2-5 Gallon With 2 Silicone",B07Y4D3P1J,False,False,4.3,14447.0
8,"New Wave Enviro Porcelain Water Dispenser, Classic Blue Stripe Design, 2.5 Gallon Capacity, Included BPA Free Spigot, Dispenser for Beverages, Lotions, Shampoos",B00KCOQ10W,False,False,4.4,1397.0
9,"【Upgraded】 Morsatie Water Dispenser for 5 Gallon Bottle, 2-Motor Faster Pumping Water Pump for Universal Bottle with USB Charging, Portable Water Jug Dispenser for Home Countertop Bedside Camping",B0C1Y858XW,False,False,4.6,46.0
10,"Water Dispenser for 5 Gallon Bottle - Intelligent Desktop Water Bottle Dispenser, Dual-Purpose Automatic Water Pump for Universal Bottle, Water Jug Dispenser Suitable for Home, Office, Outdoor",B0C4KW3M4R,False,False,4.2,135.0
11,"GetKen 5 Gallon Water Dispenser Pump Rechargeable, Water Dispenser for 5 Gallon Bottle Bottom Loading, Portable USB Charging Automatic Drinking Mini Water Jug Dispenser",B0C4T26LK4,False,False,4.4,521.0
12,"Water Bottle Pump, Automatic Electric Drinking Water Jug Pump for 1-5 Gallon Jug– USB Rechargeable – Ultra-Hygienic BPA-Free Water Kettle Dispenser, Portable for Home Office Camping (Black)",B07Q2HLJF4,False,False,4.4,869.0
13,Avalon Bottom Loading Water Cooler Dispenser with BioGuard- 3 Temperature Settings- UL/Energy Star Approved- Bottled,B01AKTFK6Y,False,False,4.4,15283.0
14,Portable Water Dispenser for 5 Gallon， Food Grade Silicone Tube Will not Rust Water Dispenser，USB Charging Water Bottle Pump Easy to use,B09BRW4WM1,False,False,4.4,2151.0
15,PUDHOMS 5 Gallon Water Dispenser - USB Charging Universal Fit Water Bottle Pump for Drinking Water Portable Automatic Electric Pump for Home Kitchen Office Camping Switch For 2 - 5 Gallon Jugs,B07TRP3N5X,False,False,4.3,8190.0
16,"Brio Self Cleaning Bottom Loading Water Cooler Water Dispenser – Limited Edition - 3 Temperature Settings - Hot, Cold & Cool Water - UL/Energy Star Approved",B07P6FS6HW,False,False,4.3,5545.0
17,BANGMENG 5 Gallon Water Dispenser Electric Water Jug Dispenser Portable Drinking Water Pump for 2-5 Gal Bottle USB Rechargeable (Black),B0C73B18V4,False,False,4.4,31.0
18,"eSeedy Water Dispenser, Automatic Electric Drinking Water Pump for 5 Gallon Water Bottle and Water Jugs",B07RXH1TNB,False,False,4.4,6434.0
19,"Brio Bottom Loading Water Cooler Water Dispenser – Essential Series - 3 Temperature Settings - Hot, Cold & Cool Water - UL/Energy Star Approved",B07T6C64BX,False,False,4.4,5033.0
20,"Frigidaire EFWC498 - Top Loading Cooler Dispenser -Hot & Cold Water - Child Safety Lock - Innovative Slim & Sleek Design, Holds 3 or 5 Gallon Bottles - Black",B07PQP26MP,False,False,4.3,426.0
21,"5 Gallon Water Bottle Dispenser, USB Charging Water Bottle Pump, Portable Water Dispenser Pump for Camping（Black）",B07KW4L5ST,False,False,4.4,12923.0
22,5-Gallon Water Bottle Pump Dispenser: YISH Electric Water Dispenser for Bottled Water Foldable Drinking Water Pump USB-Charging Water Bottle Dispenser Automatic Water Gallon Pump,B09DT4WNX9,False,False,4.3,869.0
23,"Drinking Water Dispenser Pump, Automatic Electric Drinking Water Bottle Pump for 1-5 Gallon Water Jugs, USB Rechargeable with 2 Switch Control, Stable and Portable for Home, Kitchen, Office, Camping",B086WK8JNJ,False,False,4.6,604.0
24,"5 Gallon Water Dispenser, Electric Drinking Water Pump with Rechargeable, Portable Automatic Water Bottle Pump for Camping Kitchen Home Office - Black",B096WV7FJR,False,False,4.3,1081.0
25,"MSXCSE Electric Water Bottle Pump, USB Charging Drinking Water Dispenser, Universal Pump for 5 Gallon Water Jugs Bottles, Portable Dispenser for Home Camping",B09DSYL64Q,False,False,4.4,1331.0
26,"Igloo IWCBL353CRHBKS Stainless Steel Hot, Cold & Room Water Cooler Dispenser, Holds 3 & 5 Gallon Bottles, 3 Temperature Spouts, No Lift Bottom Loading, Child Safety Lock, Black/Stainless",B08B261RZH,False,False,4.2,1658.0
