rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Gravity Pet Waterer for Cat, Dog, Small, 1 Gallons Capacity, Gray",B07227RQJ9,True,False,4.4,58251
1,Amazon Basics 5 Gallon Pouring Spout,B08D9Q8QJP,True,False,4.2,296
2,"365 by Whole Foods Market, Water Spring, 9.46 Liter",B074H5CMYZ,True,False,4.6,4568
3,"Amazon Basics Stainless Steel Fast, Portable Electric Hot Water Kettle for Tea and Coffee, 1.7-Liter, Black and Sliver",B07PHRH6TL,True,False,4.5,6725
4,"Amazon Basics Replacement Water Filters for Pitchers, Compatible with Brita, 3-Pack",B07YT16TMS,True,False,4.6,23511
5,"Amazon Basics Liquid Hand Soap Refill, Mango & Coconut Water Scent, Triclosan-Free, 50 Fl Oz (Pack of 2)",B09HHBZX91,True,False,4.6,14923
6,"Amazon Basics Replacement Water Filters for Pitchers, Compatible with Brita, 6-Pack",B07YT1NTCX,True,False,4.6,23511
7,"Amazon Basics Foaming Antibacterial Soap Refill, Pear Scent, Triclosan-Free, 32 Fluid Ounces (ONLY Fits Foaming Dispensers), 1-Pack (Previously Solimo)",B09HHDMFLM,True,False,4.4,2296
8,"Amazon Basics Antibacterial Liquid Hand Soap Refill, Light Moisturizing, Triclosan-Free, Citrus, 50 Fl Oz (Previously Solimo)",B09HHBP46X,True,False,4.4,18943
9,"Amazon Basics Watercolor Paint Set Tubes, 24 Colors, Assorted",B0B7Q8TJMQ,True,False,4.5,85
10,"Amazon Basics Waterproof Anti-Slip Silicone Pet Food and Water Bowl Mat, 24 x 16 Inches, Gray, Solid",B07BLB1MMH,True,False,4.5,23441
