rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"5-Hour ENERGY Shots Extra Strength, Grape Flavor - 30 Count",B08WY9QZ2D,False,False,4.6,1645.0
1,"5 Hour Energy Shots Variety Pack- Assortment Of Regular & Extra Strength, 1.93 Fl Oz (Pack of 12)",B01HH5H1S4,False,False,4.7,5613.0
2,5-hour ENERGY Extra Strength Energy Shot | Hawaiian Breeze Flavor | 1.93 oz. | 24 Count | Sugar-Free & Zero Calories | B-Vitamins & Amino Acids | 230mg Caffeinated Energy Shot | Dietary Supplement,B0BNJW92L5,False,False,4.6,296.0
3,"5-hour ENERGY Shot, Extra Strength Cherry, 1.93 Ounce, 12 Count",B079YX7LLK,False,False,4.7,769.0
4,"5-hour ENERGY Shot, Regular Strength Pomegranate, 1.93 Ounce, 24 Count",B003DS1ZP0,False,False,4.7,2214.0
5,"5-hour ENERGY Shot, Regular Strength Grape, 1.93 Ounce, 24 Count",B006WQR07W,False,False,4.7,489.0
6,5-hour ENERGY Shot Extra Strength Watermelon 30 Pack,B0CCSXCWXF,False,False,4.7,27.0
7,5-HOUR ENERGY | Regular Strenght | Extra | 1.93 oz. | 3 Count | Sugar-Free & Zero Calories | B-Vitamins & Amino Acids | 200mg Caffeinated Energy Shot | Dietary Supplement Essentially for Southern Basics (Hawaiian Breeze),B0CBSTVN43,False,False,4.5,2.0
8,"5-Hour Energy 5-Hour Energy Drink, Original, Per 12 Berry",B00CQ7IWLY,False,False,4.6,6.0
9,"5-hour ENERGY® Shot, Extra Strength, Strawberry Banana, 1.93 Ounce, 12 Count",B08BPJ5SDG,False,False,4.7,428.0
10,"Living Essentials 5 Hour Energy Supplements, Berry, 12 Count",B016GN0748,False,False,4.7,73.0
11,"5 Hour Energy, 3 Extra Strength Berry + 3 Extra Strength Grape, 6 Count",B015AN6LT0,False,False,4.5,51.0
12,"5-hour ENERGY Shot, Regular Strength, Berry, 1.93 oz, 4 Pack",B004ISDLVU,False,False,4.5,215.0
13,5-hour ENERGY Extra Strength Berry Energy Drink | Berry Flavor | 16oz Cans | Pack of 12 | Sugar-Free & Zero Calories | Vitamins & Amino Acids | Contains Carbonation & 230mg of Caffeine,B0B4F862BT,False,False,4.0,344.0
14,5-Hour Energy Extra Strength Sugar Free Strawberry/Banana Energy Shot 1.93 oz. - Case of: 12;12,B08NZ3VWLT,False,False,4.2,13.0
15,"5-hour ENERGY® Shot, Regular Strength, Watermelon, 1.93 Ounce, 24 count",B09V36MLQ3,False,False,3.9,20.0
16,Living Essentials 5-Hour Energy Extra Strength Sugar Free Watermelon Energy Shot 1.93 oz (Pack of 12),B08YS718BQ,False,False,4.6,99.0
17,5-hour ENERGY Shots Regular Strength | Grape Flavor | 1.93 oz. 30 Count | Sugar Free 4 Calories | Amino Acids and Essential B Vitamins | Dietary Supplement | Feel Alert and Energized,B0BR64NXPG,False,False,4.8,28.0
18,"5-Hour Energy Shot, Extra Strength Blue Raspberry 1.93 oz. ea., 24 pk. A1",B07PR2HZ7D,False,False,5.0,3.0
19,5 Hour Energy Drink,B00314TQXO,False,False,4.0,13.0
20,"5 Hour Energy, Regular Berry/72 Bottles(6 Boxes)",B0019HXMIK,False,False,4.6,94.0
