rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Brand - Solimo Energy Shot, Berry Flavor, 2 Fluid Ounce (Pack of 12)",B07HXBCFZ1,True,False,4.1,4767
1,"365 by Whole Foods Market, Duo Pack Energy Shot Cherry Limeade, 2 Fl Oz, 2 Pack",B07NSRYP8S,False,False,4.3,161
2,"Amazon Brand - Solimo Silver Energy Drink, Sugar Free, 16 Fluid Ounce (Pack of 12)",B07HXRVZVP,True,False,4.1,5016
3,"365 by Whole Foods Market, Spring Water Multi Pack 24 Pack, 16.9 Fl Oz",B074XVZLN8,True,False,4.6,15922
4,"365 by Whole Foods Market, Popups Citrus, 3 Fl. Oz each, 6 Count (Pack of 1)",B074H5J33C,True,False,4.6,6973
5,"365 by Whole Foods Market, Energy Shot Pomegranate Single, 2 Fl Oz",B074H6X44K,True,False,4.4,150
6,"365 by Whole Foods Market, Energy Shot Strawberry Watermelon Single, 2 Fl Oz",B07NSRV5PJ,False,False,4.3,76
7,"Amazon Basics Vitamin B12 3000 mcg Gummies, Normal Energy Production and Metabolism, Immune System Support, Raspberry, 100 Count (2 per serving) (Previously Solimo)",B07BBFK9QZ,True,False,4.6,13060
8,"Globe Electric Desk Lamp, Gold Gooseneck, Matte Black Finish, 5W Energy Star Integrated LED, 250 Lumens 30061, 15.45"", Black & Gold",B0748QTL1N,False,False,4.4,780
9,"LED Floor Lamp Torchiere, Energy Star Certified, Dimmable, Super Bright, 43W, 3010 Lumens, Matte White Finish,12783",B01LXKQ4YX,False,False,4.2,686
