rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"INSIGNIA 50-inch Class F30 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-50F301NA24, 2023 Model)",B0BTTVRWPR,True,False,4.5,10952.0
1,"Introducing Amazon Fire TV 40"" 2-Series HD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable",B09N719G17,True,False,4.5,2042.0
2,"INSIGNIA 50-inch Class F30 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-50F301NA24, 2023 Model)",B0BTTVRWPR,False,False,4.5,10952.0
3,"Amazon Fire TV 50"" 4-Series 4K UHD smart TV, stream live TV without cable",B0B3GTSQ9Q,False,False,4.5,34567.0
4,"Amazon Fire TV 50"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, 1,700+ free artwork pieces, local dimming, hands-free with Alexa",B09N6TPZ1K,False,False,4.2,1602.0
5,"TCL 50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",B0C1HZLXXG,False,False,4.2,110.0
6,"Toshiba 50-inch Class C350 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (50C350LU, 2023 Model)",B0BMK5B4TF,True,False,4.4,651.0
7,"Toshiba 50-inch Class C350 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (50C350LU, 2023 Model)",B0BMK5B4TF,False,False,4.4,651.0
8,"VIZIO 50-Inch V-Series 4K UHD LED HDR Smart TV with Apple AirPlay and Chromecast Built-in, Dolby Vision, HDR10+, HDMI 2.1, Auto Game Mode and Low Latency Gaming, V505-J09, 2021 Model (Renewed)",B09GP55W5W,False,False,4.3,214.0
9,"Hisense 50-Inch Class A6 Series 4K UHD Smart Google TV with Alexa Compatibility, Dolby Vision HDR, DTS Virtual X, Sports & Game Modes, Voice Remote, Chromecast Built-in (50A6H)",B09WQJPWWY,False,False,4.4,2924.0
10,"LG 50-Inch Class UR9000 Series Alexa Built-in 4K Smart TV (3840 x 2160),Bluetooth, Wi-Fi, USB, Ethernet, HDMI 60Hz Refresh Rate, AI-Powered 4K,Black",B0BVXDQYQB,False,False,4.3,96.0
11,"Amazon Fire TV 43"" 4-Series 4K UHD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable",B0B3HG269B,True,False,4.5,34567.0
12,"TCL 50-Inch Class S4 4K LED Smart TV with Roku TV (50S450R, 2023 Model), Dolby Vision, HDR, Dolby Atmos, Works with Alexa, Google Assistant and Apple HomeKit Compatibility, Streaming UHD Television",B0C1HZ8QF4,False,False,4.3,66.0
13,"SAMSUNG 50-Inch Class Crystal UHD 4K CU8000 Series PurColor, Object Tracking Sound Lite, Q-Symphony, Motion Xcelerator, Ultra Slim, Solar Remote, Smart TV with Alexa Built-in (UN50CU8000, 2023 Model)",B0BVMZ5NH2,False,False,4.3,477.0
14,"Hisense 50-Inch Class R6 Series 4K UHD Smart Roku TV with Alexa Compatibility, Dolby Vision HDR, DTS Studio Sound, Game Mode (50R6G),Black",B09JHSVTSD,False,False,4.5,3633.0
15,"TCL 50-Inch Class S4 4K LED Smart TV with Google TV (50S450G, 2023 Model), Dolby Vision, HDR Pro, Dolby Atmos, Google Assistant Built-in with Voice Remote, Works with Alexa, Streaming UHD Television",B0C1HYK1NG,False,False,4.3,85.0
16,SAMSUNG QN50Q60CAFXZA 50 inch QLED 4K Quantum HDR Dual LED Smart TV with a Beam (Gen2) - Black Compact Smart Soundbar - Black (2023),B0CHBTSHKD,False,True,,
17,"Amazon Fire TV 50"" Omni Series 4K UHD smart TV, hands-free with Alexa",B08T6F8YBH,False,False,4.5,24472.0
18,"Westinghouse Roku TV - 50 Inch Smart TV, 4K UHD LED TV with Wi-Fi Connectivity and Mobile App, Flat Screen TV Compatible with Apple Home Kit, Alexa and Google Assistant",B09QY2R1X6,False,False,4.1,145.0
19,"SAMSUNG 50-Inch Class QLED 4K Q60C Series Quantum HDR, Dual LED, Object Tracking Sound Lite, Q-Symphony, Motion Xcelerator, Gaming Hub, Smart TV with Alexa Built-in (QN50Q60C, 2023 Model)",B0BVMXYB92,False,False,4.4,298.0
20,"Hisense A6 Series 50-Inch Class 4K UHD Smart Google TV with Voice Remote, DTS Virtual X, Sports & Game Modes, Chromecast Built-in (50A6H, 2022 New Model) (Renewed)",B0BMZVG5SQ,False,False,3.3,5.0
21,"TCL 40-Inch Class S3 1080p LED Smart TV with Fire TV (40S350F, 2023 Model), Alexa Built-in, Apple AirPlay Compatibility, Streaming FHD Television,Black",B0C1J2SVKD,True,False,4.5,12.0
