rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Mounting Dream UL Listed TV Mount for Most 37-75 Inch TV, Universal Tilt TV Wall Mount Fit 16"", 18"", 24"" Stud with Loading Capacity 132lbs, Max Vesa 600 x 400mm, Low Profile Flat Wall Mount Bracket",B00NKYYMAW,False,False,4.7,102546
1,"Amazon Basics Full Motion Articulating TV Monitor Wall Mount for 26"" to 55"" TVs and Flat Panels up to 80 Lbs, Black",B01KBEOL5E,True,False,4.7,35781
2,"PERLESMITH Tilting TV Wall Mount Bracket Low Profile for Most 23-60 inch LED LCD OLED, Plasma Flat Screen TVs with VESA 400x400mm Weight up to 115lbs, Fits 16"" Wood Stud",B01JRNIWJG,False,False,4.6,46635
3,"Full Motion TV Wall Mount Bracket for Most 32-70 inch TVs, Swivel Extension Tilting Leveling TV Mount, Max VESA 400x400mm, Holds up to 110 lbs & 16"" Wood Studs with Hole Drilling Template by USX STAR",B0BNTRKNPK,False,False,4.7,290
4,"Fixed TV Wall Mount for Most 26-60 Inch TVs, Low Profile TV Mount with Quick Release Lock, Ultra Slim Wall Mount TV Bracket, Max VESA 400x400mm, Holds up to 99 lbs, up to 16”Wood Studs by USX STAR",B0BQ7DN3XG,False,False,4.6,149
5,"WALI Swivel TV Wall Mount for Most 26-55 inch LED TV Flat Panel Screen, Full Motion TV Mount Bracket with Perfect Center Design up to 400x400mm, Weight up to 77lbs (2655LO), Black",B09C1MSN2C,False,False,4.5,347
6,"Mounting Dream TV Wall Mount for 32-65 Inch TV, TV Mount with Swivel and Tilt, Full Motion TV Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380",B00SFSU53G,False,False,4.8,37637
7,"Pipishell Full Motion TV Wall Mount for Most 26-60 inch Flat & Curved TVs up to 77 lbs, Adjustable Bracket Height, Single Articulating Arm, Extension, Max VESA 400x400mm, PIMF9",B08B4SLC9K,False,False,4.7,3742
8,"Pipishell Full Motion TV Wall Mount for 26-60 Inch Flat Curved TVs, Heavy Duty Single Articulating Arms TV Bracket Up to VESA 400x400mm and 77lbs, Support Swivel, Tilt, Level Adjustment",B08HQZ1N6M,False,False,4.7,4885
9,"Pipishell Full Motion Wall Mount for 26-60 inch Flat or Curved TVs up to 77 lbs, TV Bracket Wall Mount with Articulating Arms, Extension, Tilt, Swivel, Leveling, Max VESA 400x400mm, PIMF7",B08C8TVWYT,False,False,4.7,7712
10,"Perlegear Full Motion TV Wall Mount for 26-65 inch TVs, TV Bracket Supports Swivel Articulating Level Extension Tilt Arms, Max VESA 400x400mm up to 99lbs, 16"" Wood Studs, PGMFK4",B08TM1DYZX,False,False,4.7,2028
11,Suptek TV Wall Mount Swivel and Tilt Full Motion for Most 23 to 55 inch TV Mount up to 55lbs max VESA 400x400mm (A1+),B07GKT445K,False,False,4.6,2471
12,"Pipishell TV Wall Mount for 26-65 inch LED LCD OLED 4K TVs up to 99lbs, Full Motion TV Mount Bracket Articulating Swivel Extension Tilting Leveling Max VESA 400x400mm, Fits 12/16 Inch Wood Studs",B09MQKK4TW,False,False,4.7,5705
13,"Pipishell Full Motion TV Wall Mount for 40–82 inch Flat or Curved TVs up to 110 lbs, Smooth Swivel & Extension, Tool-Free Tilt with Heavy-Duty Arms, Max VESA 600x400mm, Fits 12″/16″ Wood Studs, PILF11",B0C1461L92,False,False,4.8,225
14,"Full Motion TV Mount with Height Adjustment, TV Wall Mount Most 26-65 Inch Flat and Curved TV, Wall Mount TV Bracket Swivel Tilt Extension Leveling Max VESA 400x400mm Holds up to 110lbs, 16"" Studs",B0C3CGDG4Z,False,False,4.6,59
15,"Pipishell Full Motion TV Wall Mount for Most 26-60 inch TVs with Swivel, Tilt, Extension, Single Stud Articulating TV Mount Bracket, Holds up to 77 lbs, Max VESA 400x400mm, PIMF11",B0BGHJZGHF,False,False,4.7,1162
