rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"60th Birthday Gifts for Women Men, 60 Year Old Birthday Gifts, 60th Sixtieth Anniversary Birthday Presents Funny 60th Birthday Decorations Cutting Board",B0BKZ1LZ1X,False,False,4.6,62.0
1,Womens 60th Birthday T-Shirts Vintage 1963 Shirts 60 Birthday Tshirt Casual Birthday Gifts Short Sleeves Tees Tops,B0C1B43X23,False,False,4.4,36.0
2,60th Birthday Gifts for Men Women Embroidered Vintage 1963 Hat 60 Year Old Gifts,B0CD2LRPX8,False,False,5.0,1.0
3,Annamate Birthday Gifts for Women Sterling Silver 30th 40th 50th 60th 70th 80th 90th Birthday Necklace For Her 3 4 5 6 7 8 9 Decade Jewelry 30 40 50 60 70 80 90 Years Old,B09H6JJ4RZ,False,False,4.6,919.0
4,"60th Birthday Card - Vintage 1963 - Unique 60th Birthday Decor, 60th Birthday Gifts for Women or 60th Birthday Party Decorations for Women or Men - Includes 5x7 inch Card & Envelope by Katie Doodle",B0C5FP5ZP6,False,False,4.8,260.0
5,RETRO CANDY YUM 1963 Candy Birthday Box - Celebrate Your Loved Ones' 60th Birthday with Our Candy from 1963 - Candy from the 60s to Take a Trip Down Memory Lane - 1960s Nostalgia Gifts,B01B9OPZ78,False,False,4.5,347.0
6,Sazuwu 60th Gifts Idea 60th Birthday Gift for Women Makeup Bag 60 Year Old Birthday Gifts for Grandmother Wife Aunt Cosmetic Bag Happy 60th Birthday Gifts Retirement Mother's Day Gift Christmas Gift,B09JFZ8FD5,False,False,4.7,147.0
7,"Henghere 60th Birthday Gift for Women Men, Birthday Wine Bag, 60 Years Old Birthday Party Decor Gift",B09TSBH9SB,False,False,4.7,23.0
8,"OJsensai Funny 60th Birthday Card for Male Female, Hilarious 60 Bday Gifts for Men Women, Giant 1963 Birthday Card for Mom Dad, Wonderful 60 Year Old Gift Idea for Husband Wife, Back In 1963",B0BXCFFV8X,False,False,4.7,154.0
9,"Crisky 60th Birthday Gifts for Women Canvas Tote Bag Vintage 1963 Beach Bag for Wife/Sister/Mom/Aunt/Friends 60th Birthday Gifts,17"" x 12"" x 7""",B0BW8ZB6GT,False,False,4.6,38.0
