rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"ZULU Goals 64oz Large Half Gallon Jug Water Bottle with Motivational Time Marker, Covered Straw Spout and Carrying Handle, Perfect for Gym, Home, and Sports",B09D5MXQW4,False,False,4.5,2703.0
1,"FineDine Insulated Water Bottles with Straw - 64 Oz Stainless Steel Metal Water Bottle W/ 3 Lids - Reusable for Travel, Camping, Bike, Sports - Dreamy Purple",B09BDLVK7L,False,False,4.6,31694.0
2,"YOU GOT THIS LIVING Motivational Water Bottle with Time Marker,Half Gallon Water bottle with Straw 64 oz/2.2L Gym Water Bottle, Achieve All-Day Hydration SpillProof, SOLID COLORS",B0B69CQKZT,False,False,4.4,949.0
3,AQUAFIT Half Gallon Water Bottle With Time Marker - 2in1 Lid - 64 oz Water Bottle With Straw - Gym Water Bottle With Strap - Big Water Bottle - Reusable Water Bottles With Straw - Large Water Bottle,B0BLHKTXSX,False,False,4.5,1459.0
4,QuiFit Motivational Gallon Water Bottle - with Straw & Time Marker BPA Free 128/64 oz Large Water Jug Leak-Proof Durable for Fitness Outdoor Enthusiasts,B083RQBVRP,False,False,4.6,11146.0
5,"BJPKPK Half Gallon Insulated Water Bottles with Straw Lid, 64oz Large, Stainless Steel with 3 Lids and Paracord Handle for Hot & Cold Liquid, Brick Red",B09ZKS7NJ3,False,False,4.6,6157.0
6,"64 oz Water Bottle with Straw, Motivational Sports Water Bottle with Plastic Handle, Leakproof Reusable Hydro Flask with Time Marker Uses the Food Grade and Non-Toxic Materials (Cool Gray)",B0CDGGNSN3,False,False,,
7,"Y&3 64oz Half Gallon Water Bottle with Straw & Time Marker, Motivational Water Bottle with Handle, Leakproof, Tritan BPA Free Water Jug, for Fitness, Gym, Outdoor (Pink/Purple Gradient, 64oz)",B08VN47QN1,False,False,4.5,2028.0
8,"IRON °FLASK Sports Water Bottle - 64 Oz 3 Lids (Straw Lid), Leak Proof - Stainless Steel Gym & Sport Bottles for Men, Women & Kids - Double Walled, Insulated Thermos, Metal Canteen",B07Y8BW5QK,False,False,4.8,129796.0
9,"Geritto Half Gallon Water Bottle with 2-in-1 Lid (Straw lid/Chug Lid), 64oz Large Capacity Water Jug BPA-free Gallon Water Bottle, Leak-proof Water Jugs, Water Bottle with Time marker for Gym Outdoor",B0C2HF6YP1,False,False,4.4,194.0
10,"Ello Hydra 64oz Half Gallon Vacuum Insulated Stainless Steel Jug with Locking, Leak-Proof Lid and Soft Silicone Straw, Metal Reusable Water Bottle, Keeps Cold All Day, Halogen Blue",B0BPKNJTT9,False,False,4.6,80.0
11,"Dysco 64 oz Glass Water Bottles: Time Marker Half Gallon Motivational Water Bottle with Locking Lid and Silicone Sleeve - 2 Liter Large Water Jug Bottle for Gym, Sports, Workout (Hot Pink)",B0C4K3XCTP,False,False,4.1,175.0
12,"UNDER ARMOUR Playmaker Sport Jug, Water Bottle with Handle, Foam Insulated & Leak Resistant, 64oz",B0BT8J9ZFR,False,False,4.6,20044.0
13,AQUAFIT Half Gallon Water Bottle With Time Marker - 64 oz Water Bottle With Straw - Gym Water Bottle With Strap - Big Water Bottle - Reusable Water Bottles With Straw - Large Water Bottle With Handle,B094X6N4PG,False,False,4.4,9347.0
14,"BJPKPK 64oz Insulated Water Bottle, Dishwasher Safe Half Gallon Water Bottle with Ergonomic Handle, BPA Free Leak Proof Water Jug for Sports, Metal Water Bottle with Anti-slip Bottom, Black",B09ZKSM4SV,False,False,4.4,1149.0
15,"Olerd Half Gallon/64oz Water Bottle With Handle, Leak proof with removable strainer, BPA Free Fitness 2L Sports Water Jug, ensure You Drink Enough Water Daily for Gym and Outdoor Sports(Grey)",B096MC6JJY,False,False,4.5,290.0
16,"AQUAFIT Insulated Water Bottle - Gallon Water Jug 64oz +/ 128oz Stainless Steel Big Water Bottle with Straw, Large Water Bottle Insulated Growler - Coldest Metal Water Bottle (74oz, Midnight Black)",B0BQRH29BM,False,False,4.7,291.0
17,GEMFUL 64 oz Water Bottle with Time Marker Leakproof Large Drinking Water Jug for Fitness Gym and Outdoor Sports,B0C2PT9J8Q,False,False,4.4,522.0
18,"CIVAGO 64 oz Insulated Water Bottle With Straw, Half Gallon Stainless Steel Sports Water Flask Jug with 3 Lids (Straw, Spout and Handle Lid), Large Metal Thermal Cup Mug, Midnight Black",B09LM66KKF,False,False,4.6,3800.0
19,"Kymbax Half Gallon/64oz Water Bottle with Time Marker and Straw, Motivational Water Bottle with Handle, Leakproof BPA FREE Tritan Water Jug for Gym, Outdoor, Fitness (Ombre Pink Blue, 64oz)",B095W4KS3M,False,False,4.7,756.0
20,"Coolflask Half Gallon Water Bottle Insulated with PU Leather Sleeve, 64 oz Water Bottle Color Contrast with Straw Lids, Stainless Steel Metal Large Water Jug, Keep Cold 48h Hot 24h,Lilac Purple",B0BX47XLJ4,False,False,4.7,395.0
21,Hydracy Water Bottle with Time Marker -Large Half Gallon 64oz BPA Free Bottle & No Sweat Sleeve -Leak Proof Gym Bottle with Fruit Infuser Strainer & Times to Drink -Ideal Gift for Sports & Outdoors,B091D3GDZ7,False,False,4.7,25600.0
22,"BLUEGO 64oz Glass Water Bottles with Straw Time Marker Half Gallon Large Motivational Water Bottle with Silicone Sleeve 2L Big Glass Water Jug Bottle for Gym, Sports, Workout, Daily Green",B0B1M9NL8G,False,False,4.3,1601.0
23,"Coolflask 64 oz Water Bottle Insulated with Straw & 3 Lids, Large Metal Stainless Steel Water Jug Big Half Gallon Wide Mouth for Sports, Gym or Office, BPA-Free Keep Cold 48H Hot 24H, Magic Black",B091DXH1J2,False,False,4.7,9433.0
24,"Stanley IceFlow Stainless Steel Water Jug with Straw, Vacuum Insulated Water Bottle for Home and Office, Reusable Tumbler with Straw Leakproof Flip Polar, 64OZ",B08RXT3YGN,False,False,4.7,371.0
25,"RAYMYLO Insulated Water Bottle 64 oz, Triple Wall Vacuum Stainless Steel (Cold for 48 Hrs), Leak Proof & BPA-Free, Half Gallon Water Flask Jug with Paracord Handle & Straw Spout Lids, Magic Black",B0BZZT7D5V,False,False,4.5,362.0
26,"Trebo Water Bottle 64oz with Paracord Handle, Half Gallon Food-grade Double Wall Vacuum Stainless Steel Insulated Jug with Straw Spout Handle Lids, Leakproof Keep Cold & Hot, Ombre: Indigo/Black",B09MCVTMMK,False,False,4.7,3705.0
27,"Takeya Premium Quality Motivational Water Bottle with Straw Lid with Times to Drink, BPA Free Tritan Plastic, 64 Oz, Cloud White",B0BQCKP76H,False,False,4.7,1343.0
28,"BUZIO 64oz Insulated Water Bottle with Straw Lid, Half Gallon Double Wall Stainless Steel Water Bottle with Handle, 3.74"" Wide Mouth BPA-Free Sweat-Proof Sports Water Flask Thermo Mug, Keep Hot Cold",B0BWRR972S,False,False,4.5,98.0
29,"CIVAGO 64 oz Glass Water Bottle Jug with Straw and Handle, Half Gallon Sports Motivational Water Bottle with Time Marker and 2 Lids, Wide Mouth Water Flask Canteen with Silicone Sleeve for Gym, Black",B0CDPXLCHF,False,False,4.1,88.0
