rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"TCL 65-Inch Class S4 4K LED Smart TV with Fire TV (65S450F, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television,Black",B0C1HZX7M1,False,False,4.2,110
1,"SAMSUNG 65-Inch Class Crystal UHD 4K CU8000 Series PurColor,Object Tracking Sound Lite, Q-Symphony, Motion Xcelerator, Ultra Slim, Solar Remote, Smart TV with Alexa Built-in (UN65CU8000,2023 Model)",B0BVMY9NCN,False,False,4.3,477
2,"Hisense 65-Inch Class A6 Series 4K UHD Smart Google TV with Alexa Compatibility, Dolby Vision HDR, DTS Virtual X, Sports & Game Modes, Voice Remote, Chromecast Built-in (65A6H),Black",B09WQRYD5N,False,False,4.4,2924
3,"Hisense 65-Inch Class R6 Series 4K UHD Smart Roku TV with Alexa Compatibility, Dolby Vision HDR, DTS Studio Sound, Game Mode (65R6G),Black",B08PDTM9ZD,False,False,4.5,3633
4,"LG 65-Inch Class UR9000 Series Alexa Built-in 4K Smart TV (3840 x 2160),Bluetooth, Wi-Fi, USB, Ethernet, HDMI 60Hz Refresh Rate, AI-Powered 4K",B0BVXG2G5N,False,False,4.3,96
5,"SAMSUNG 65-Inch Class Neo QLED 4K QN90B Series Mini LED Quantum HDR 32x, Dolby Atmos, Object Tracking Sound+, Anti-Glare, Ultra Viewing Angle, Smart TV with Alexa Built-In (QN65QN90BAFXZA, 2022 Model)",B09SBG5K25,False,False,4.4,1015
6,"TCL 65-Inch Q6 QLED 4K Smart TV with Google (65Q650G, 2023 Model) Dolby Vision, Atmos, HDR Pro+, Game Accelerator Enhanced Gaming, Voice Remote, Works Alexa, Streaming UHD Television",B0C1J5228L,False,False,4.3,228
7,"SAMSUNG 65-Inch Class Crystal 4K UHD AU8000 Series HDR, 3 HDMI Ports, Motion Xcelerator, Tap View, PC on TV, Q Symphony, Smart TV with Alexa Built-In (UN65AU8000FXZA, 2021 Model)",B08Z25BH33,False,False,4.5,15181
8,"SAMSUNG 65-Inch Class QLED 4K Q70C Series Quantum HDR, Dual LED, Object Tracking Sound Lite, Q-Symphony, Motion Xcelerator Turbo+, Gaming Hub, Smart TV with Alexa Built-in (QN65Q70C, 2023 Model),Black",B0BVMYL399,False,False,4.4,92
9,SAMSUNG UN65TU7000FXZA 65 inch 4K Ultra HD Smart LED TV Bundle with CPS Enhanced Protection Pack,B0851GV7J9,False,False,4.4,418
10,"Sony 65 Inch 4K Ultra HD TV X80K Series: LED Smart Google TV with Dolby Vision HDR KD65X80K- Latest Model,Black",B09P4C85N8,False,False,4.5,1276
11,"TCL 65-Inch Class S4 4K LED Smart TV with Google TV (65S450G, 2023 Model), Dolby Vision, HDR Pro, Dolby Atmos, Google Assistant Built-in with Voice Remote, Works with Alexa, Streaming UHD Television",B0C1J1M8NG,False,False,4.3,85
12,"SAMSUNG 65-Inch Class QLED Q80B Series - 4K UHD Direct Full Array Quantum HDR 8X Smart TV with Alexa Built-in (QN65Q80BAFXZA, 2022 Model)",B09TQ46KJL,False,False,4.5,874
13,"SAMSUNG 65-Inch Class QLED Q60B Series - 4K UHD Dual LED Quantum HDR Smart TV with Alexa Built-in (QN65Q60BAFXZA, 2022 Model), Titan Black",B09TQ51ZMV,False,False,4.5,2216
14,"TCL 65-inch Class 4-Series 4K UHD HDR Smart Roku TV – 65S435, 2021 Model, Black",B08GW982QS,False,False,4.6,23608
15,"Amazon Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",B08T6J1HG8,False,False,4.5,24472
