rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | 3YM57AN",B08412PTS8,False,False,4.7,39512
1,"HP 67XL Tri-color High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | 3YM58AN",B08412TYML,False,False,4.7,23671
2,"HP 67XL High-Yield Black and Tri-Color Ink Cartridges, Pack of 2, 3YP30AN",B08SWN848G,False,False,4.7,1221
3,HP 67xl Combo Pack Inkjet Cartridge,B00S2K2QSY,False,False,4.9,20
4,"XJI 67XL Ink Cartridges Remanufactured for HP Ink 67 XL Black/Color Combo Pack, for Deskjet Plus 2700 2700e 2752 2755 2755e 4100 4100e 4155 4155e Envy Pro 6000 6055 6055e 6400 6455 6455e 6458e Printer",B0BTNDYYPP,False,False,4.5,239
5,67XL Black Ink Cartridges Remanufactured for HP Ink 67 67XL 2-Pack Compatible with HP Deskjet 2755e 2700 2752e 2752 2742e 4155e 4100 4158e 4152e 4500 Envy 6055e 6055 6000 6455 6455e 6452 6458,B0BX29PP6H,False,False,4.4,81
6,3X Capacity 67XL Ink Cartridge Black Color Combo Replacement for HP Ink 67 XL HP67 HP67XL 2700 2700e 2752 2752e 2742e 2755e 4100 4100e 4152e 4155e Envy 6000 6055e 6055 6400 6458 6458e 6455e Printer,B0B6V2VKVQ,False,False,4.4,890
7,67XL Ink Cartridges Black/Color Combo Pack Remanufactured for HP Ink 67 67XL Compatible with HP Deskjet 2755e 2700e 2752e 2752 2742e 4155e 4100e 4158e 4152e Envy 6055e 6055 6455 6455e Printer,B0BK8RM1FR,False,False,4.2,188
8,INKCLOUD 67XL Printer Ink Higher Yield Compatible with HP 67XL Ink Cartridge for HP Envy 6055 6052 6058 6075 Envy Pro 6455 6455e 6452 6458 DeskJet 1255 2732 2752 2755e 4140 4155 (1 Black 1 Tri-Color),B0B12QRGY9,False,False,4.3,446
9,"67XL Ink Cartridges Combo Pack Replacement for HP 67 XL High Yield Remanufactured for Envy 6055e 6055 6052 6075 Envy Pro 6455e 6455 6475 6452 6458 DeskJet 4155 2755e 2755 4052 (1 Black, 1 Tri-Color)",B0C8NJPZZ7,False,False,4.8,265
10,Ankink 67XL Ink Cartridge Replacement for HP ink 67 XL HP67 Black Color Combo 2700 2700e 2752 2752e 2742e 2755 2755e 4100 4100e 4152e 4155 4155e 6000 6055e 6055 6400 6458 6458e 6452 6455 6455e Printer,B09TR1S4T7,False,False,4.5,1331
11,67XL Ink Cartridge Replacement for HP 67XL High-Yield Black Color Combo Pack Remanufactured for Envy 6000 6055 6055e 6400e 6455e 6458e Deskjet 2742e 2752e 2755e Envy Pro 6455 6458 2Pack,B0BYTG6DPK,False,False,4.3,442
12,Remanufactured Ink Cartridge Replacement for HP 67 67XL Ink Cartridge for Envy Pro 6055 6455e 6055e 6452 6052 6075 DeskJet 2755e 2752 4152 4155e Printer（1 Black 1 Tri-Color,B08NCJR825,False,False,4.1,1575
13,Ankink 67XL Ink Cartridge Black Replacement for HP Ink 67 XL HP67 Combo Deskjet 2700 2700e 2752 2752e 2742e 2755 2755e 4100 4100e 4152e 4155 4155e Envy 6000 6055e 6055 6400 6455e Printer HP67XL Blk,B09Z5S2KP5,False,False,4.5,402
14,"67XL Ink Cartridges Combo Pack Replacement for HP Ink 67 HP 67XL for HP DeskJet 2700 2700e 2755e 2755 4155e 4155 Envy 6055e 6455e 6400 6055 6075 Envy Pro 6452 6458 6475 Printer (1 Black, 1 Tri-Color)",B0BZ4N5464,False,False,4.7,1627
15,67XL Ink Cartridge Replacement for HP 67 XL (Black & Tri-Color) High-Yield Printer Ink Compatible: Envy 6000 6055 6055e 6052 Envy Pro 6400 6455 6455e DeskJet 1255 2755e 4140 4152 4155e,B0C11Y17XK,False,False,4.5,109
