rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,The 7 Habits of Highly Effective People: 30th Anniversary Edition (The Covey Habits Series),1982137274,False,False,4.8,11972.0
1,The 7 Habits Of Highly Effective People,1471131823,False,False,4.5,5639.0
2,The 7 Habits Of Highly Effective People: Revised and Updated: 30th Anniversary Edition,1471195201,False,False,4.6,2203.0
3,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,B0006IU4C0,False,False,4.6,19113.0
4,The 7 Habits of Highly Effective People Personal Workbook,0743250974,False,False,4.7,2339.0
5,The 7 Habits of Highly Effective People: 30th Anniversary Card Deck (The Official 7 Habits Card Deck),1642500267,False,False,4.7,614.0
6,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,0743269519,False,False,4.6,1755.0
7,The 7 Habits of Highly Effective People: 25th Anniversary Edition,1511317280,False,False,4.5,461.0
8,Seven Habits of Highly Effective People: Restoring the Character Ethic,0671663984,False,False,4.5,87.0
9,Workbook for the 7 habits of highly effective people,B0CJXBMGZ6,False,False,,
10,7 Habits of Highly Effective People,1471165086,False,False,4.7,1729.0
11,The 7 Habits of Highly Effective People(Miniature Edition) (RP Minis),0762408332,False,False,3.5,579.0
12,The 7 Habits of Highly Effective People & The 8th Habit (Special 3-Hour Abridgement),B000BTIP52,False,False,4.5,69.0
13,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change by Jim Collins (Foreword), Stephen R. Covey (19-Nov-2013) Library Binding",B011T7M8WK,False,False,4.5,87.0
14,Summary: The 7 Habits of Highly Effective People by Stephen R. Covey: Powerful Lessons in Personal Change,B07WVR4ZRD,False,False,5.0,6.0
15,The 7 Habits of Highly Effective People: 30th Anniversary Card Deck eBook Companion,B09M7H6NMD,False,False,4.4,9.0
