rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"LEGO DOTS Message Board 41951 DIY Arts & Crafts Kit, Customizable Letter Board with Colorful Tiles for Kids Ages 6-10",B09JKW7D8P,False,False,4.7,955
1,"MIXJOY Happy Birthday Gifts for 5-25 Year Old Girls, Birthday Braided Beads Bracelet Gifts for Age 5 to 25 Daughter Granddaughter Niece",B0C3LQ52HZ,False,False,4.9,52
2,"COO&KOO Charm Bracelet Making Kit, A Unicorn Girls Toy That Inspires Creativity and Imagination, Crafts for Girls Ages 8-12 with Jewelry Making Kit & Art Kit Perfect Gifts for Girls Self-Expression!",B07M6CDS77,False,False,4.5,17881
3,"Friendship Bracelet Making Kit Toys, Ages 7 8 9 10 11 12 Year Old Girls Gifts Ideas, Birthday Present for Teen Girl, Arts and Crafts String Maker Tool, Bracelet DIY, Kids Travel Activity Set",B09C1KQG2J,False,False,4.4,979
4,Pooqla Colorful LED Marquee Letter Lights with Remote – Party Bar Letters with Lights Decorations for The Home - Multicolor M,B07S1Q9PJF,False,False,4.6,20232
5,Unicorn Soap Making Kit - Girls Crafts DIY Project Age 6+ Year Old Kids Girl Gifts Science STEM Activity Teenage Christmas Gift Make Your Own Kits Craft Toys Ages 6 7 8 9 10 11 12,B0C78H1HTG,False,False,4.4,103
6,"PinkSheep Little Girl Jewel Rings in Box, Adjustable, No Duplication, Girl Pretend Play and Dress Up Rings (24 Lovely Ring)",B07477HKFR,False,False,4.7,30526
7,Just My Style All About Nail Art by Horizon Group USA,B08FPBY5P2,False,False,4.5,2570
8,"Crayola Light Up Tracing Pad - Pink, Drawing Pads for Kids, Kids Toys, Gifts for Girls and Boys, Ages 6, 7, 8, 9 [Amazon Exclusive].",B0084JUNVU,False,False,4.6,28802
9,"Chridark Ankle Skip Ball for Kids - Foldable Flash Wheel Skip Ball, Outside Game Toys for Kids & Adults, Gift for Boys & Girls Age 5 6 7 8 9 10 Years Old",B0B3XGGD1S,False,False,4.2,689
10,"Glow in The Dark Blanket Unicorns Gifts for Girls, Soft Blanket 3 4 5 6 7 8 9 10 Year Old Girl Gifts, Toddler Girls Toys Age 6-8, Gifts for Girls for Birthday, Halloween, 50""x60""",B09WMMRHPR,False,False,4.6,1352
11,"Purple Ladybug Decorate Your Own Water Bottle for Girls Age 6-8 - Cool 6 Year Old Girl Gifts Idea, Gifts Age 6-8 Years Old - Arts and Crafts Kit for Girls Ages 8-12, Girls Crafts Ages 7-10",B07TVF82RL,False,False,4.6,15815
12,"Just My Style Color Your Own Unicorn, Personalized Doodle Messenger Bag with Adjustable Strap, Great for School & Errands, Gift Ideas for Girls, Crafts Activity for Kids Ages 6, 7, 8, 9",B07R9PTGXN,False,False,4.7,6341
13,"YaFex 12 Pcs Clip in Hair Extensions, 22 Inch Colored Hair Extensions Party Highlights Long Straight Synthetic Hairpieces for Women Kids Girls (Rainbow)",B07G7M88DD,False,False,4.3,4635
14,"New Hair Chalk Comb Temporary Hair Color Dye for Girls Kids, Washable Hair Chalk for Girls Age 4 5 6 7 8 9 10 Birthday Cosplay DIY, Halloween, New Year 6 Colors",B07FCNYND8,False,False,3.8,42673
15,"Lego Creator 3 in 1 Magical Unicorn Toy to Seahorse to Peacock 31140, Rainbow Animal Figures, Unicorn Gift for Girls and Boys, Buildable Toys",B0BLJ4SVWV,False,False,4.8,898
16,"Gem Art, Kids Diamond Painting Kit - Big 5D Gems - Arts and Crafts for Girls and Boys Ages 6-12 - Gem Painting Kits - Best Tween Gift Ideas for Age 4, 5, 6, 7, 8, 9, 10-12, 6-8",B08GKZX76K,False,False,4.6,5399
17,FNOVCO Girls Knee High Socks Cartoon Animal Patterns Cotton Over Calf Socks,B0786NN39L,False,False,4.7,5750
18,"Unicorn Stationery Set for Kids - Unicorn Gifts for Girls Ages 6, 7, 8, 9, 10-12 Year Old - Stationary Letter Writing Kit - Best Girl Birthday Gift - Preteen Craft Toys, Christmas Presents",B0BNJZ5F1B,False,False,4.6,599
19,"Kids Rock Painting Kit - Glow in The Dark - Arts & Crafts Gifts for Boys and Girls Ages 4-12 - Craft Activities Kits - Creative Art Toys for 4, 5, 6, 7, 8, 9, 10, 11 & 12 Year Old Kids",B0BRNY9HZB,False,False,4.6,886
20,"ESOXOFFORE Instant Print Camera for Kids, Christmas Birthday Gifts for Girls Boys Age 3-12, HD Digital Video Cameras for Toddler, Portable Toy for 4 5 6 7 8 9 10 Year Old Girl with 32GB SD Card-Purple",B0BWDWNH5G,False,False,4.4,605
21,"I am 7 and Magical Mermaid Journal Sketchbook, Birthday Gift for 7 Year Old Girl: Writing, Drawing and Coloring Notebook, 7th, Birthday Gifts for Girls 7 Year Old, Cute mermaid gifts for girls age 7",B086B8FVK2,False,False,4.5,60
22,Marbling Paint Art Kit for Kids - Arts and Crafts for Girls & Boys Ages 6-12 - Craft Kits Art Set - Best Tween Paint Gift Ideas for Kids Activities Age 4 5 6 7 8 9 10 Year Old - Marble Painting Kits,B08CLVVJ8C,False,False,4.4,6678
23,"ZGMYC Cat Tassel Shoulder Bag Small Coin Purse Crossbody Satchel for Kids Girls, Pink (5.1'' x 5.9'')",B07DRCW62Z,False,False,4.6,3351
24,"MAGIBX Piggy Bank Toys for 5 6 7 8 9 10 Year Old Girl Gifts, Money Saving Box for Teen Girls Toys Age 6-8-10-12, Christmas Birthday Gifts for 7 8 Year Old Girls Stuff ATM Machine for Kids 5-7, Pink",B09H2ZFTG7,False,False,4.3,2036
25,"SUNLIN Dance Mat - Dance Mixer Rhythm Step Play Mat - Game Toy Gift for Kids Girls Boys with LED Lights, Adjustable Volume, Built-in Music, 3 Challenge Levels (3-12 Years Old)",B08PF4T8W1,False,False,4.4,3788
26,"Creativity for Kids Mini Garden: Mermaid Terrarium - Mermaid Gifts for Girls and Boys, Arts and Crafts for Kids 6+",B083Z3JMGP,False,False,4.6,7202
27,"Pink Cinema Light Box with 400 Letters & Emojis & 2 Markers - BONNYCO | Led Light Box Home, Office & Room Decor | Light Up Sign Letters Board Gifts for Women & Girls Christmas & Birthdays | Pink Decor",B07CWT7YYL,False,False,4.7,1818
28,7th Birthday Girl Shirt 7 Years Old Seven Outfit Seventh Tshirt Gift Girls top 7,B09RGJL8MV,False,False,4.8,175
