rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Simple Joys by Carter's Babies, Toddlers, and Girls' 6-Piece Snug-Fit Cotton Pajama Set",B073X3QFYY,True,False,4.8,45539
1,"Amazon Basics Portable Foldable Photo Studio Box with LED Light, 1 Count (Pack of 1), Black, 25 x 30 x 25 Inches",B01GIL6EU4,True,False,4.6,3953
2,"Amazon Basics Toy Car Carrier Truck With Storage For Kids Ages 3 and Up, 6-Pieces Diecast Vehicles & 16 Accessories, Multicolor, Medium",B0B4NC4DFQ,True,False,4.6,99
3,Simple Joys by Carter's Toddlers and Baby Girls' Long-Sleeve Tops,B083X6B645,True,False,4.8,4091
4,"Fire 7 Kids Pro tablet, 7"" display, ages 6+, 16 GB, Intergalactic",B08H3C5WRG,False,False,4.3,5561
5,Amazon.com eGift Card,B07CLMP15H,False,False,4.8,871043
6,"Amazon Premium Greeting Cards with Anytime Gift Cards, Pack of 3",B01M0D4RN6,False,False,4.6,447
7,"Amazon Fire HD 8 Kids Pro tablet, 8"" HD display, ages 6-12, 30% faster processor, 13 hours battery life, Kid-Friendly Case, 32 GB, (2022 release), Hello Teal",B09BG6DSBY,False,False,4.6,4231
8,"Amazon Basics Kids Velvet, Non-Slip 11.6"" Clothes Hangers, Pack of 30, Gray",B075QKDKMV,True,False,4.8,68102
9,"Simple Joys by Carter's Boys' Thermal Long-Sleeve Shirts, Pack of 3",B079617Z9Y,True,False,4.8,7258
10,"Kindle Paperwhite Kids (16 GB) – Made for reading - access thousands of books with Amazon Kids+, 2-year worry-free guarantee",B0BLB7Y8K9,False,False,4.7,2583
11,Amazon.com eGift Card,B01FIS88SY,False,False,4.8,871043
12,Amazon.com Gift Card in a Mini Envelope,B07Y93TM8M,False,False,4.9,108289
