rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Bettecos,B0C3H9F9GM,False,True,4.4,54.0
1,Janmercy,B0BYHKNCP7,False,False,4.3,46.0
2,Morph,B08TZWDYD9,False,False,4.3,471.0
3,Dreamgirl,B00JIJRPHK,False,False,4.3,1098.0
4,Dreamgirl,B00JLDWHKS,False,False,4.2,1631.0
5,Spooktacular Creations,B0C89XW9XX,False,False,,
6,Leumoi,B0C3C9WW1R,False,False,4.1,13.0
7,Mepase,B0C3VQRFTS,False,False,3.6,15.0
8,R HORSE,B07VJDJWTX,False,False,4.3,911.0
9,Clarisbelle,B09ZQC3TK7,False,False,4.2,513.0
10,SOMSOC,B0BCPKL9NM,False,True,4.5,107.0
11,Mepase,B0C3VPTKMV,False,True,3.6,15.0
12,SOMSOC,B0BCPDYV2C,False,True,4.4,64.0
13,AOTHSO,B0CC5HZM17,False,True,4.2,3.0
14,AOTHSO,B0CC5HZM17,False,False,4.2,3.0
15,Costume Culture,B00189KM9Q,False,False,4.3,160.0
16,MRYUWB,B0BVMH9C5Y,False,False,4.4,200.0
17,AOTHSO,B0CC1RQF8D,False,False,4.8,6.0
18,Eurzom,B0BYYKT1TQ,False,True,3.9,65.0
19,ZeroShop,B0B2WHK4X3,False,True,4.4,315.0
20,YEAXLUD,B0BBC93GCL,False,True,4.5,169.0
21,Joy Join,B0BY7TWYLM,False,True,4.3,5.0
22,Jeyiour,B0C998R3ZB,False,False,4.7,7.0
23,TOGROP,B09X95Y5V5,False,False,4.2,691.0
24,morvally,B0C3CG4XTL,False,False,4.8,35.0
25,California Costumes,B00J48UTNM,False,False,4.1,1476.0
26,ATAMET,B0BQ73WT3B,False,True,4.5,78.0
27,STfantasy,B07PWKPZGM,False,True,4.2,263.0
28,TOGROP,B0BXSVBPCM,False,True,4.2,9.0
29,Zhanmai,B0B4WPTBSS,False,False,4.4,39.0
30,EVISWIY,B09QSH997F,False,False,4.5,30.0
31,SATINIOR,B07VDK18DL,False,False,4.5,1010.0
32,Tatuo,B07QFLQXSM,False,False,4.5,939.0
33,Linfairy,B07R3G2224,False,False,4.5,714.0
34,Haull,B0BZ8GG8VC,False,False,4.5,225.0
35,Frienda,B09G2QY8LS,False,False,4.0,3008.0
36,California Costumes,B06XRN4TJS,False,False,3.7,1039.0
37,ZeroShop,B09TTG795Y,False,False,4.5,564.0
38,Hercicy,B0CB66KP85,False,False,4.0,2.0
39,TOGROP,B09ZTYGTYW,False,False,4.3,446.0
40,SATINIOR,B09CQ3C7H7,False,False,4.5,1417.0
41,FunMular,B0C1N9W4JL,False,False,4.3,93.0
42,Eurzom,B09SPT621X,False,False,3.9,694.0
43,Liitrsh,B0CC5LJFTR,False,False,,
44,California Costumes,B0040Y5LG0,False,False,4.3,2587.0
45,Fairycece,B0CDBK5FR4,False,False,5.0,4.0
46,Peace Sign Halloween Event & Celebrating Designs,B0B8DZ2LCM,False,False,4.7,43.0
47,Gejoy,B07WZNDVNG,False,False,4.1,1109.0
48,Jexine,B0BN6H8LGQ,False,False,4.4,376.0
49,TUOFLY,B0BPQJQ5K9,False,False,4.7,77.0
50,SOMSOC,B0BCP47CHP,False,False,4.4,64.0
51,Dreamgirl,B007R2N2QI,False,False,4.3,913.0
52,AOTHSO,B0CC1Z4BLS,False,False,4.0,7.0
53,SOMSOC,B0BCNGQ8KN,False,False,4.6,45.0
54,Mepase,B0BTBRPRM2,False,False,4.2,48.0
55,Zhanmai,B0B818XVNF,False,False,4.5,520.0
56,Naywig,B0C588HM5G,False,False,3.8,81.0
57,California Costumes,B001CCVUXG,False,False,4.4,792.0
58,SOMSOC,B0BG29KQ1F,False,False,3.1,14.0
59,Forum Novelties,B0091KFHMQ,False,False,4.1,504.0
