rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Verdusa,B0BJDQ1THJ,False,False,4.4,34
1,Vivicastle,B0778VVLH6,False,False,4.0,5433
2,Verdusa,B0B9S45DFH,False,False,4.2,63
3,Romwe,B096JB73XY,False,False,4.2,2160
4,Leumoi,B0C3C9WW1R,False,False,4.1,13
5,MRYUWB,B0BVMH9C5Y,False,False,4.4,200
6,Frienda,B09G2S48GY,False,False,4.0,3008
7,MYCHTE,B0C2MWTXYD,False,False,4.5,43
8,EVISWIY,B08GFJD3BJ,False,False,4.6,315
9,SOMSOC,B0C4KBBPNQ,False,False,4.5,107
10,Leumoi,B0C4F239WH,False,False,4.5,33
11,MEESHEEP,B0BYN8WCJY,False,False,4.5,102
12,Dreamgirl,B00JLDWHDA,False,False,4.2,1631
13,Verdusa,B0B4W6DQLP,False,False,4.1,218
14,SATINIOR,B07VDK3LZV,False,False,4.5,424
15,California Costumes,B0040Y5LG0,False,False,4.3,2587
16,PJ PAUL JONES,B0BS324C3R,False,False,4.5,93
17,TOGROP,B09X95Y5V5,False,False,4.2,691
18,Didaey,B0BTYHKXHP,False,False,3.9,40
19,Costume Culture,B00BBB12A4,False,False,4.3,160
20,EVALESS,B0C3LZ3PKW,False,False,4.4,2052
21,FunMular,B0C1N9W4JL,False,False,4.3,93
22,ZeroShop,B09TT8XSL6,False,False,4.5,564
23,SOMSOC,B0BCPDYV2C,False,False,4.4,64
24,California Costumes,B00J48UTNM,False,False,4.1,1476
25,SweatyRocks,B07VRDG6W4,False,False,3.8,674
26,Peace Sign Halloween Event & Celebrating Designs,B0B8DZ2LCM,False,False,4.7,43
27,EVELUST,B0BMWRK4YT,False,False,4.0,136
28,Verdusa,B0BN3FKX2Z,False,False,4.2,53
29,Fuqimanman2020,B09PQTCPDS,False,False,4.1,724
30,Ellie Shoes,B000REP0RM,False,False,4.3,11057
31,Yean,B07G9BSRV9,False,False,3.8,541
32,Verdusa,B09FDX1P8Y,False,False,4.2,1150
33,Dreamgirl,B007R2N2QI,False,False,4.3,913
34,ZeroShop,B0B5GD3VRK,False,False,4.5,166
35,WSPLYSPJY,B073Z8388S,False,False,4.1,2789
36,Heionia,B0BXPLPGKD,False,False,4.8,5
37,Fairycece,B0CDBJYD6V,False,False,5.0,4
38,Jexine,B0BN6H8LGQ,False,False,4.4,376
39,Zhanmai,B0B818XVNF,False,False,4.5,520
40,SOMSOC,B0BCNGQ8KN,False,False,4.6,45
41,AZOKOE,B0813HD3MP,False,False,4.1,4047
42,Haysandy,B09YHJLVY1,False,False,4.4,159
43,AWAYTR,B07BGVM6F8,False,False,4.4,453
44,"Retro 70's Styles Clothing, 70's Clothes & Fashion",B09W9QXHKH,False,False,4.5,49
45,EVELUST,B0BHNYYN4L,False,False,4.2,142
46,SOMSOC,B0BG2838X8,False,False,3.1,14
47,Sintege,B0BMTCWPV2,False,False,4.5,48
