rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Gold 70th Birthday Candles for Cakes, Number 70 7 Glitter Candle Cake Topper for Party Anniversary Wedding Celebration Decoration",B09BFHFM3R,False,False,4.8,193.0
1,"70th Birthday Decorations Women Men Framed with Stand, 8x10 DOUBLE-SIDED Back in 1953 70th Birthday Cards, Vintage Table Decor for 70th Anniversary,1953 Party Supply, 70th Birthday Gifts, Gold",B0BNJ3GQHW,False,False,4.6,138.0
2,70 Never Looked So Good Gold Glitter Banner - 70th Anniversary and Birthday Party Decorations,B09TS161R7,False,False,4.2,67.0
3,"Famoby Black & Gold Glittery Happy 70th Birthday Banner,Poms,Sparkling 70 Hanging Swirls Kit for 70th Birthday Party 70th Anniversary Decorations Supplies",B01BXM4YXM,False,False,4.6,6323.0
4,70th Birthday Decorations - 9pcs Happy 70th Birthday Decorations Men Women Cheer Black Gold Table Decoraions Vintage Honeycomb Centerpieces 70 Years Birthday Party Decor Men,B0BRN1GHST,False,False,4.5,182.0
5,"70th Birthday Toilet Paper, 70th Birthday Gifts for Him & Her, 70th Birthday Decorations for Her & Him, 70th Birthday Decorations or Gifts for Women & Men, 70th Birthday Party Favors",B0CDC6KRB4,False,False,4.8,52.0
6,8 Pieces 70th Birthday Honeycomb Centerpieces Table Toppers Seventy Years Birthday Decorations Cheers to 70 Years Table Decorations for 70th Birthday Party,B08JTX8H1W,False,False,4.3,680.0
7,Cheers to 70 Years Cocktail Napkins - 50PK - 3-Ply 70th Birthday Napkins 5x5 Inches Disposable Party Napkins Paper Beverage Napkins for 70th Birthday Decorations Wedding Anniversary Black and Gold,B0C6M8T41W,False,False,4.8,348.0
8,"Classic 70th Birthday Gifts for Men Women, Two-sided Back in 1953 Poster Acrylic Sign with Stand, Vintage 1953 Newspaper Poster, 70 Year Old Bday Party Decor",B0C3QZQ678,False,False,4.8,22.0
9,Gyufise 1 Pack Gold Happy 70th Birthday Cake Topper Glitter Happy 70 Cupcake Topper Cheers to 70 Fabulous Cake Decoration for 70th Birthday Party Decoration Supplies,B0971D5V2L,False,False,4.5,621.0
10,"70th Birthday Decorations for Women, 96PCS 70th Birthday Plates and Napkins Rose Gold Plates Party Supplies Happy 70th Birthday Party Decorations for Women 70th Birthday Party Decorations Serves 24",B0C4Z196GT,False,False,4.9,14.0
11,"70th Birthday Decorations, Gold 70th Birthday Sash and Tiara for Women, 70 & Fabulous Sash and Tiara, 70th Birthday Gifts for Women, 70th Birthday Party Favor Supplies",B09TPDGP6P,False,False,4.7,360.0
12,"GIFTSFARM Funny 70th Birthday Card, 70 Birthday Card for Women Men, Birthday Card Decorations Gift for Him or Her Turning 70 Years Old (5 x 7 Inch Birthday Card with Kraft Envelope)",B0CD6TS1HB,False,False,4.9,14.0
13,"DECORLIFE 70th Birthday Plates and Napkins Serves 24, 70th Birthday Decorations for Men or Women, Party Tableware Set, Total 96pcs",B09HBP4C34,False,False,4.6,102.0
14,"Happy 70th Birthday Cake Topper - 70th Anniversary Cake Topper,happy 70th Birthday Cake Topper,70 Cake Topper Gold,70th Birthday Cake Topper,70th Anniversary Cake Topper Gold Party Decorations",B09VZJNYLF,False,False,4.6,239.0
15,96PCS 70th Theme Birthday Party Tableware Vintage 1953 Party Supplies 70 Year Old Birthday Party Decorations Plates Napkins Forks Black and Gold Dinnerware Favors for Men or Women,B0BY94JXJ7,False,False,4.5,677.0
16,"Large Happy 70th Birthday Decoration Banner, Black and Gold Happy 70th Birthday Banner Sign, 70th Birthday Party Decorations Supplies(9.8x1.6ft)",B08PPQGZ5H,False,False,4.7,5343.0
17,Glitter Happy 70th Birthday Banner - 70 AF Sign Banner - Cheers to 70 Years Birthday Party Bunting Decorations Black Pre-Assembled (Black),B0B8CYXCTL,False,False,4.3,16.0
18,70th Birthday Decorations for Women - 8pcs 1953 Rose Gold Birthday Party Decorations Pink Honeycomb Centerpieces Table Toppers Decor Supplies Happy Cheers to 70 Years Birthday Women,B0BWHGLT8G,False,False,4.5,402.0
19,"Giant 70th Birthday Card Decorations for Him Her, Cheers to 70 Years Old Birthday Ideas for Mom Dad, Happy 70th Birthday Gifts for Wife Husband, Gifts for 70 Birthday Party, Funny 1953 Bday Gift for Parents",B0BKZF566C,False,False,4.8,1548.0
20,"70th Birthday Decoration Kit, Happy 70th Birthday Banner Bunting Swirls Streamers, Triangle Flag Banner for Birthday Party Decorations Supplies Black and Gold 70th",B0BYTR8V7Z,False,False,3.5,7.0
21,"Crisky 70th Birthday Cocktail Napkins Rose Gold for Women 70th Birthday Party Decorations for Cake Dessert Berverage Table, 70th Birthday Party Supplies,50 Pcs Disposable Napkins, 3-Ply",B085BKP8FD,False,False,4.8,485.0
22,"70th Birthday Decorations Plates and Napkins Black and Gold, Service for 30, Vintage 1953 Birthday Party Bundle Includes Black Gold Plates, Napkins, Cups 70th Birthday Supplies for Men Women",B0BZPBFT6N,False,False,4.0,11.0
23,"70th Birthday Decorations for Women, Rose Gold 70th Birthday Banner, Crown, Sash, Cake Topper and Number Balloon, Happy 70th Birthday Party Decorations, 70th Birthday Gifts for Women Decorations",B0BRXXZ6DP,False,False,4.4,159.0
24,70th Birthday Decorations Happy 70th Birthday Banner for Men Women Black Gold 70 Years Birthday Party Decorations Background for Home Birthday Decor(71 x 45 inch),B0BTP36YHW,False,False,4.7,232.0
25,"70th Birthday Decorations for Women,70th Birthday Sash,Crown/Tiara,Candles,Cake Toppers.70th Birthday Gifts for Women,70th Birthday Decorations Gifts Idea",B09NXWH72R,False,False,4.7,4801.0
26,"Rose Gold 70th Birthday Gift for Women, One-sided Back in 1953 Poster Acrylic Sign with Stand for Girl 70 Year Old Birthday Party Decoration Vintage 1953 Party Supply 70th Class Reunion Decor",B0BGN4D4MG,False,False,4.4,511.0
27,Cheers to 70 Years Cocktail Napkins | Happy 70th Birthday Decorations for Men and Women and Wedding Anniversary Party Decorations | 50-Pack 3-Ply Napkins | 5 x 5 inch folded (White),B0B2NGWFD3,False,False,4.8,113.0
28,"70th Birthday Decorations Men Women Party Supplies Cocktail Napkins White 70 Birthday Decorations 50 Pack,5""x 5"" Folded,Cheers to 70 Years! (70)",B08LPNFK7J,False,False,4.5,612.0
29,Happy 70th Birthday Party Yard Sign Set of 8 Black Gold 70 Birthday Yard Signs with Stakes and Outdoor Lawn Decorations,B096LVP73B,False,False,4.5,981.0
30,Vintage 70th Birthday Balloons 18Pcs Black Gold 1953 Balloons Party Decorations for Men Women 70th Anniversary Birthday Party Black Gold Confetti Latex Balloons Happy Birthday Decor Supplies 12 inch,B0C3LZYPNM,False,False,4.3,21.0
31,"70th Birthday Decorations - 9 PCs 70s Old Zone Party Decorations, Funny Yard Banner for Grandma Grandpa, Table Centerpieces Door Wall Windows Signs Photo Booth Props for Men Women, Happy Bday Decor",B0CB874M51,False,False,,
32,"70th birthday decorations for men women - (76pack) black gold party Banner, Pennant, Hanging Swirl, birthday balloons, Tablecloths, cupcake Topper, Crown, plates, Photo Props, Birthday Sash for gifts",B08YNP1QT3,False,False,4.7,575.0
33,"70th Birthday Candles Numbers for Cakes Candle Happy Seventieth Birthday 3D Designed Wedding Anniversary Party Cake Topper Decorations (70, Gold)",B0BK6J4HN2,False,False,4.7,226.0
34,"Black Gold Glitter Happy 70th Birthday Cake Topper,Happy 70 Birthday Cake Decoration for 70 & Fabulous Birthday,Hello 70 Party Anniversary Party Cake Decorations Supplies",B0BQG2CV7W,False,False,4.8,85.0
35,30PCS Vintage 1953 Cupcake Toppers Glitter Seventy 70 Fabulous Happy 70th Birthday Cupcake Picks Cheers to 70 Years for 70th Birthday Anniversary Party Cake Decorations Supplies Rose Gold,B0B57QN2D8,False,False,4.7,490.0
36,70th Birthday Decorations for Women 70th Birthday Decorations Rose Gold Plates and Napkins1953 Birthday Decorations Disposable Tableware Party Supplies For Women,B0C7YZX2VT,False,False,3.8,7.0
37,"70th Birthday Decorations for Men Women, Black Gold 70th Birthday Yard Banner and 70th Happy Birthday Balloons for 70th Birthday Party Decorations Cheers to 70 Years Birthday Decor Indoor Outdoor",B0C345M8LH,False,False,4.7,21.0
38,70th Birthday Decorations Women – Happy 70 Birthday Party Supplies for Womens with Champagne Burgundy Flowers Balloons Tissues Decor (Burgundy + Champagne),B09VYC4C21,False,False,4.6,49.0
39,"70th Birthday Party Decorations Supplies, 70th Birthday Gifts for 70 Years Old Women Men, Seventy 70th Birthday Decorations for Him Her- Vintage 1953 Birthday Poster Table Sign",B0BZLJ2DFC,False,False,4.9,48.0
40,Rose Gold Seventy & Fabulous Happy 70th Birthday Banner Garland Foil Balloon 70 for Womens 70th Birthday Decorations Hanging 70 and Fabulous Cheers to 70 Years Old Birthday Party Supplies Backdrop,B09W2M1QHZ,False,False,4.4,1969.0
41,"Crisky Rose Gold Foil 70 Fabulous Napkins Plates Cups Set for Women 70th Birthday Party Decorations Supplies, Disposable Tableware Set of 24 (9"" Plates, 7"" Plates, Luncheon Napkins, 9oz Cups)",B097LMXW5S,False,False,4.7,344.0
42,70th Birthday Party Decorations for Men Cheers Birthday Banner Black Gold Balloons Hanging Swirls Honeycomb Centerpieces and Disposable Tablecloth for Men Women 70th Birthday Decorations,B09KTG4WBL,False,False,4.6,98.0
43,Holy Shit You're Old Banner Gold Glitter for 30th 40th 50h 60th 70th 80th 90th Funny Birthday Banner Sign Bunting Party Decor Photo Booth Props (Gold),B07JFC21QX,False,False,4.8,2401.0
44,"4Set Balloon Stand, Balloon Centerpieces for Tables, Black and Gold Party Decorations for Birthday Wedding Anniversary Father's Day Halloween Christmas Graduation 2023(black and gold)",B0BJZMNNQZ,False,False,4.1,582.0
45,"70th Birthday Party Decoration, Black Gold Back in 1953 Table Sign with Base Plate, 70 Year Old Birthday Party Supplies, Vintage 1953 Display Holder Table Decorations for Men Women",B0B84TKFFX,False,False,4.6,51.0
