rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Heavy-Duty Tilting TV Wall Mount for 37"" to 80"" TVs up to 120 lbs, Black",B01KBEOAIW,True,False,4.6,4982
1,"Amazon Basics Full Motion Articulating TV Monitor Wall Mount for 26"" to 55"" TVs and Flat Panels up to 80 Lbs, Black",B01KBEOL5E,True,False,4.7,35781
2,"Amazon Basics Low Profile TV Wall Mount with Horizontal Post Installation Leveling for 32-Inch to 86-Inch TVs, Black",B09JWQH8XG,True,False,4.8,280
3,"Amazon Basics Swivel Pedestal Table Top TV Mount for 32"" to 65"" TVs up to 55 lbs, Height Adjustable 14-19 Inches, Max VESA 400x400, Black",B07N4GL2LW,True,False,4.6,1540
4,"Amazon Basics Fixed Flat TV Wall Mount fits 12-Inch to 40-Inch TVs and VESA 200x200, Black",B09JWTLJK4,True,False,4.2,175
5,"Amazon Basics Rectangular Wall Mount Mirror 24"" x 36"", Peaked Trim, Black",B07RRR2NDD,True,False,4.5,14446
6,"Amazon Basics Tilt TV Wall Mount fits 12-Inch to 40-Inch TVs and VESA 200x200, Black",B09JWS2NVJ,True,False,4.2,798
7,"Amazon Basics Full Motion TV Wall Mount fits 12"" to 40"" TVs and VESA 200x200, Black",B09JWN5F8W,True,False,4.6,454
8,"Amazon Basics Tilt TV Wall Mount with Horizontal Post Installation Leveling for 32-Inch to 86-Inch TVs, Black",B09JWSDQDK,True,False,4.6,165
9,"Amazon Basics Rotating 6-Outlet Surge Protector Wall Mount, 1080 Joules, White",B07HKJJFKH,True,False,4.7,4846
