rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Toshiba 75-inch Class C350 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (75C350KU, 2021 Model)",B0924Y49C1,False,False,4.4,6592
1,"Hisense 75-Inch Class A6 Series 4K UHD Smart Google TV with Alexa Compatibility, Dolby Vision HDR, DTS Virtual X, Sports & Game Modes, Voice Remote, Chromecast Built-in (75A6H)",B09WQDRL83,False,False,4.4,2924
2,"TCL 75-Inch Class S4 4K LED Smart TV with Fire TV (75S450F, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television,Black",B0C1HYMT79,False,False,4.2,110
3,"LG 75-Inch Class UQ7590 Series 4K Smart TV, AI-Powered 4K, Cloud Gaming (75UQ7590PUB, 2022),Grey",B09RRKSZ29,False,False,3.9,58
4,"SAMSUNG 75-Inch Class QLED 4K Q60C Series Quantum HDR, Dual LED, Object Tracking Sound Lite, Q-Symphony, Motion Xcelerator, Gaming Hub, Smart TV with Alexa Built-in (QN75Q60C, 2023 Model)",B0BVMYNNMS,False,False,4.4,298
5,"Amazon Fire TV 75"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, 1,700+ free artwork pieces, local dimming, hands-free with Alexa",B09N6Y5BTL,False,False,4.2,1602
6,"Amazon Fire TV 75"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",B08T6JZTH4,False,False,4.5,24472
7,"TCL 75-Inch Class S4 4K LED Smart TV with Google TV (75S450G, 2023 Model), Dolby Vision, HDR Pro, Dolby Atmos, Google Assistant Built-in with Voice Remote, Works with Alexa, Streaming UHD Television",B0C1HYJGBT,False,False,4.3,85
8,"SAMSUNG 75-Inch Class Crystal UHD 4K CU8000 Series PurColor, Object Tracking Sound Lite, Q-Symphony, Motion Xcelerator, Ultra Slim, Solar Remote, Smart TV with Alexa Built-in (UN75CU8000, 2023 Model)",B0BVMY67CR,False,False,4.3,477
9,"SAMSUNG 75-Inch Class Crystal UHD CU7000 Series PurColor, Object Tracking Sound Lite, Q-Symphony, 4K Upscaling, HDR, Gaming Hub, Smart TV with Alexa Built-in (UN75CU7000, 2023 Model)",B0BW12DXF9,False,False,4.0,17
10,"TCL 75-Inch Q6 QLED 4K Smart TV with Google (75Q650G, 2023 Model) Dolby Vision, Atmos, HDR Pro+, Game Accelerator Enhanced Gaming, Voice Remote, Works Alexa, Streaming UHD Television",B0C1J44WCR,False,False,4.3,228
11,"Sony 75 Inch 4K Ultra HD TV X85K Series: LED Smart Google TV with Dolby Vision HDR and Native 120HZ Refresh Rate KD75X85K- Latest Model,Black",B09R968GBK,False,False,4.5,1047
12,"SAMSUNG 75-Inch Class QLED 4K Q70C Series Quantum HDR, Dual LED, Object Tracking Sound Lite, Q-Symphony, Motion Xcelerator Turbo+, Gaming Hub, Smart TV with Alexa Built-in (QN75Q70C, 2023 Model),Black",B0BVMXKCRR,False,False,4.4,92
13,"Sony 75 Inch 4K Ultra HD TV X77L Series: LED Smart Google TV KD75X77L- 2023 Model, Black",B0BZF5B6SK,False,False,4.3,242
14,"Sony 75 Inch 4K Ultra HD TV X80K Series: LED Smart Google TV with Dolby Vision HDR KD75X80K- Latest Model, Black",B09P4B3M4Z,False,False,4.5,1276
15,"SAMSUNG 75-Inch Class Neo QLED 4K QN85C Series Neo Quantum HDR, Dolby Atmos, Object Tracking Sound, Motion Xcelerator Turbo+, Gaming Hub, Smart TV with Alexa Built-in (QN75QN85C, 2023 Model)",B0BTTVL532,False,False,4.1,47
