rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Gigabyte Radeon RX 7800 XT Gaming OC 16G Graphics Card, 3X WINDFORCE Fans 16GB 256-bit GDDR6, GV-R78XTGAMING OC-16GD Video Card",B0CGHQ32S2,False,False,5.0,1.0
1,"XFX Speedster MERC319 RX 7800 XT Black Gaming Graphics Card 16GB GDDR6 HDMI 3xDP, AMD RDNA 3 RX-78TMERCB9",B0CGM93HJD,False,False,4.5,35.0
2,PowerColor Red Devil AMD Radeon RX 7800 XT 16GB GDDR6 Graphics Card,B0CFPSX77R,False,False,4.4,14.0
3,"Sapphire 11330-02-20G Pulse AMD Radeon RX 7800 XT Gaming Graphics Card with 16GB GDDR6, AMD RDNA 3",B0CFWM1LNH,False,False,5.0,2.0
4,"Sapphire 11330-03-20G Pure AMD Radeon RX 7800 XT Gaming Graphics Card with 16GB GDDR6, AMD RDNA 3",B0CFWRLDB5,False,False,,
5,"XFX Speedster QICK319 RX 7800 XT CORE Gaming Graphics Card 16GB GDDR6 HDMI 3xDP, AMD RDNA 3 RX-78TQICKF9",B0CGM92TW8,False,False,5.0,16.0
6,PowerColor Red Devil Limited Edition AMD Radeon RX 7800 XT 16GB GDDR6 Graphics Card,B0CFPWPL67,False,False,4.1,4.0
7,"PowerColor Red Dragon AMD Radeon™ RX 6800 XT Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA™ 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",B08V1WK4LB,False,False,4.4,1665.0
8,"XFX Speedster MERC310 AMD Radeon RX 7900XT Ultra Gaming Graphics Card with 20GB GDDR6, AMD RDNA 3 RX-79TMERCU9",B0BNLT17XQ,False,False,4.6,8124.0
9,"XFX Speedster SWFT 319 AMD Radeon RX 6800 XT CORE Gaming Graphics Card with 16GB GDDR6 HDMI 3xDP, AMD RDNA 2 RX-68XTAQFD9",B09NM7WMXG,False,False,4.4,114.0
10,"ASUS TUF Gaming RX 7700 XT OC Edition 12GB GDDR6 (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 2.1)",B0CFSPZ1YY,False,False,,
11,"XFX Speedster QICK319 RX 7700 XT Black Gaming Graphics Card 12GB GDDR6 HDMI 3xDP, AMD RDNA 3 RX-77TQICKB9",B0CGMBYMY6,False,False,3.5,3.0
12,"EZDIY-FAB Vertical Graphics Card Holder Bracket with ARGB 5V 3Pin LED,GPU Mount,Video Card VGA Support Kit with PCIE3.0 Riser Cable- Black",B08R9PDBTD,False,False,3.9,775.0
13,Predator BiFrost Intel Arc A770 Overclocking Graphics Card | 16GB GDDR6 256-bit 18 Gbps | PCIe 4.0 | Dual Fans | Customize RGB Lighting Colors & Effects | TPD 250W | 1 x HDMI 2.1 & 3 x DisplayPort 2.0,B0BHKNK84Y,False,False,3.9,60.0
14,"Certusfun GPU Support Bracket, Video Graphics Card Sag Holder, All-aluminum GPU Stand Brace (S (31mm-55mm), Silver)",B0BWYVZLFJ,False,False,4.6,3.0
15,"Sapphire 11330-01-20G Nitro+ AMD Radeon RX 7800 XT Gaming Graphics Card with 16GB GDDR6, AMD RDNA 3",B0CFX69R1R,False,False,5.0,4.0
