rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"SAMSUNG 85-Inch Class QLED 4K Q60C Series Quantum HDR, Dual LED, Object Tracking Sound Lite, Q-Symphony, Motion Xcelerator, Gaming Hub, Smart TV with Alexa Built-in (QN85Q60C, 2023 Model)",B0BVMVXWCT,False,False,4.4,298
1,Sony 85 Inch 4K Ultra HD TV X77L Series: LED Smart Google TV KD85X77L- 2023 Model,B0BZDXK2J7,False,False,4.3,242
2,"TCL 85-Inch Q6 QLED 4K Smart TV with Google TV (85Q650G, 2023 Model) Streaming UHD, Dolby Vision, Dolby Atmos, HDR Pro+, Game Accelerator Enhanced Gaming, Voice Remote, Works with Alexa",B0C1J3CGLV,False,False,4.3,228
3,"Sony 85 Inch 4K Ultra HD TV X90L Series: BRAVIA XR Full Array LED Smart Google TV with Dolby Vision HDR and Exclusive Features for The Playstation® 5 XR85X90L- 2023 Model,Black",B0BYPLRJQF,False,False,4.0,62
4,"SAMSUNG 85-Inch Class Crystal UHD 4K CU8000 Series PurColor, Object Tracking Sound Lite, Q-Symphony, Motion Xcelerator, Ultra Slim, Solar Remote, Smart TV with Alexa Built-in (UN85CU8000, 2023 Model)",B0BVMX18NH,False,False,4.3,477
5,"SAMSUNG 85-Inch Class QLED 4K UHD Q70A Series Dual LED Quantum HDR, Motion Xcelerator Turbo+, Multi View Screen, Smart TV with Alexa Built-In (QN85Q70AAFXZA)",B08WFYPKP7,False,False,4.5,2529
6,"SAMSUNG 85-Inch Class Neo QLED 4K QN90C Series Neo Quantum HDR+, Dolby Atmos, Object Tracking Sound+, Anti-Glare, Gaming Hub, Q-Symphony, Smart TV with Alexa Built-in (QN85QN90C, 2023 Model)",B0BTTWBWTX,False,False,4.3,92
7,"Sony 85 Inch 4K Ultra HD TV X80K Series: LED Smart Google TV with Dolby Vision HDR KD85X80K- Latest Model, Black",B09RYKF6H4,False,False,4.5,1276
8,"SAMSUNG 85-Inch Class Crystal 4K UHD AU8000 Series HDR, 3 HDMI Ports, Motion Xcelerator, Tap View, PC on TV, Q Symphony, Smart TV with Alexa Built-In (UN85AU8000FXZA, 2021 Model)",B08Z28KXHT,False,False,4.5,15181
9,"SAMSUNG 85-Inch Class QLED Q60B Series - 4K UHD Dual LED Quantum HDR Smart TV with Alexa Built-in (QN85Q60BAFXZA, 2022 Model)",B09TQ5K24B,False,False,4.5,2216
10,"SAMSUNG 85-Inch Class Neo QLED 4K QN85C Series Neo Quantum HDR, Dolby Atmos, Object Tracking Sound, Motion Xcelerator Turbo+, Gaming Hub, Smart TV with Alexa Built-in (QN85QN85C, 2023 Model)",B0BTVCF5W3,False,False,4.1,47
11,Sony 85 Inch 4K Ultra HD TV X90K Series: BRAVIA XR Full Array LED Smart Google TV with Dolby Vision HDR and Exclusive Features for The Playstation® 5 XR85X90K- 2022 Model,B09R96FLVP,False,False,4.5,1082
12,"SAMSUNG 85-Inch Class QLED 4K Q80C Series Quantum HDR+, Dolby Atmos Object Tracking Sound Lite, Direct Full Array, Q-Symphony 3.0, Gaming Hub, Smart TV with Alexa Built-in (QN85Q80C, 2023 Model)",B0BW4VBC7J,False,False,3.8,64
13,"SAMSUNG 85-Inch Class QLED Q60B Series - 4K UHD Dual LED Quantum HDR Smart TV with Alexa Built-in (QN85Q60BAFXZA, 2022 Model) (Renewed)",B09WTV3VGN,False,False,4.8,5
14,"LG UQ7590 86-Inch Class UHD Smart TV 86UQ7590PUD, 2022 - AI-Powered 4K, Alexa Built-In, Grey",B0BHKPG2NP,False,False,3.9,65
15,"Toshiba 75-inch Class C350 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (75C350KU, 2021 Model)",B0924Y49C1,False,False,4.4,6592
