rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"8Bitdo Retro Mechanical Keyboard, Bluetooth/2.4G/USB-C Hot Swappable Gaming Keyboard with 87 Keys, Dual Super Programmable Buttons for Windows and Android - N Edition",B0CCP8KYGG,False,False,4.7,46
1,"8Bitdo Ultimate Bluetooth Controller with Charging Dock, Wireless Pro Controller with Hall Effect Sensing Joystick, Compatible with Switch, Windows and Steam Deck (White)",B0B9BDMWWN,False,False,4.5,1661
2,"8Bitdo Wireless USB Adapter 2 for Switch/Switch OLED, Windows, Mac & Raspberry Pi Compatible with Xbox Series X & S Controller, Xbox One Bluetooth Controller, Switch Pro and PS5 Controller",B09M8CVMYF,False,False,4.4,3693
3,"8BitDo Pro 2 Bluetooth Controller for Switch, PC, Android, Steam Deck, Gaming Controller for iPhone, iPad, macOS and Apple TV (G Classic Edition)",B08XY8SK9B,False,False,4.6,9799
4,"8Bitdo Zero 2 Bluetooth Gamepad Keychain Sized Mini Controller for Switch, Windows, Android, macOS & Raspberry Pi(Turquoise Edition)",B081HML6MP,False,False,4.5,3151
5,"8Bitdo SN30 Pro Wireless Bluetooth Controller with Joysticks Rumble Vibration USB-C Cable Gamepad Compatible with Switch,Windows, Mac OS, Android, Steam (Jade Green)",B0BW3VTKHD,False,False,4.6,2708
6,"8Bitdo Ultimate C 2.4g Wireless Controller for Windows PC, Android, Steam Deck & Raspberry Pi (Lilac Purple)",B0C2V6JLNJ,False,False,4.6,417
7,"8BitDo Ultimate 2.4g Wireless Controller With Charging Dock, 2.4g Controller for PC, Android, Steam Deck & iPhone, iPad, macOS and Apple TV (Black)",B0B9BR6H7N,False,False,4.5,1044
8,"8Bitdo Sn30 Pro Bluetooth Controller for Switch/Switch OLED, PC, macOS, Android, Steam Deck & Raspberry Pi (Gray Edition)",B08Y9QLCKM,False,False,4.6,3802
9,"8Bitdo Micro Bluetooth Gamepad Pocket-sized Mini Controller for Switch, Android, and Raspberry Pi, Supports Keyboard Mode (Green)",B0CDG2HKBF,False,False,4.0,73
10,"8Bitdo Arcade Stick for Switch & Windows, Arcade Fight Stick Support Wireless Bluetooth, 2.4G Receiver and Wired Connection",B08GJC5WSS,False,False,4.7,3154
11,"8Bitdo Ultimate Wired Controller for Xbox Series X, Xbox Series S, Xbox One, Windows 10 & Windows 11 - Officially Licensed (Black)",B01MRXMP9J,False,False,4.3,1169
12,8Bitdo Pro 2 Bluetooth Controller - for Switch PC Windows Android MacOS Steam Raspberry Pi (Transparent Purple),B0BFGSNLTM,False,False,4.6,1573
13,"8Bitdo NEOGEO Wireless Controller for Windows, Android, and NEOGEO mini with Classic Click-Style Joystick - Officially Licensed by SNK (Black Edition)",B0C9BZR395,False,False,4.6,80
14,"8Bitdo Arcade Stick for Xbox Series X|S, Xbox One and Windows 10, Arcade Fight Stick with 3.5mm Audio Jack - Officially Licensed (Black)",B0C4YRJHGB,False,False,4.4,81
15,"8Bitdo Sn30 Pro USB Wired Gamepad for Switch, Windows & Raspberry Pi(Gray Edition)",B08Y9RC49N,False,False,4.6,2396
