rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"SAMSUNG 870 QVO SATA III SSD 8TB 2.5"" Internal Solid State Drive, Upgrade Desktop PC or Laptop Memory and Storage for IT Pros, Creators, Everyday Users, MZ-77Q8T0B",B089C3TZL9,False,False,4.8,18884
1,"Rapid 8TB External SSD USB-C Portable Solid State Drive (USB 3.1 Gen 2) – Up to 540MB/s Data Transfer, 3D NAND Flash",B08HGH9HK6,False,False,4.5,1020
2,"SAMSUNG 870 QVO 8 TB SATA 2.5 Inch Internal Solid State Drive (SSD) (MZ-77Q8T0), Black",B089RD13TX,False,False,4.6,462
3,SABRENT 8TB Rocket 4 Plus NVMe 4.0 Gen4 PCIe M.2 Internal SSD Extreme Performance Solid State Drive R/W 7100/6600MB/s (SB-RKT4P-8TB),B09WZK8YMY,False,False,4.7,2454
4,Dell Intel P4510 8TB PCIe Gen3 x4 NVMe U.2 2.5-inch Enterprise SSD - SSDPE2KX080T851,B0C6B2PGMC,False,False,5.0,3
5,HGST Ultrastar He8 HUH728080ALE604 8TB 7200 RPM SATA 6Gb/s 3.5in 128MB 512e HDD (0F23668) (Renewed),B074WGLH47,False,False,4.5,24
6,Oyen Digital 8TB NVMe M.2 2280 Gen4 PCIe TLC Solid State Drive SSD,B0C3SLH5GH,False,False,5.0,6
7,Network-EXP Sam Sung 870 QVO Solid State Drive 8TB SATA3 Desktop Notebook high Speed 2.5 inch Computer Server Hard Drive Monitoring,B091GS2ZH1,False,False,5.0,1
8,Oyen Digital U32 Shadow 8TB USB-C Rugged Portable SSD (DU32-C-SS-8T-G),B0BDNJNTH5,False,False,4.5,251
9,"Oyen Digital Helix 8TB USB-C (USB 3.2 Gen2) NVMe Portable SSD, Up to 950 MB/S (M2-P8-8T-BK)",B0B1NB57PC,False,False,4.6,65
10,"INLAND 8TB Performance Plus NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, DRAM Cache, 176-Layer TLC 3D NAND Flash, Up to 7000MB/s",B0BDZWLBS4,False,False,4.6,314
11,"TEAMGROUP MP44 8TB SLC Cache Gen 4x4 M.2 2280 PCIe 4.0 with NVMe Laptop & Desktop & NUC & NAS SSD Solid State Drive (R/W Speed up to 7,400/6,000MB/s) TM8FPW008T0C101",B0C4KQ57PV,False,False,4.6,4482
12,"Corsair MP600 PRO XT 8TB Gen4 PCIe x4 NVMe M.2 SSD - Up to 7,000 MB/s Sequential Read and 6,100 MB/s Write Speeds, High-Density TLC NAND, Aluminum Heatspreader, M.2 2280 Form-Factor - Black",B0BFDKPWPR,False,False,4.7,784
13,"Silicon Power 4TB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5"" 7mm (0.28"") Internal Solid State Drive (SP004TBSS3A55S25)",B0BVLRFFWQ,False,False,4.6,7622
14,"Silicon Power 4TB UD90 NVMe 4.0 Gen4 PCIe M.2 SSD R/W up to 5,000/4,500 MB/s (SP04KGBP44UD9005)",B0BYN8NHXS,False,False,4.5,714
15,Crucial X8 4TB Portable SSD - Up to 1050MB/s - PC and Mac - USB 3.2 External Solid State Drive - CT4000X8SSD9,B0B787PNL7,False,False,4.6,12135
