rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,8x10 Area Rugs for Living Room 8x10 Rugs Washable Rugs 8x10 Rug Area Rug for Bedroom Living Room Print No Pile Non Slip Brick,B0CB6DP23T,False,False,4.5,26
1,Area Rug 8x10 Rugs for Living Room 8x10 Rugs Washable Rugs 8x10 Rug Carpet for Bedroom Living Room Print No Pile Distressed Non Slip,B0CB6CHV4N,False,False,4.3,28
2,"LOCHAS Luxury Shag Area Rug 8x10 Feet Geometric Plush Fluffy Rugs, Extra Soft and Comfy Carpet, Moroccan Rugs for Bedroom Living Room Dorm Kids Nursery, Dark Grey/White",B0BHLBLYWS,False,False,4.1,13035
3,"Washable Rug 8x10 Area Rugs for Living Room - Stain Resistant Non-Slip Backing Rugs for Bedroom,Ultra-Thin Vintage Large Area Rug (Turmeric/Grey,8'x10'",B0BPBSYHL8,False,False,4.6,495
4,"JONATHAN Y MOH101B-8 Moroccan Hype Boho Vintage Diamond 8 ft. x 10 ft. Area -Rug, Bohemian, Southwestern, Casual, Transitional, Pet Friendly, Non Shedding, Stain Resistant, Easy -Cleaning, Cream/Gray",B07T94Q187,False,False,4.5,10096
5,"Ophanie 8x10 Area Rugs for Living Room, Large Shag Bedroom Carpet, Gray Big Indoor Thick Soft Nursery Rug, Grey Fluffy Carpets for Boy and Girls Room Dorm Home Decor Aesthetic",B0BZP4L8NH,False,False,4.3,23277
6,jinchan Area Rug 8x10 Accent Rug Indoor Vintage Floor Mat Soft Printed Distressed Carpet Brick Red Non Slip Washable Floorcover for Kitchen Living Room Bedroom Dining Room,B0CFQZSQG2,False,False,4.4,614
7,"Luxury 8x10 Large Area Rugs for Living Room, Super Soft Fluffy Modern Bedroom Rug, Big Indoor Thick Soft Nursery Rug, Non-Skid Nursery Faux Fur Carpet for Kids Room Home Décor，Tie-Dyed Light Grey",B0C7VYF8V2,False,False,4.7,107
8,"SAFAVIEH Tulum Collection Area Rug - 8' x 10', Ivory & Grey, Moroccan Boho Distressed Design, Non-Shedding & Easy Care, Ideal for High Traffic Areas in Living Room, Bedroom (TUL264A)",B07SVPK7T3,False,False,4.4,3898
9,"Boho Area Rug 3'x5' Machine Washable, Pink Small Non Slip Area Rugs for Entryway Bedroom Bedside Kitchen Hallway Living Room Laundry Room Indoor Mat Soft Low-Pile Floral.",B0B4ZV6C91,False,False,4.7,839
10,"Modern Plush Area Rug 8x10 Ultra Soft Faux Fur Rugs, Non-Skid Bedroom Rugs for Kids Playroom Home Decor, Tie-Dyed Coffee",B0B12FVYNB,False,False,4.2,2042
11,"8x10 Area Rugs for Living Room: Large Machine Washable Rugs with Non-Slip Backing Non-Shedding Stain Resistant, Vintage Floral Carpet for Dining Room Bedroom Nursery Home Office - Blue",B0C46DWXYY,False,False,4.4,54
12,"SAFAVIEH Adirondack Collection Area Rug - 8' x 10', Champagne & Cream, Modern Ombre Design, Non-Shedding & Easy Care, Ideal for High Traffic Areas in Living Room, Bedroom (ADR113W)",B01N2TRFYP,False,False,4.1,1258
13,"TABAYON 8 x 10 Feet Shag Area Rugs, Ultra Soft Indoor Modern Nursery Rug, Tie-Dyed Light Grey Plush Shaggy Throw Carpets for Boy and Girls Room Dorm Living Room",B09MVYPYSZ,False,False,4.1,7134
14,"nuLOOM Becca Traditional Tiled Area Rug, 8' x 10', Beige",B07MHQ5TGB,False,False,4.3,5278
15,"Huge Geometric Area Rugs for Living Room, 8x10 Black and White Floor Rug, Large Modern Rug for Bedroom, Apartment Decor, Fuzzy Plush Carpet, Shag Furry Rug, Shaggy Thick Moroccan Rug",B0CBVHWR21,False,False,4.4,101
16,"Grozoken 8x10 Rug Soft Large Area Rug Shaggy Rug 2023 Thickened Upgrade Non-Slip Plush Rug for Living Room, Bedroom Rug, Indoor, Kids Room, Playroom, White",B0C8GGSH6S,False,False,4.2,17
17,Area Rug 8x10 Rugs for Living Room 8x10 Rugs Washable Rugs 8x10 Rug Carpet for Bedroom Living Room Print Distressed Non Slip No Pile,B0CB6CNQ7S,False,False,4.1,44
18,"junovo Soft Area Rugs for Living Room 8x10 Feet Fluffy Rug Carpets for Bedroom Shaggy Rugs for Kids Teens Girls Boys Indoor Plush Rug for Dorm Room Playroom Nursery Home Decor, Light Navy",B0C7QP46HM,False,False,4.6,15092
19,"Shag Area Rugs for Bedroom, Black&Grey Fluffy Rug Plush Living Room Carpet 8 x 10 Feet, Indoor Modern Plush Area Rugs, Fuzzy Nursery Shaggy Rugs for Kids Room",B09TGRBZCT,False,False,4.3,707
20,"JONATHAN Y MOH205A-8 Aya Berber Stripe Geometric Indoor Farmhouse Area-Rug Bohemian Minimalistic Striped Easy-Cleaning Bedroom Kitchen Living Room Non Shedding, 8 X 10, Cream,Gray",B081D74FP6,False,False,4.5,371
21,"Merelax Soft Modern Indoor Large Shaggy Rug for Livingroom Bedroom Dorm Kids Room Home Decorative, Non-Slip Plush Fluffy Furry Fur Area Rugs Comfy Nursery Accent Floor Carpet 8x10 Feet, Ivory",B0B94C79DN,False,False,4.3,19799
