rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Duracell - CopperTop 9V Alkaline Batteries - long lasting, all-purpose 9 Volt battery for household and business - Pack of 12",B00G06TYQE,False,False,4.8,5976.0
1,"Energizer Industrial 9 Volt Batteries, Alkaline 9v Battery (12 Count)",B000099SKB,False,False,4.6,3339.0
2,"ACDelco 12-Count 9 Volt Batteries, Maximum Power Super Alkaline Battery, 7-Year Shelf Life, Reclosable Packaging",B00THDSP30,False,False,4.7,5679.0
3,"Duracell Procell 9 Volt Batteries, Pack of 12 (Packaging May Vary)",B002UGVWA4,False,False,4.5,6089.0
4,12pk Energizer 9v Industrial Battery Commercial Only,B0030BUQAA,False,False,4.6,200.0
5,Voniko 9V Batteries - Alkaline 9V Battery 12 Pack - Ultra Long Lasting with a 7-Year Shelf Life,B07S2G9T88,False,False,4.6,9600.0
6,": Duracell PC1604BKD Procell Alkaline Batteries, 9V (Pack of 12) – style and color may vary",B001DZI4GS,False,False,4.6,1685.0
7,"Allmax 9V Maximum Power Alkaline Batteries (12 Count) – Ultra Long-Lasting, 7-Year Shelf Life, Leakproof Design – Perfect for Smoke Detectors & Wireless Microphones (9 Volt)",B079DLFFDZ,False,False,4.6,5462.0
8,"Powermax 12-Count 9V Batteries, Ultra Long Lasting Alkaline Battery, 7-Year Shelf Life, Reclosable Packaging",B0BFFPRJGV,False,False,4.5,59.0
9,"9V Batteries 9 Volt Batteries 6LR61 Alkaline Batteries Ultra Long-Lasting Smoke Alarm Batteries, 10-Year Leak-Proof Shelf Life (12 Count)",B0BG2MXVHR,False,False,4.5,247.0
10,"Duracell Procell Alkaline Batteries, 9V, 12/Box",B00009V2QZ,False,False,4.6,1269.0
11,EVEREADY BATTERY 1222 9V Heavy-Duty Battery (12 Pack),B00FL6KL6Q,False,False,4.5,396.0
12,"Rayovac 9V Batteries, 9 Volt Battery Recloseable Pack, 12 Count",B0057WOHVY,False,False,4.7,857.0
