rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,90 Degree By Reflex,B00YQ6UK2C,False,False,4.4,19333
1,90 Degree By Reflex,B07G7JY5LY,False,False,4.4,26269
2,90 Degree By Reflex,B07C9CKRVY,False,False,4.4,4483
3,90 Degree By Reflex,B07K6SY37M,False,False,4.4,12345
4,90 Degree By Reflex,B07QYP244Z,False,False,4.4,7570
5,90 Degree By Reflex,B079BP3WDM,False,False,4.4,8979
6,90 Degree By Reflex,B083QP4VJV,False,False,4.5,1826
7,90 Degree By Reflex,B07XZMXS8Y,False,False,4.0,1334
8,90 Degree By Reflex,B00TKM4KDC,False,False,4.4,16522
9,90 Degree By Reflex,B07C9CDN1G,False,False,4.5,5731
10,90 Degree By Reflex,B09LG7VVMG,False,False,4.4,1393
11,90 Degree By Reflex,B09WJNQ93Y,False,False,4.5,390
12,90 Degree By Reflex,B0BHJRFWX9,False,False,4.4,312
13,90 Degree By Reflex,B07HJFDVV2,False,False,4.4,8183
14,90 Degree By Reflex,B09TG4VNH8,False,False,4.3,202
15,90 Degree By Reflex,B09JD87TX2,False,False,4.5,8754
16,90 Degree By Reflex,B09YJ1DTKR,False,False,4.6,34
17,90 Degree By Reflex,B09D8Q832M,False,False,4.0,903
18,90 Degree By Reflex,B09BNXT3V1,False,False,3.3,9
19,90 Degree By Reflex,B08C7ZHWVV,False,False,4.2,72
20,90 Degree By Reflex,B08C7YJ2R7,False,False,4.4,5252
21,90 Degree By Reflex,B07JPZYR3L,False,False,4.4,4748
22,Sunzel,B0BWH57J3Y,False,False,4.3,1360
23,THE GYM PEOPLE,B07HQPKDZB,False,False,4.4,62285
24,BUBBLELIME,B07P6JQ7NM,False,False,4.4,12220
25,AJISAI,B07WBZ7PDP,False,False,4.5,9297
26,ODODOS,B07C5NHH8C,False,False,4.5,42388
27,Sunzel,B08BRV6S41,False,False,4.4,40356
28,G4Free,B0C77XV9ZQ,False,False,4.4,22
29,THE GYM PEOPLE,B0BNKSWNN7,False,False,4.2,595
30,90 Degree By Reflex,B07RX8CJ8N,False,False,4.6,3515
31,90 Degree By Reflex,B09X99XB6H,False,False,4.3,1227
32,IUGA,B07D4BB8H4,False,False,4.6,26959
33,HeyNuts,B09248SBLQ,False,False,4.6,15317
34,IBL,B0BBV9Q4P4,False,False,4.2,54
35,90 Degree By Reflex,B09HL3BQDH,False,False,4.5,145
36,AFITNE,B08B5YQ4D1,False,False,4.6,10519
37,90 Degree By Reflex,B0166CQ8JM,False,False,4.6,18487
38,Aoliks,B0BVJ2F7WG,False,False,4.6,45
39,90 Degree By Reflex,B09T3SKQ9Z,False,False,4.2,257
40,90 Degree By Reflex,B09PWTSGYH,False,False,4.6,4897
41,Sundwudu,B0CD1YS4C6,False,False,4.6,5
42,90 Degree By Reflex,B09CJ4LVZW,False,False,4.1,15
43,90 Degree By Reflex,B08DSJVZ7L,False,False,4.5,561
44,90 Degree By Reflex,B09XNSDFQK,False,False,4.0,15
45,90 Degree By Reflex,B07N7QTBJN,False,False,4.1,728
46,HeyNuts,B0BQ68L5R6,False,False,4.6,118
47,90 Degree By Reflex,B09RMFXVBF,False,False,3.6,29
