rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"HP 902XL Black High-yield Ink Cartridge | Works with HP OfficeJet 6950, 6960 Series, HP OfficeJet Pro 6960, 6970 Series | Eligible for Instant Ink | T6M14AN",B01BYKD628,False,False,4.6,22127.0
1,"HP 902XL Magenta High-yield Ink Cartridge | Works with HP OfficeJet 6950, 6960 Series, HP OfficeJet Pro 6960, 6970 Series | Eligible for Instant Ink | T6M06AN",B01BYKDRXQ,False,False,4.7,4501.0
2,"902XL Ink Cartridges Replacement for HP 902XL HP Ink 902 Compatible for HP Officejet Pro 6978 6960 6962 6968 6954 6958 6950 6951 6970 Printers High Yield Combo Pack (Black, Cyan, Magenta, Yellow)",B0CFVF7B4C,False,False,4.9,55.0
3,"HP 902XL Cyan High-yield Ink Cartridge | Works with HP OfficeJet 6950, 6960 Series, HP OfficeJet Pro 6960, 6970 Series | Eligible for Instant Ink | T6M02AN",B01BYKDBCS,False,False,4.7,4551.0
4,"HP 902XL Yellow High-yield Ink Cartridge | Works with HP OfficeJet 6950, 6960 Series, HP OfficeJet Pro 6960, 6970 Series | Eligible for Instant Ink | T6M10AN",B01BYKDY16,False,False,4.7,4492.0
5,BOSSINK Upgraded 902 Ink Cartridges for HP Printer Compatible Replacement for HP 902XL 902 XL Combo Pack for OfficeJet Pro 6978 6968 6962 6975 6960 6970 6979 6950 (Black Cyan Magenta Yellow) 4-Pack,B0C52RBSWD,False,False,,
6,902XL Ink Cartridge Combo Pack Replacement for HP 902XL 902 XL for HP Officejet Pro 6978 6968 6970 6960 6962 6958 6954 6950 6951 Printers (Black Cyan Magenta Yellow),B0CH7WLBPC,False,False,,
7,"902XL Ink Cartridges Combo Pack, Replacement for HP 902 XL Ink Cartridge Work with HP OfficeJet Pro 6960 6978 6968 6975 6970 6958 6962 6979 6950 6951 Printer (Black Cyan Magenta Yellow, 4-Pack)",B0CGDLXPGQ,False,False,4.3,4504.0
8,"902XL Ink Cartridges Combo Pack Compatible for HP 902XL HP 902 XL with Officejet Pro 6978 6960 6962 6968 6954 6958 6950 6951 6970 Printers (Black, Cyan, Magenta, Yellow, 4 Pack)",B0C2CLNYSV,False,False,4.4,329.0
9,ffresiss 902XL Ink Cartridge Replacement for HP 902 Cartridges Works with HP Officejet Pro 6978 6968 6962 Printers …,B0BTPQ4397,False,False,3.9,3.0
10,"902XL Ink Cartridges Combo Pack Compatible for HP 902XL 902 XL Ink for HP OfficeJet Pro 6978 6968 6962 6958 6975 6970 6960 6954 6950 Series Printer (Black Cyan Magenta Yellow, 4-Pack)",B0CDC5HBQ7,False,False,3.2,12.0
11,"RGiNK Compatible 902 XL Ink Cartridge Replacement for HP 902xl Ink cartridges Combo Pack with HP Officejet Pro 6978 6968 6970 6958 6962 6975 6960 6954 Printer (Black, Cyan, Magenta, Yellow, 4 Pack)",B0BZ7GL6XB,False,False,3.9,67.0
12,"902XL Ink Cartridges Color Combo Pack Replacement for HP 902XL HP902XL for OfficeJet 6978 6960 6962 6968 6970 6975 6954 6958 6950 6951 Printer High Page Yield (Black Cyan Magenta Yellow, 4 Pack)",B0CHDSCD7Y,False,False,5.0,1.0
13,"902XL Compatible for 902 XL Ink Cartridge Combo Pack High Yield Replacement Work for HP Officejet Pro 6978 6960 6962 6968 6954 6958 6950 6951 6970 Printers (Black, Cyan, Magenta, Yellow, 4 Pack)",B0C81FG4MZ,False,False,4.2,437.0
14,"5-Star Inkjetsclub Compatible Replacement Inkjet Cartridges for HP 902 XL with Officejet Pro 6978 6960 6962 6968 6954 6958 6950 6951 6970 Printers. 4 Pack (Black, Cyan, Magenta, Yellow)",B09VCJ2T82,False,False,2.9,143.0
15,"GREENBOX Remanufactured 902 XL Ink Cartridges Replacement for HP 902XL 902 Ink Work for HP OfficeJet Pro 6978 6970 6962 6958 6968 6975 6960 6950 6954 6951 6971 Printer (High-Yield, 4-pack)",B0966DQ84Y,False,False,3.8,966.0
