rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,MOUSYA,B0C6MJJBDX,False,False,4.5,66.0
1,Yisfri,B09VYYRRHK,False,False,4.1,380.0
2,Foaincore,B0C4XF5WWQ,False,False,4.0,13.0
3,Amzdest,B08ZSRCTCS,False,False,4.6,2936.0
4,BANGELY,B0BTSW6R4Z,False,False,4.5,139.0
5,VILOVE,B0CCS7Q3VV,False,False,4.8,20.0
6,EOSIEDUR,B08LDJYL4B,False,False,4.0,3795.0
7,Generic,B0B65HQRV7,False,False,4.6,215.0
8,Gejoy,B081Z4RTG7,False,False,4.3,3306.0
9,TIMSOPHIA,B0C7ZWBLSR,False,False,4.1,19.0
10,FLOYU,B0CCXG9TL8,False,False,,
11,EOSIEDUR,B0BWDXKW4P,False,False,4.1,65.0
12,Arssm,B0BNH5QCX2,False,False,4.5,161.0
13,Haysandy,B0BBM43S96,False,False,4.4,18.0
14,ellazhu,B00Z5A63HE,False,False,3.9,636.0
15,CUTHBERT,B0B2D3VGNY,False,False,4.6,941.0
16,Z-Shop,B0B6NSZT4Y,False,False,4.3,159.0
17,Yisfri,B0B9B224X1,False,False,3.8,164.0
18,Verdusa,B0BFHG9K4B,False,False,3.6,9.0
19,COREWO,B0BW4531JL,False,False,3.6,21.0
20,Bantoye,B07D525VZS,False,False,4.5,14746.0
21,AvaCostume,B07HRHDTLY,False,False,3.9,11115.0
22,CutieJewelry,B0776Q9YXY,False,False,4.5,2720.0
23,Cindeer,B0C5MC83RZ,False,False,5.0,4.0
24,SweatyRocks,B09J8Y5GGG,False,False,4.4,587.0
25,BodyJ4You,B08Q2WMF25,False,False,4.4,984.0
26,MTV,B07JB4R3P9,False,False,4.5,4091.0
27,QYANGG,B0BRZW36W5,False,False,4.0,909.0
28,Sotiff,B0B711FNTN,False,False,4.5,101.0
29,sailimue,B087JF8K2G,False,False,4.1,693.0
30,Tipsy Elves,B07MVRK9RK,False,False,4.4,2070.0
31,Sumind,B08JFZP273,False,False,4.6,545.0
32,Hicarer,B0C2CDMGR4,False,False,4.5,1372.0
33,Spooktacular Creations,B0C73GWQZS,False,False,5.0,1.0
34,Lumister,B09P1VGTZ3,False,False,4.3,832.0
35,Yolev,B0BJVKF64J,False,False,4.6,87.0
36,Xtinmee,B0C2TL9DVR,False,False,4.6,14.0
37,SFHFY,B0C1BRDZP2,False,False,4.4,31.0
38,Chuarry,B0CF4HB7QZ,False,False,,
39,VOIKERDR,B07PTTCKH8,False,False,3.9,1637.0
40,VOIKERDR,B07PMCQ95P,False,False,4.0,2687.0
41,Retro Gifts Vintage 90s Costume Shirts,B0BXHKC667,False,False,3.0,1.0
42,Beelittle,B07GQVBBF8,False,False,4.4,710.0
43,Geyoga,B0B2P3CQ6T,False,False,4.4,417.0
44,VOZUN,B0C6J3M2WH,False,False,4.8,16.0
45,AOTHSO,B0C9TDSJ9Z,False,False,3.8,8.0
46,MTV,B072MHVJJ8,False,False,4.6,233.0
47,scktoo,B08KWC6L6K,False,False,4.0,7273.0
