rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Simple Joys by Carter's,B07GKN2SWD,True,False,4.8,48243
1,Amazon Essentials,B093CN2Z3V,True,False,4.7,3314
2,Amazon Essentials,B0BJDF1CX4,True,False,4.6,182
3,Amazon Essentials,B0BKLHKXZG,True,False,4.4,171
4,Amazon Essentials,B07FDR4W65,True,False,4.3,13329
5,Amazon Essentials,B085YW7F84,True,False,4.5,30137
6,Amazon Essentials,B09GSDQQVS,True,False,4.4,7031
7,Amazon Essentials,B075JW9DM5,True,False,4.5,43921
8,Amazon Essentials,B07HJ2V8CK,True,False,4.3,17675
9,Amazon Essentials,B0BFQSXVHG,True,False,4.4,28
10,Amazon Essentials,B07K3HQ5ZD,True,False,4.3,15144
