rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"HP 952XL Black High-yield Ink Cartridge | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | F6U19AN",B01B6QGJ42,False,True,4.7,15121.0
1,"HP 952 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | N9K27AN",B01AV8PPOQ,False,True,4.7,13600.0
2,"HP 952XL Black High-yield Ink Cartridge | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | F6U19AN",B01B6QGJ42,False,False,4.7,15121.0
3,HP 952Xl / 952Xl (6Za00an) Ink Cartridges (Cyan Magenta Yellow Black) 5-Pack in Retail Packaging,B08SWPYYGL,False,False,4.7,769.0
4,"HP 952XL Yellow High-yield Ink Cartridge | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | L0S67AN",B01B6QGNYI,False,False,4.8,4194.0
5,"HP 952XL Cyan High-yield Ink Cartridge | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | L0S61AN",B01B6QGJHE,False,False,4.8,3884.0
6,"HP 952XL Magenta High-yield Ink Cartridge | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | L0S64AN",B01B6QGO1A,False,True,4.8,3625.0
7,"952 XL Ink Cartridge Replacement for HP 952 Ink Cartridges Black Cyan Magenta Yellow (4-Pack), Compatible for OfficeJet Pro 8710 8720 7740 8210 8715 7720 8702 8725 8740 8730 8700 8200 Printer",B0C281H5LQ,False,False,4.3,380.0
8,"HP 952XL Magenta High-yield Ink Cartridge | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | L0S64AN",B01B6QGO1A,False,False,4.8,3625.0
9,"952XL Ink Cartridges Combo Pack, Replacement for HP 952XL 952 XL Ink Work with HP OfficeJet Pro 8710 8720 7740 8720 8730 8210 8715 8740 7720 8725 8216 Printer (Black Cyan Magenta Yellow, 4-Pack)",B0CGDKFRY1,False,False,4.3,4504.0
10,Anemec 952XL Ink Cartridges Replacement for HP 952XL Ink Cartridges Combo Pack |Used in HP Officejet Pro 8710 7740 8720 8210 8715 8702 7720 8730 8740 8216 8725 8700 Printer (4 Pack),B0BZHSVDLV,False,False,4.6,967.0
11,"HP 952XL Cyan High-yield Ink Cartridge | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | L0S61AN",B01B6QGJHE,False,True,4.8,3884.0
12,Cartlee Compatible Ink Cartridges Replacement for HP 952xl Ink Cartridges Combo Pack for HP 952 Ink Cartridges Combo Pack for HP952XL for 8710 Printer for HP Ink 952 XL for HP952 Black and Color 5,B0CGC9S25M,False,False,,
13,"952XL Ink cartridges Replacement for HP 952XL 952 Work with HP Officejet Pro 7740 8715 8725 8210 8710 8720 8730 8740 Printer(2 Black, 1 Cyan,1 Magenta, 1 Yellow, 5 Combo Packs)",B0CGXCRZSC,False,False,4.0,229.0
14,"952XL 952 XL High-Yield Ink Cartridges, Replacement for HP 952 952 XL Ink Cartridges Combo Pack (4 Pack, 1BK/1C/1M/1Y), Upgraded Chip, for OfficeJet Pro 8710 8720 7720 7740 8210 8702 8715 8725 Printer",B0C1Y9PY8Y,False,False,3.7,96.0
15,"952XL 952 Ink Cartridges Combo Pack Replacement for HP 952 XL Work with HP OfficeJet Pro 8720 8710 7740 8730 8715 8702 7720 8725 8210 Printer 4-Pack (Black, Cyan, Yellow, Magenta)",B0CHJ88BD3,False,False,,
16,OCProducts Remanufactured Ink Cartridge HP 952XL Cyan Ink Cartridge for OfficeJet Pro 7720 7730 7740 8210 8216 8702 8710 8715 8720 8725 8730 8740,B08VWGQWJ8,False,True,3.7,8.0
17,952XL Latest Upgrade Black Compatible Ink Cartridges Replacement for HP 952 XL Black Ink Cartridges Use with Officejet Pro 7740 8210 8710 8720 8740 8715 7720 8725 8730 (2 Packs),B0C139S66J,False,False,4.6,57.0
18,HenceBuy 952XL Ink Cartridges Combo Pack Remanufactured for HP 952XL Remanufactured for HP 952 XL Works for HP OfficeJet Pro 8710 7740 8720 8715 8210 Works for HP OfficeJet 8702 (4 Pack : BK/C/M/Y),B0CBPJCHW6,False,False,,
19,"Smart Ink Compatible Ink Cartridge Replacement for HP 952XL 952 XL (4 Combo Pack) to use with OfficeJet Pro 8710 8720 7740 8210 8715 7720 8702 8725 8740 8730 8700 8200 (Black, Cyan, Magenta, Yellow)",B07G4GVKBF,False,False,4.1,1749.0
20,"HGZ 952XL Compatible Ink Cartridges Replacement for HP 952 952XL 952 XL Used for HP Officejet Pro 7740 8210 8710 8720 8740 8715 7720 8725 8730 Printer(Cyan, Magenta, Yellow, 3 Pack, High Yield)",B0CDC6BHZB,False,False,,
21,"HP 951XL Cyan High-yield Ink Cartridge | Works with HP OfficeJet 8600, HP OfficeJet Pro 251dw, 276dw, 8100, 8610, 8620, 8630 Series | Eligible for Instant Ink | CN046AN",B005BZNERK,False,True,4.8,4436.0
