rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 99% Isopropyl Alcohol For Technical Use, Unscented, 16 Fl Oz (Pack of 12)",B07J62C1K5,True,False,4.8,8603
1,"ForPro 99% Isopropyl Alcohol (IPA), Pure & Unadulterated Concentrated Alcohol, 32 Ounces",B00DT52Y98,False,False,4.8,1992
2,Isopropyl Alcohol Grade 99% Anhydrous - 4 Gallon,B01KK014F4,False,False,4.8,2393
3,Isopropyl Alcohol 99% (IPA) Made in USA - USP-NF Grade - 99 Percent Concentrated Rubbing Alcohol (1 Liter),B08JZJ5QV2,False,False,4.8,5984
4,Isopropyl Alcohol 99% - IPA - 128 Fluid Ounces - 1 Gallon - Rubbing Alcohol 99 percent,B01IWKBJWC,False,False,4.7,4243
5,Isopropyl Alcohol 99% Anhydrous 1 Gallon - Pack in 4 Quarts,B00ZSOO4UA,False,False,4.8,1157
6,"99% Isopropyl Alcohol, 16 oz. Bottle, General Purpose Cleaner, Technical Grade (2)",B0BZ21DBJ6,False,False,4.8,32
7,Isopropyl Alcohol 99% (IPA) - USP-NF Concentrated Rubbing Alcohol - Made in USA - 128 Fl Oz/Gallon (1 Gallon),B08QDJXCQ1,False,False,4.8,4704
8,99% Isopropyl Alcohol (IPA) - 128 fl oz - Made in USA,B09P2H3WMQ,False,False,4.8,943
9,"Swan Isopropyl Alcohol, 99%, Pint, 16 OZ",B001B5JT8C,False,False,4.6,1896
10,32 oz US+ 99% Isopropyl Alcohol - High Assay Grade - Highest Purity & Concentration - Made in USA,B08WFVN9JL,False,False,4.7,222
11,"ISOPROPYL Alcohol, 99%, 55 Gallon Drum",B01FSW0338,False,False,4.2,17
12,Isopropyl Alcohol 99% Anhydrous - 4 Gallon - Empty Bottle Sprayer Included,B08LNZWXMJ,False,False,4.8,1440
13,"Isopropyl Alcohol 99% (IPA) - Concentrated Rubbing Alcohol, Clear, Lab Grade - 32 oz. / 1 L (Pack of 3)",B0B9QYVBJG,False,False,4.6,70
14,Vaxxen Labs Isopropyl Alcohol 99 percent (IPA) - USP-NF Medical Grade Concentrated Rubbing Alcohol - Made in USA - 128 Fl Oz/Gallon (4 Pack),B08R138211,False,False,4.7,351
15,1 Gallon Isopropyl Alcohol 99% Anhydrous,B07N99Z77Y,False,False,4.8,82
16,"99% Isopropyl Alcohol - 1 Gallon (4 x 32 FL Oz Bottles) - High-Purity Concentrated Rubbing Alcohol for Effective Cleaning - Quick-Drying, Domestically Sourced IPA",B00CXWANX2,False,False,4.7,3747
17,"American Ethanol's Isopropyl Alcohol 99%, USP NF Lab Grade 0.5 Liter (Pack of 1)",B0BZWNLWDS,False,False,4.7,23
18,DIYChemicals Isopropyl Alcohol 99.9% – Pure Isopropanol Industrial Grade 99 Percent – Made in USA | 1 Pint (16 fl oz),B094TLG9H9,False,False,4.5,59
19,Isopropyl Alcohol 99 Percent (IPA) - USP-NF Medical Grade Concentrated Rubbing Alcohol - Made in USA - 128 Fl Oz/Gallon (4 Pack),B0BYWC865X,False,False,4.3,17
20,"Viva Doria Isopropyl Alcohol 99%, Rubbing Alcohol, Medical Grade IPA, 16 Fluid Ounce",B08NCZ5BPB,False,False,4.7,444
21,"MaxTite Isopropyl Alcohol 99.9% (4 Gallons (32oz, 16 Pack))",B08LXF8D4N,False,False,4.8,2580
22,"Duda Energy 4 x 950ml Bottles of 99.9+% Pure Isopropyl Alcohol Industrial Grade IPA Concentrated Rubbing Alcohol 1 Gallon Total, Clear, 32.12 Fl Oz (Pack of 4), 128.4 Fl Oz",B08C11SCNN,False,False,4.7,25373
23,"MaxTite Isopropyl Alcohol 99.9% (4 Pack, 1 Gallon) (4 Gal)",B08G57WSV2,False,False,4.6,763
24,"Amazon Basics 91% Isopropyl Alcohol First Aid Antiseptic, 32 Fl Oz (Pack of 1) (Previously Solimo)",B07NFTZ522,True,False,4.8,15100
25,"Isopropyl Alcohol (IPA) 99.9% Purity - USP/Medical Grade - Concentrated Rubbing Alcohol, Made in The USA - 128 oz",B08H9XSBKL,False,False,4.8,1878
26,Chemical Isopropyl Alcohol (IPA) 99.9% Purity | Medical Grade | Made in USA | 1 Gallon,B08JZKS3F3,False,False,4.7,179
27,CURAD Alcohol Prep Pads | Medium Isopropyl Alcohol Wipes Individually Wrapped | First Aid Alcohol Swabs for Cuts & Scrapes | Medical Alcohol Pads for General Cleansing | 100 Count (Pack of 4),B00KOSP454,False,False,4.8,34964
28,MaxTite Isopropyl Alcohol 99.9% (1 Gallon),B08CGCNHPR,False,False,4.8,1056
29,Quality Chemical - Super Premium - Fastest Delivery - 99.9% Pure Isopropyl Alcohol (IPA) - Made in The USA - 1 Gallon - (4) 32 Fl Oz Bottles - Concentrated Isopropyl Alcohol,B01M6YK5I4,False,False,4.7,2759
30,MaxTite 99.9% Isopropyl Alcohol ACS Reagent Grade (32 fl oz) - High Purity Premium ACS Reagent Lab Grade - Made in USA,B0BLGNBP2G,False,False,4.7,24
31,Medical Grade Isopropyl Alcohol 99.9% (32oz) Pack of 2 (2 Bottles (64oz)),B08HX5VCYJ,False,False,4.8,1441
32,MaxTite Isopropyl Alcohol 99.9% (1 Gallon),B08HTD4893,False,False,4.9,12
33,Isopropyl Alcohol 99% Anhydrous 1 Gallon - (Pack of 4 Quart),B07L6MMV7F,False,False,4.8,1105
34,Isopropyl Alcohol 99% (IPA) Rubbing Alcohol by Natural Cosmetic Labs - Made in USA - 3780 ml/Gallon,B09CRM9Y77,False,False,4.8,467
35,"99.9% Isopropyl Alcohol Handy Wipe, 50 Wipes / Bag, Size 6in x 5in, Lint Free, Non-Abrasive, No Water Residue, Cleanse.",B0934FTVC4,False,False,4.6,102
36,Tech Spray Wipes Isopropyl Alcohol 99% Pure 50/Pack,B00245LVUC,False,False,4.5,84
37,ISOPROPYL Alcohol 99% Strength - 5 GALLONS Packed in 20 QUARTS- 100% Pure,B06X19XXPG,False,False,5.0,41
38,Isopropyl Alcohol 99% (IPA) Medical Grade Rubbing Alcohol by Natural Cosmetic Labs - Made In USA - Gallon - Pack of 4,B09DTM6JTF,False,False,4.8,30
39,MAXTITE Isopropyl Alcohol 70% (1 Gallon),B08J4G7BKG,False,False,4.7,1464
40,8 X 1000 ml (8 Liters/More Than 2 Gallons) High Purity Isopropyl Alcohol IPA 99.5% - Includes a Trigger Sprayer,B00HKE23FO,False,False,4.6,115
41,"Duda Energy Concentrated Rubbing Alcohol, Clear, 32.12 Fl Oz",B08D92BJ9S,False,False,4.7,184
42,"CleanPro 99% Isopropyl Alcohol (IPA), 5 Gallon Pail",B00Q3176SE,False,False,4.4,12
43,Isopropyl Alcohol Grade 99% Anhydrous (IPA)-55 Gallon Drum,B07BH4FXJ8,False,False,5.0,1
44,"MG Chemicals - 824-1L 99.9% Isopropyl Alcohol Electronics Cleaner, 945 mL (1 Quart) Liquid Bottle, Clear, 32 Fl Oz (Pack of 1)",B005DNQX3C,False,False,4.8,5399
45,ISOPROPYL Alcohol 99% Strength - 4 GALLONS Packed in 16-32 oz. Bottles- 100% Pure,B01ED0NNW4,False,False,4.7,424
46,HIGH IMPACT Isopropyl Alcohol 99% (IPA) with Spray - MADE IN THE USA - 32oz - Pack of 1,B09S5QM1TS,False,False,4.6,170
47,Medical Grade Isopropyl Alcohol 99.9% (32oz) Pack of 2 (4 Bottles (1-Gallon)),B08HX6RX8F,False,False,4.8,727
