rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 8-Pack 9 Volt Alkaline Performance All-Purpose Batteries, 5-Year Shelf Life, Packaging May Vary",B00MH4QM1S,True,False,4.7,157167
1,"Duracell Coppertop 9V Battery, 4 Count Pack, 9-Volt Battery with Long-lasting Power, All-Purpose Alkaline 9V Battery for Household and Office Devices",B000K2NW08,False,False,4.8,36510
2,"Amazon Basics 4-Pack 9 Volt Alkaline Everyday Batteries, 5-Year Shelf Life",B081FGCRQQ,True,False,4.7,14355
3,"Energizer MAX 9V Batteries (2 Pack), 9 Volt Alkaline Batteries - Packaging May Vary",B004R16728,False,False,4.7,9511
4,"ACDelco 8-Count 9 Volt Batteries, Maximum Power Super Alkaline Battery, 7-Year Shelf Life, Reclosable Packaging",B00KZ3PZ4I,False,False,4.6,1599
5,"Energizer 9V Alkaline Batteries, 6 Count",B00COWISBA,False,False,4.7,540
6,"Energizer 9V Batteries, 2 Count MAX Premium Alkaline 9 Volt",B00003IE4E,False,False,4.7,9822
7,Voniko 9V Batteries - Alkaline 9V Battery 4 Pack - Ultra Long Lasting with a 7 - Year Shelf Life,B07RZ9PMQH,False,False,4.6,9600
8,"Energizer Alkaline Power 9 Volt Batteries (8 Pack), Long-Lasting Alkaline 9V Batteries",B09RTTQZJG,False,False,4.8,1683
9,"PKCELL 9V Battery Carbon (10 Count) Zinc for Smoke Detectors 6F22 Battery, 10-Year Shelf Life，Ultra Long-Lasting",B00ZTS55Y4,False,False,4.4,9683
10,72 pcs Energizer Industrial 9V Size Alkaline Batteries (EN22),B009W9FHYE,False,False,4.8,15
11,"Duracell Procell 9 Volt Batteries, Pack of 12 (Packaging May Vary)",B002UGVWA4,False,False,4.5,6089
12,"Energizer Max Alkaline 9 Volt, 24 Pack",B01IRRP1G0,False,False,4.7,334
13,"ProCell Constant 9V Long-Lasting Alkaline Batteries (72 Pack), 5-Year Shelf Life, Bulk Value Pack for Consistent Moderate Drain Professional Devices",B00BGIVI1K,False,False,3.9,99
14,"Energizer Industrial 9 Volt Batteries, Alkaline 9v Battery (12 Count)",B000099SKB,False,False,4.6,3339
15,"Duracell - CopperTop 9V Alkaline Batteries - long lasting, all-purpose 9 Volt battery for household and business - Pack of 12",B00G06TYQE,False,False,4.8,5976
16,"Energizer MAX 9V Batteries (4 Pack), 9 Volt Alkaline Batteries - Packaging May Vary",B00IA8M42G,False,False,4.8,7312
17,"Energizer MAX 9V Batteries (2 Pack), 9 Volt Alkaline Batteries - Packaging May Vary",B000YHSF1U,False,False,4.8,18036
