rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 20-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",B00NTCH52W,True,False,4.7,752899.0
1,"Amazon Basics 12-Pack AA Alkaline Batteries, 1.5 Volt, Long Lasting Power",B07KWYGTC6,True,False,4.6,18335.0
2,"Amazon Basics 8-Pack Rechargeable AA NiMH High-Capacity Batteries, 2400 mAh, Recharge up to 400x Times, Pre-Charged",B00HZV9WTM,True,False,4.5,114361.0
3,"Amazon Basics 16-Pack Rechargeable AA NiMH Batteries, 2000 mAh, Recharge up to 1000x Times, Pre-Charged",B007B9NV8Q,True,False,4.5,125537.0
4,Amazon Basics 48 Count AA & AAA High-Performance Batteries Value Pack - 24 Double AA Batteries and 24 Triple AAA Batteries (48 Count),B094D3JGLT,True,False,4.7,4085.0
5,"Amazon Basics 48 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack & 20 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life,Easy to Open Value Pack",B07SN37PYX,True,False,4.7,415.0
6,"Amazon Basics Alkaline Battery Combo Pack, Set of 20 AA and AAA Batteries (May Ship Separately)",B01CE5CQPA,True,False,4.7,3117.0
7,"Amazon Basics 100 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack & 48 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life",B07KT36J14,True,False,4.6,356.0
8,"Amazon Basics AAA High-Capacity Ni-MH Rechargeable Batteries, Pre-Charged - 8-Pack & 8-Pack AA Rechargeable Batteries, 2000 mAh, Pre-Charged",B07RNKPSWQ,True,False,4.6,433.0
9,"Amazon Basics 20 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack & 12 Pack C Cell All-Purpose Alkaline Batteries, 5-Year Shelf Life, Easy to Open Value Pack",B07RNKRHHH,True,False,5.0,9.0
10,"Amazon Basics 8-Pack AAA Rechargeable Batteries, 800 mAh, Pre-Charged & AA High-Capacity Ni-MH Rechargeable Batteries (2400 mAh), Pre-Charged - Pack of 8",B07RTXB9Z4,True,False,4.8,254.0
11,"Amazon Basics 100 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack & 8 Pack 9 Volt Performance All-Purpose Alkaline Batteries, 5-Year Shelf Life",B07VNZR4Y5,True,False,4.9,9.0
12,"Amazon Basics 12-Pack AAA Rechargeable Batteries, 800 mAh, Pre-Charged & AA High-Capacity Ni-MH Rechargeable Batteries (2400 mAh), Pre-Charged - Pack of 8",B0161JN1F4,True,False,4.6,126.0
13,"Amazon Basics 12 Pack D Cell All-Purpose Alkaline Batteries, 5-Year Shelf Life, Easy to Open Value Pack & 48 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",B07RY3S5NJ,True,False,4.4,8.0
14,"Amazon Basics 100 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack & 12 Pack C Cell All-Purpose Alkaline Batteries, 5-Year Shelf Life, Easy to Open Value Pack",B07NQV6T8C,True,False,4.6,2.0
15,"Amazon Basics 100 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack & 24 Pack D Cell All-Purpose Alkaline Batteries, 5-Year Shelf Life, Easy to Open Value Pack",B07VT47DJL,True,False,,
16,"Amazon Basics 20 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack & 12 Pack D Cell All-Purpose Alkaline Batteries, 5-Year Shelf Life, Easy to Open Value Pack",B07RY3SMPN,True,False,5.0,1.0
17,Amazon Basics Battery Combo Pack | AA 20-Pack and 9V Lithium 4-Pack (May Ship Separately),B08P3GX6SF,True,False,4.7,31.0
18,"Amazon Basics 36-Pack AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",B00LH3DMUO,True,False,4.7,674502.0
19,"Amazon Basics 4-Pack AA Rechargeable Batteries, Performance 2,000 mAh Battery, Recharge up to 1000x & 8-Pack AAA High-Capacity 850 mAh Rechargeable Batteries, Pre-Charged, Recharge up to 500x",B07RTRHMZY,True,False,4.5,4.0
20,"Amazon Basics 4-Pack AA Batteries, High-Capacity 2,400 mAh Rechargeable Battery, Recharge up to 400x & 4-Pack AAA Performance 800 mAh Rechargeable Batteries, Pre-Charged, Recharge up to 1000x",B0162MLT90,True,False,4.8,11.0
