rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Apple AirPods Pro (2nd Gen) Wireless Earbuds, Up to 2X More Active Noise Cancelling, Adaptive Transparency, Personalized Spatial Audio MagSafe Charging Case (Lightning) Bluetooth Headphones for iPhone",B0BDHWDR12,False,True,4.7,45380.0
1,"Apple AirPods Max Wireless Over-Ear Headphones. Active Noise Cancelling, Transparency Mode, Spatial Audio, Digital Crown for Volume Control. Bluetooth Headphones for iPhone - Space Gray",B08PZHYWJS,False,True,4.6,13072.0
2,"Apple AirPods Pro (2nd Gen) Wireless Earbuds, Up to 2X More Active Noise Cancelling, Adaptive Transparency, Personalized Spatial Audio MagSafe Charging Case (Lightning) Bluetooth Headphones for iPhone",B0BDHWDR12,False,False,4.7,45380.0
3,Apple AirPods Pro (2nd Generation) (Renewed),B0BJQWYLYN,False,False,4.4,1021.0
4,"Apple AirPods (2nd Generation) Wireless Earbuds with Lightning Charging Case Included. Over 24 Hours of Battery Life, Effortless Setup. Bluetooth Headphones for iPhone",B07PXGQC1Q,False,False,4.7,591984.0
5,"Apple AirPods (3rd Generation) Wireless Earbuds with Lightning Charging Case. Spatial Audio, Sweat and Water Resistant, Up to 30 Hours of Battery Life. Bluetooth Headphones for iPhone",B0BDHB9Y8H,False,False,4.5,10383.0
6,Apple AirTag,B0933BVK6T,False,True,4.7,143974.0
7,Apple AirPods Pro (2nd Generation) with AppleCare+ (2 Years),B0BGVJX3TX,False,False,4.8,1673.0
8,Apple AirPods Pro - 1st Gen (Renewed),B0828BJGD2,False,False,4.3,18844.0
9,Apple AirPods Pro (1st Generation) with MagSafe Charging Case,B09JQMJHXY,False,False,4.7,145778.0
10,"for AirPods Pro 2nd Generation Case Cover 2022, Luxury Full-Body Shockproof Protective Case with Lanyard for AirPods Pro 2nd Generation Cover, Front LED Visible",B0CG4GR989,False,False,,
11,Apple AirTag 4 Pack,B0932QJ2JZ,False,True,4.8,85925.0
12,"ORNARTO [4 in 1] for Airpods Pro 2nd/1st Generation Case with Keychain, Protective AirPods Pro Case with Cleaner Kit & Eartips(XS/S/M/L) Soft Skin Front LED Visible Silicone Case-Black",B0C7M3QF8B,False,False,4.9,44.0
13,"Polislime Airpods Pro 2nd Generation Case Cover,with Cleaner kit & 3 Pairs Replacement Ear Tips (/S/M/L),Military Armor Hard Shell Protective with Lock for Apple AirPods Pro 2nd Charging Case-Black",B0CF5588VN,False,False,4.4,24.0
14,"Valkit Compatible Airpods Pro 2nd/1st Generation Case Cover with Lock, Military AirPod Pro 2 Case with Keychain & Lanyard Cool Shockproof Protective Case for AirPod Pro 2nd/1st Gen(2023/2022/2019)",B0C9WTF72M,False,False,4.5,2313.0
15,"Tandoler Compatible with Airpods Pro 2 Case, Soft Silicone Skin Cover Protective Cases with Cleaner kit and Lanyard Compatible for AirPod Pro 2nd Generation, Front LED Visible-Pine Green",B0CG9F4KRY,False,False,4.7,85.0
16,"Apple EarPods Headphones with 3.5mm Plug. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds",B06X16Z7DZ,False,True,4.6,268318.0
17,"Lawonda Magnetic Anti-Lost Straps for AirPods, Sports Lanyard Neck Rope Cord Compatible with AirPods 1/2/ Generation Pro2",B0C4DF6QPW,False,False,,
18,"Airpods Pro 2nd Generation Case Clear - YOMPLOW Soft TPU AirPods Pro 2 Case 2022 with Keychain Women Men Shockproof Transparent Protecitve Cover for Apple Airpods Pro 2, Black",B0BTY815WS,False,False,4.7,3223.0
19,"Wireless Earbuds Bluetooth 5.3 Headphones 40 Hrs Playtime with LED Display, Deep Bass Stereo and Noise Cancelling Ear Buds IP7 Waterproof Earphones with Mic for iPhone Android White",B0BWY2HSVT,False,False,4.5,3566.0
20,Gcioii 3 Pairs for AirPods Pro 2 Ear Hooks Covers [Added Storage Pouch] Anti-Slip Accessories Compatible with Apple AirPods Pro 2nd Generation (Purple),B0CD39ZQPM,False,False,,
21,"IMEETCASE Custom Name Case for Apple AirPods Pro 2nd Generation,DIY TPU Soft Personalized Text Gift Shock Absorption AirPods 2022 Case Cover",B0BL3JMNJT,False,True,4.5,2816.0
