rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"All-new Echo Buds (2023 Release) | Semi-in-ear, True Wireless Bluetooth 5.2 Earbuds with Alexa, multipoint, 20H battery with charging case, fast charging, sweat resistant | Black",B09JVG3TWX,False,False,4.0,4136
1,"Echo Buds with Active Noise Cancellation (2021 release, 2nd gen) | Wired charging case | Black",B085WTYQ4X,False,False,4.0,21492
2,AmazonCommercial Wireless Noise Cancelling Bluetooth Commuter Headphones,B09D8P3CMJ,True,False,4.0,57
3,"Echo Buds with Active Noise Cancellation (2021 release, 2nd gen) Ear Tips and Wing Tips Fit Kit",B0876MHG94,False,False,4.0,135
4,"Echo Buds (1st Gen), Replacement Right Ear Bud",B07F6VCPZJ,False,False,3.9,170
5,"Echo Buds (1st Gen), Replacement Left Ear Bud",B07F6PM15J,False,False,3.8,148
6,"Echo Buds with Active Noise Cancellation (2021 release, 2nd gen), Replacement Right Earbud | Glacier White",B08788PRVL,False,False,4.1,100
7,"Amazon Basics In Ear Wired Headphones, Earbuds with Microphone No Wireless Technology, Black, 0.96 x 0.56 x 0.64in",B07HH1QSLB,True,False,4.2,16037
8,"Amazon Fire HD 8 Kids Pro tablet, 8"" HD display, ages 6-12, 30% faster processor, 13 hours battery life, Kid-Friendly Case, 32 GB, (2022 release), Cyber Blue",B09BG4PNXP,False,False,4.6,4219
9,"Amazon Fire 7 Kids Tablet (2022) - ages 3-7. 2 year worry-free guarantee, 10-hr battery, ad-free content, parental controls, durable high-res screen, kid-proof case with kickstand, 16 GB, Red",B0BL8T7R1T,False,False,4.5,11519
