rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Cloud Blue",B09B8W5FW7,False,False,4.7,50140.0
1,"Amazon Basics Rectangular Projection Alarm Clock with FM Radio, USB Phone Charging, Battery Backup, Black",B0B5DF7HKV,True,False,4.1,116.0
2,Echo Wall Clock - see timers at a glance - requires compatible Echo device,B07FQDMKFT,False,False,4.1,12238.0
3,Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,B07XJ8C8F7,False,False,4.7,240416.0
4,Adesso Wireless Charging Clock,B07M95MVJ3,False,False,4.2,1698.0
5,Echo Spot - Smart Alarm Clock with Alexa - Black,B073SQYXTW,False,False,4.5,25100.0
6,Echo Dot (3rd Gen) - Smart speaker with clock and Alexa - Sandstone,B07N8RPRF7,False,False,4.8,95246.0
7,"Echo Glow - Multicolor smart lamp, a Certified for Humans Device – Requires compatible Alexa device",B07KRY43KN,False,False,4.6,45810.0
8,"Certified Refurbished Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Cloud Blue",B09RX36H6Z,False,False,4.6,520.0
9,"ADESSO HM-301 Daily Radio Clock, Digital, for Standing, Mega Day, Date Display, Silver",B07JNNVMVH,False,False,4.3,1800.0
10,"All-New Echo Dot (5th Gen, 2022 release) with clock | International Version with EU Power Adaptor | Smart speaker with clock and Alexa | Glacier White",B09RX3HZG8,False,False,4.3,21.0
11,Certified Refurbished Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Twilight Blue,B085M5XQVR,False,False,4.6,1885.0
12,"All-New Echo Dot (5th Gen, 2022 release) with clock | International Version with US Power Adaptor | Smart speaker with clock and Alexa | Glacier White",B09RX3YBSP,False,False,4.7,266.0
13,"All-new Echo Show 5 (3rd Gen, 2023 release) | Smart display with deeper bass and clearer sound | International Version with EU Power Adaptor | Charcoal",B09BHGTCK8,False,False,5.0,1.0
14,Echo Dot (5th Gen) with Clock | Glacier White with Philips Hue 2-Pack White Smart Bulbs,B0BGZ3T29B,False,False,4.8,973.0
15,"All-New Echo Show 8 (3rd Gen, 2023 release) | With Spatial Audio, Smart Home Hub, and Alexa | Charcoal",B0BLS3Y632,False,False,,
16,Echo Dot (5th Gen) with clock Glacier White with eero Mesh Wifi Router,B0BDPZPF6N,False,False,4.4,15.0
17,Echo Dot (5th Gen) with clock Cloud Blue with eero Mesh Wifi Router,B0BDQ8V7XL,False,False,4.6,51.0
18,"All-new Echo Show 5 (3rd Gen, 2023 release) | Smart display with deeper bass and clearer sound | International Version with US Power Adaptor | Charcoal",B09BHCSWBD,False,False,4.6,13.0
19,"All-new Echo Dot (5th Gen, 2022 release) with clock Bundle. Includes Echo Dot (5th Gen, 2022 release) with clock | Glacier White & the Made For Amazon Wall Mount | White",B0BJ1PCCVD,False,False,,
20,"All-new Echo Dot (5th Gen, 2022 release) with clock Bundle. Includes Echo Dot (5th Gen, 2022 release) with clock | Cloud Blue & the Made For Amazon Wall Mount | White",B0BJ1QHP5X,False,False,5.0,1.0
21,"3G Big Button Basic Mobile Phones for Elderly, Dual Sim Free Flip up Mobile Phone Unlocked with Dock,Pay As You Go Mobile Phone Easy to Use for Senior (Red)",B07SG2L4QY,False,False,4.0,513.0
