rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Introducing Echo Pop | Full sound compact smart speaker with Alexa | Charcoal,B09WNK39JN,False,False,4.7,13578.0
1,"Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Deep Sea Blue",B09B93ZDG4,False,False,4.7,63095.0
2,"All-new Echo Show 5 (3rd Gen, 2023 release) | Smart display with deeper bass and clearer sound | Charcoal",B09B2SBHQK,False,False,4.5,7847.0
3,"Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Glacier White",B09B8VN8YQ,False,False,4.7,50140.0
4,Echo Show 10 (3rd Gen) | HD smart display with motion and Alexa | Charcoal,B07VHZ41L8,False,False,4.6,44622.0
5,"Certified Refurbished Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal",B09RX3BZ8V,False,False,4.6,683.0
6,"All-New Echo Show 8 (3rd Gen, 2023 release) | With Spatial Audio, Smart Home Hub, and Alexa | Charcoal",B0BLS3Y632,True,False,,
7,"Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Glacier White",B084DC4LW6,False,False,4.7,77815.0
8,"Certified Refurbished Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Glacier White",B09RX41C2L,False,False,4.6,520.0
9,"Certified Refurbished Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",B084TNGWS1,False,False,4.6,2667.0
10,"Smart Plug EIGHTREE, Alexa Smart Plugs That Work with Alexa and Google Home, Compatible with SmartThings, Smart Outlet with WiFi Remote Control and Timer Function, 2.4GHz Wi-Fi Only, 4Packs",B0B2PFFDKF,False,False,4.3,2958.0
11,"All-new Amazon Fire TV Stick 4K streaming device, includes support for Wi-Fi 6, Dolby Vision/Atmos, free & live TV",B0BP9MDCQZ,True,False,4.0,17.0
12,"Echo Dot (5th Gen, 2022 release) Kids | Designed for kids, with parental controls | Owl",B09B9CD1YB,False,False,4.7,8478.0
13,"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Twilight Blue",B085HK4KL6,False,False,4.7,141367.0
14,"Echo Studio | Our best-sounding smart speaker ever - With Dolby Atmos, spatial audio processing technology, and Alexa | Charcoal",B07G9Y3ZMC,False,False,4.5,39576.0
15,"Certified Refurbished Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",B084L11QXT,False,False,4.6,8800.0
16,"OBODE Robot Vacuum and mop Combo, 4000Pa Suction, LDS Navigation, Self Emptying and Intelligent Mop Lifting, 180mins Runtime, Compatible with WiFi/APP/Alexa, A8+",B09SFXHRJ9,False,True,3.6,46.0
17,"Galaxy Space Gasses - Vinyl Decal Skin Compatible with Amazon Echo Dot 3rd Generation Alexa - Decorations for Your Smart Home Speakers, Great Accessories Gift for mom, dad, Birthday, Kids",B07XYF1DYJ,False,False,4.2,406.0
18,"Certified Refurbished Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Charcoal",B08KJPTY7M,False,False,4.5,5634.0
19,"Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",B084DCJKSL,True,False,4.7,77815.0
20,"Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Glacier White",B09B8VN8YQ,True,False,4.7,50140.0
21,"Alexa Smart Plug YNF, Simple Set Up with One Voice Command, “Amazon Alexa” APP Remote Control, Voice Control, Timer & Schedulete, Stable Connection, Bluetooth Mesh, Require Alexa Echo（4 Pack）",B0C2VYH5FX,False,True,4.5,206.0
