rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon.com Gift Card Balance Reload,B00IX1HEWA,False,False,4.6,373328
1,Amazon.com eGift Card,B004LLIKVU,False,False,4.8,870843
2,Amazon.com Print at Home Gift Card,B07P76HM3B,False,False,4.8,65265
3,Amazon.com Gift Card in Various Gift Boxes,B01K8RMDO0,False,False,4.9,106957
4,Amazon.com Gift Card in a Birthday Pop-Up Box,B06ZY43PDR,False,False,4.9,51407
5,Amazon.com Gift Card in a Mini Envelope,B06WVJBLBQ,False,False,4.9,108275
6,Amazon.com Gift Card in a Birthday Gift Box (Various Designs),B0866RXCBJ,False,False,4.9,64374
7,Amazon.com Gift Card in a limited-edition Prime van,B0B6BDTSLW,False,False,4.8,362
8,Amazon.com Gift Card in a Premium Gift Box,B06ZYZ1TKK,False,False,4.9,24167
9,Amazon.com Gift Card for any amount in various designs,B01IE42ST4,False,False,4.9,23500
10,Amazon.com Gift Card for any amount in a Reveal,B01K8RL9C2,False,False,4.9,15260
11,Amazon.com Gift Card in a Holiday Gift Box (Various Designs),B072P5VV4D,False,False,4.9,174608
12,Amazon.com Gift Card in a Gift Bag,B07641DGK2,False,False,4.9,9707
13,Amazon.com Gift Card in a Yellow Swirl Box,B0763VZ9Z7,False,False,4.9,9542
14,Amazon.com Gift Card in a Welcome Baby Gift Box,B07Y93PHLP,False,False,4.9,6235
15,Amazon.com Gift Card for any amount in Pop-up Box - various designs,B0719C5P56,False,False,4.9,74854
16,Amazon.com eGift Card,B01M1JD86F,True,False,4.8,870843
17,Amazon.com Gift Card in a Greeting Card (Various Designs),B0763HZKH3,False,False,4.8,71921
18,Amazon.com Gift Card for any Amount in a Secure Sleeve,B09351BJJX,False,False,4.8,1570
19,Amazon.com Gift Card in Gold Hearts Box,B0725JBZT1,False,False,4.9,6989
20,Amazon.com Gift Card in a Reveal (Various Designs),B01JQSP498,False,False,4.9,5023
21,Amazon Reload,B086KKT3RX,False,False,4.7,152457
22,Amazon.com Gift Card in a Congratulations or Graduation Style Gift Box (Various Designs),B01N9GY4GF,False,False,4.9,17547
23,Amazon.com Gift Card in a Gift Tag,B01LXGGQXW,False,False,4.9,9864
24,Roblox Physical Gift Card [Includes Free Virtual Item],B087R5FV12,False,True,4.6,940
25,Amazon.com Gift Card in a Premium Greeting Card (Various Designs),B0B6BFB7BQ,False,False,4.8,7704
26,Amazon.com Gift Card for any amount in a Tree Globe Photo Frame Gift Box,B09ZJ41RDW,False,False,4.9,981
27,Amazon.com Gift Card in a Santa Letter Gift Box,B09ZJ4QBW3,False,False,4.9,944
28,Amazon.com Gift Card in a Greeting Card (Various Designs),BT00CTP2GM,False,False,4.8,13822
29,$100 Mastercard Gift Card (plus $5.95 Purchase Fee),B07GH7JZ91,False,False,4.7,7440
30,$50 Mastercard Gift Card (plus $4.95 Purchase Fee),B07GH6WX29,False,False,4.7,9008
31,Starbucks Gift Card,B00NVUDIZ0,False,False,4.9,38695
32,Visa $50 Gift Card (plus $4.95 Purchase Fee),B01N5TMK8I,False,False,4.7,36082
33,Visa $100 Gift Card (plus $5.95 Purchase Fee),B01MSBQB1P,False,False,4.7,35449
34,Amazon.com Gift Card in a Black Gift Box (Happy Birthday Card Design),B00CHQKNUM,False,False,4.9,2736
35,Amazon.com $10 Gift Card - Pack of 10 Mini Envelopes,B07DD75RQC,False,False,4.9,1110
36,Amazon.com $25 Gift Card- Pack of 5 Cards,B07GTFZZ2K,False,False,4.8,2032
37,Starbucks eGift Card,B07VR2BBM6,False,False,4.9,25848
38,Amazon.com $50 Gift Card - Pack of 10 Mini Envelopes,B07DD3S5P6,False,False,4.8,164
39,"Apple Gift Card - App Store, iTunes, iPhone, iPad, AirPods, MacBook, accessories and more",B08B3PL6B1,False,False,4.8,8318
40,"Lyft eGift Card — rideshare, bikes, scooters, shared rides, Lyft XL, Lyft Lux, Lux Black, Lux Black XL.",B08MW92TWD,False,True,4.5,4511
41,The Cheesecake eGift Card,B07ZR2YKKX,False,True,4.9,1763
42,Darden eGift Card,B07C3FKJF7,False,True,4.9,5183
43,Meta Quest $25 eGift Card,B0BHDJCMXH,False,False,4.7,750
44,Darden Restaurants Gift Card,B076CXY1MN,False,False,4.9,12701
45,DoorDash Gift Card,B084RC3QCZ,False,False,4.9,5339
46,American Greetings Birthday Card for Uncle (Making Our Family So Special),B0C9V2P3K6,False,False,4.6,6
47,Visa $25 Gift Card (plus $3.95 Purchase Fee),B07HJHK8Y5,False,False,4.8,23152
48,Amazon.com Gift Card in a Baby Icons Box,B0727VWLZ9,False,False,4.9,3299
49,"Apple Gift Card - App Store, iTunes, iPhone, iPad, AirPods, MacBook, accessories and more (eGift)",B08F3C99KN,False,False,4.7,59189
50,Express Gift Cards - E-mail Delivery,B00NU7T4E8,False,False,3.5,1004
51,Bath & Body Works Gift Card,B08K4J9RK3,False,False,4.9,6519
52,Darden eGift Card,B07C3FKJF7,False,False,4.9,5183
