rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon.com eGift Card,B004LLIKVU,False,False,4.8,870843
1,Amazon.com Gift Card in a Mini Envelope,B06WVJBLBQ,False,False,4.9,108275
2,Amazon.com Gift Card in a Greeting Card (Various Designs),B00X4S2V7K,False,False,4.8,71921
3,Amazon.com Gift Card for any amount in a Tree Globe Photo Frame Gift Box,B09ZJ41RDW,False,False,4.9,981
4,"Amazon Premium Greeting Cards with Anytime Gift Cards, Pack of 3",B01K8RPQOE,False,False,4.6,447
5,"Amazon Basics Thank You Cards and Envelopes, 48 Count, Black and White",B07RXWGLKF,True,False,4.7,4618
6,"Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 64 GB, Pack of 2, Black",B08TJTB8XS,True,False,4.7,52169
7,"Amazon Brand - Happy Belly Roasted & Lightly Salted Cashews, 16 Ounce",B08G8YYFYS,True,False,4.4,1404
8,"Amazon Brand - Happy Belly Deluxe Pistachio Mix, 1 Pound (Pack of 1)",B08G91DS9F,True,False,4.4,1609
9,"Amazon Brand - Happy Belly Chipotle Chili Crushed, 2.75 Oz",B07YZXJCJK,True,False,4.7,1835
10,"Amazon Brand - Happy Belly Mini Vanilla Wafers, 11 Ounce",B08BD4KZ9T,True,False,4.2,12000
11,"365 by Whole Foods Market, Cashews Roasted & Salted Organic, 10 Ounce",B07HRJQHDP,True,False,4.7,2555
12,"AmazonFresh Mediterranean Extra Virgin Olive Oil, 16.9 fl oz (500mL)",B01N2VRYNM,True,False,4.7,14598
13,"Amazon Brand - Happy Belly Diced Tomatoes in Tomato Juice, 14.5 Ounce",B07TZS2Y3G,True,False,4.7,2962
14,"365 by Whole Foods Market, Unsalted Deluxe Mixed Nuts, 16 Ounce",B07GL6JDNR,True,False,4.5,5028
15,"Amazon Fire HD 10 Tablet Case, Star Wars: The Rise of Skywalker (Limited Edition)",B07S4CVWZM,False,False,4.7,45841
16,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, includes a 1-year subscription to Amazon Kids+ content, Purple Kid-Proof Case, (2020 release)",B07WFLBX6Q,False,False,4.7,130258
