rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Apple AirTag,B0933BVK6T,False,True,4.7,143974.0
1,Apple AirTag 4 Pack,B0932QJ2JZ,False,True,4.8,85926.0
2,Apple AirTag,B0933BVK6T,False,False,4.7,143974.0
3,Apple AirTag 4 Pack,B0932QJ2JZ,False,False,4.8,85926.0
4,"Dovick- Airtag Holder Keychain,Silicone Full Case Compatible Apple Air Tags Tracker Finder for Key Bag Luggage 4 Pack (Sky-Blue,Orange,Pink,Green)",B0CFDC1M23,False,False,4.8,6.0
5,"4 Pack Airtag Holder, Airtag case Waterproof Apple Air Tag Case with Keychain, Shockproof & Dustproof Airtag Holders for Pet Tracking, Bags, Kids, Keys, Luggage（4 Colors）",B0BVF6D72Y,False,False,4.4,1120.0
6,Compatible with AirTag Case Keychain Air Tag Holder Silicone AirTags Key Ring Cases Tags Chain Apple GPS Item Finders Accessories 4 Pack,B09468VZ5W,False,False,4.7,12056.0
7,"Airtag Wallet Holder 2 Pack,Ultra Thin Card Case for Apple Airtag,Airtag Card Holder for Purse, Handbag, Backpack Wallet, Clutch Bag",B0BWYG6RM8,False,False,4.6,290.0
8,"IPX8 Waterproof Airtag Holder, Apple Airtags with Keychain, Air Tag Case for Luggage, Dog Collar, Keys, Anti-Scratch Full Body Protective Air Tags Holder,Clear",B0C8SV64X6,False,False,4.3,81.0
9,"Waterproof Airtag Holder, Durable Airtag Keychain, Scratch/Impact Resistant Airtag Case, Protective Airtag Holders Compatibility Apple Air Tag for Dog Collar, Backpack, Keys, Luggage, Pets, Black",B0CB58ZV8L,False,False,,
10,Compatible with AirTag Case Keychain Air Tag Holder Silicone AirTags Key Ring Cases Tags Chain Apple AirTag GPS Item Finders Accessories，Dark Green,B0C5LHLQYH,False,False,4.7,314.0
11,"5 Pack Airtag Holder Air Tag Silicone Case with Keychain, Anti-Scratch Airtag Keychain for Apple Air Tag(2021), Airtag Accessories for Key Finder Tracker, Backpacks, Pet, The Valuables.",B09C7VB6W2,False,False,4.6,2345.0
12,"2 Pack IPX8 Waterproof AirTag Keychain Holder Case, Lightweight, Anti-Scratch, Easy Installation,Soft Full-Body Shockproof Air Tag Holder for Luggage,Keys, Dog Collar (Black+Clear)",B09PDTJ2C8,False,False,4.6,7480.0
13,"Airtag Holder Air Tag Case with Keychain, Anti-Scratch Airtags Key Chain for Apple Air Tags, Airtag Accessories for GPS Item Finder Tracker, Black",B0CGDDXY11,False,False,4.7,6.0
14,"Airtag Dog Collar Holder, DLENP Silicone GPS Tracking Accessories Protective Cat Collar with Bone Pattern (1 Pack(Black))",B097RLJ77Y,False,False,4.5,4132.0
15,Holder Case for AirTags Ultra Light Silicone Sleeve for AirTags Durable Anti-Scratch Protective Skin Cover with Anti-Losing Keychain Ring Accessory Compatible with Apple AirTags Navy,B094Y8XBTG,False,False,4.7,8429.0
16,"[4 Pack] IPX8 Waterproof Airtag Holder, Case with Ultra Adhesive Sticker, Airtag Sticker Mount for Bike Wallet TV Remote Drone Camera Luggage Hidden (Black)",B0BM9HT3J3,False,False,4.7,1433.0
17,"Kids Waterproof Airtag Bracelet Compatible with Apple AirTag, Hidden Silicon Protective Case for Air Tag GPS Tracker Holder, Adjustable Anti-Lost Watch Band for Toddler Child (Pink & Purple)",B0C2KJ9X1J,False,False,4.4,130.0
